gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained,acmg_sf,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels,combined_actionability_v2
RAG1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.4017857142857143,high,52.0,0.7607142857142857,2.2369e-05,0.53048,0.703,1.7802,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.8107142857142857
RAG2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,DERM,0.4347826086956521,high,18.0,0.6239130434782608,0.022372,0.48252,0.733,0.5834,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6739130434782609
RAI1,2,4.0,1.0,3.0,1.0,0.875,1,1,1,1.0,"IEM, SEIZ",0.5041666666666667,high,121.0,0.8016666666666666,1.0,0.073672,0.129,2.4299,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9016666666666666
RANGRF,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,0,0,0,1.0,COND,0.0909090909090909,low,2.0,0.0613636363636363,3.8612e-05,0.7382,1.107,0.63269,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0613636363636363
RAPSN,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,HYPOTO,0.4615384615384615,high,42.0,0.6346153846153846,6.3937e-10,0.8164,1.092,0.095373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6346153846153846
RASA1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,"SEIZ, DERM",0.4335664335664335,high,62.0,0.6234265734265734,1.0,0.21453,0.3,3.6029,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7234265734265733
RB1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,,0.6039119804400978,high,221.0,0.8415647921760391,1.0,0.15769,0.239,2.32,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9415647921760391
RBM20,1,3.0,0.6,2.0,0.3,0.3,1,0,1,1.0,CM,0.4381270903010033,high,250.0,0.3552508361204013,0.011358,0.43889,0.568,0.73614,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3552508361204013
RBM8A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,AN_TH,0.5882352941176471,high,8.0,0.6852941176470588,0.93671,0.3024,0.546,3.0397,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7852941176470588
RDX,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,HL,0.1794871794871795,high,28.0,0.1567948717948717,0.65721,0.39032,0.542,1.5649,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1567948717948717
RECQL4,3,4.0,1.0,3.0,1.0,0.8333333333333334,1,1,1,0.0,"SK, DERM",0.3408071748878923,high,124.0,0.736322869955157,5.7709e-69,1.3325,1.519,-6.2783,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.736322869955157
RELN,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,SEIZ,0.4957410562180579,high,289.0,0.2832964224872232,1.0,0.23237,0.276,4.2857,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3832964224872232
REN,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"AN_TH, REN",0.6666666666666666,high,32.0,0.7166666666666666,1.8225e-12,0.8263,1.069,1.6483,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7166666666666666
RET,2,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"PULM, BOW, REN",0.4727694090382387,high,366.0,0.7891077636152954,1.0,0.16356,0.24,2.6933,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9891077636152954
RFX6,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,1,0,0,0.0,BOW,0.4090909090909091,high,12.0,0.1886363636363636,0.0001268,0.51547,0.692,0.91599,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1886363636363636
RHAG,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,"BIL, AN_TH",0.7407407407407407,high,16.0,0.3812962962962962,0.0049073,0.50107,0.728,0.88124,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3812962962962962
RMRP,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"SK, DERM",0.7619047619047619,high,24.0,0.7547619047619047,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7547619047619047
RNASEH2A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"THYR, AN_TH, SEIZ, HYPOTO",0.3333333333333333,high,8.0,0.5833333333333333,1.502e-09,0.85785,1.164,-0.11353,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5833333333333333
