gene_symbol,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels
APOC2,0,0,0,0,0,1,0,0,0,0,1
APOE,0,0,0,0,0,1,0,0,0,0,1
APOPT1,0,0,0,0,0,1,0,0,0,0,1
APRT,0,0,0,0,0,1,0,0,0,0,1
APTX,0,0,0,0,0,1,0,0,0,0,1
ARCN1,0,0,0,0,0,0,0,0,0,1,1
ARF1,0,0,0,0,0,0,0,0,1,0,1
ARF3,0,0,0,0,0,0,0,0,1,0,1
ARFGEF1,0,0,0,0,0,0,0,0,1,0,1
ARFGEF2,0,0,0,0,0,0,0,0,1,0,1
ARG1,0,0,0,0,0,1,0,0,1,0,2
ARHGAP31,0,0,0,0,0,0,0,0,0,1,1
ARHGEF9,0,0,0,0,0,0,0,0,1,0,1
ARID1B,0,0,0,0,0,0,0,0,1,0,1
ARIH1,0,1,0,0,0,0,0,0,0,0,1
ARL13B,0,0,0,0,0,0,0,1,0,0,1
ARL6,0,0,0,0,0,0,0,1,0,1,2
ARMC4,0,0,0,0,0,0,1,0,0,0,1
ARSA,0,0,0,0,0,1,0,0,0,0,1
ARSB,0,0,0,0,0,1,0,0,0,1,2
ARSE,0,0,0,0,0,1,0,0,0,1,2
ARSG,0,0,0,0,0,1,0,0,0,0,1
ARSK,0,0,0,0,0,1,0,0,0,1,2
ARV1,0,0,0,0,0,0,0,0,1,0,1
ARX,0,0,0,0,0,0,0,0,1,0,1
ASAH1,0,0,0,0,0,1,0,0,1,0,2
ASH1L,0,0,0,0,0,0,0,0,1,0,1
ASL,0,0,0,0,0,1,0,0,1,0,2
ASNS,0,0,0,0,0,0,0,0,1,0,1
ASPA,0,0,0,0,0,1,0,0,1,0,2
ASS1,0,0,0,0,0,1,0,0,0,0,1
ASXL1,0,0,0,0,0,0,0,0,0,1,1
ASXL2,0,0,0,0,0,0,0,0,0,1,1
ASXL3,0,0,0,0,0,0,0,0,1,0,1
