disease_id,disease_name,source
ORPHA:445038,3-methylglutaconic aciduria-neonatal cataract-neurologic involvement-congenital neutropenia syndrome,HPO_root
ORPHA:79351,"3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form",HPO_root
ORPHA:79350,"3-phosphoserine phosphatase deficiency, infantile/juvenile form",HPO_root
ORPHA:7,3C syndrome,HPO_root
ORPHA:2616,3M syndrome,HPO_root
ORPHA:293843,3MC syndrome,HPO_root
OMIM:257920,3MC syndrome 1,HPO_root
OMIM:265050,3MC syndrome 2,HPO_root
OMIM:248340,3MC syndrome 3,HPO_root
ORPHA:435638,3p25.3 microdeletion syndrome,HPO_root
ORPHA:1621,3q13 microdeletion syndrome,HPO_root
ORPHA:65286,3q29 microdeletion syndrome,HPO_root
ORPHA:251038,3q29 microduplication syndrome,HPO_root
ORPHA:1772,"45,X/46,XY mixed gonadal dysgenesis",HPO_root
OMIM:273250,"46, XY sex reversal 11",HPO_root
ORPHA:2973,"46,XX difference of sex development-anorectal anomalies syndrome",HPO_root
ORPHA:2975,"46,XX difference of sex development-skeletal anomalies syndrome",HPO_root
ORPHA:243,"46,XX gonadal dysgenesis",HPO_root
ORPHA:2138,"46,XX ovotesticular difference of sex development",HPO_root
OMIM:278850,"46,XX sex reversal 2",HPO_root
OMIM:618901,"46,XX sex reversal 5",HPO_root
OMIM:611812,"46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs",HPO_root
ORPHA:393,"46,XX testicular difference of sex development",HPO_root
ORPHA:242,"46,XY complete gonadal dysgenesis",HPO_root
ORPHA:752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",HPO_root
ORPHA:753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",HPO_root
ORPHA:90796,"46,XY difference of sex development due to isolated 17,20-lyase deficiency",HPO_root
ORPHA:168558,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency",HPO_root
ORPHA:168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",HPO_root
ORPHA:325345,"46,XY ovotesticular difference of sex development",HPO_root
ORPHA:251510,"46,XY partial gonadal dysgenesis",HPO_root
OMIM:616425,"46,XY sex reversal 10",HPO_root
OMIM:300833,"46,xx sex reversal 3",HPO_root
OMIM:617480,"46,xx sex reversal 4",HPO_root
OMIM:154230,"46,xy sex reversal 4",HPO_root
OMIM:613762,"46,xy sex reversal 6",HPO_root
OMIM:233420,"46,xy sex reversal 7",HPO_root
OMIM:614279,"46,xy sex reversal 8",HPO_root
OMIM:616067,"46,xy sex reversal 9",HPO_root
OMIM:400045,46XX sex reversal 1,HPO_root
OMIM:607080,46XY gonadal dysgenesis with minifascicular neuropathy,HPO_root
OMIM:400044,46XY sex reversal 1,HPO_root
OMIM:612965,46XY sex reversal 3,HPO_root
OMIM:613080,46XY sex reversal 5,HPO_root
ORPHA:8,"47,XYY syndrome",HPO_root
ORPHA:96263,"48,XXXY syndrome",HPO_root
ORPHA:10,"48,XXYY syndrome",HPO_root
ORPHA:99329,"48,XYYY syndrome",HPO_root
ORPHA:96264,"49,XXXXY syndrome",HPO_root
ORPHA:261534,"49,XXXYY syndrome",HPO_root
ORPHA:99330,"49,XYYYY syndrome",HPO_root
ORPHA:289494,4H leukodystrophy,HPO_root
ORPHA:238750,4q21 microdeletion syndrome,HPO_root
OMIM:260005,5-@oxoprolinase deficiency,HPO_root
ORPHA:33572,5-oxoprolinase deficiency,HPO_root
ORPHA:228384,5q14.3 microdeletion syndrome,HPO_root
ORPHA:261584,5q22 microdeletion syndrome,HPO_root
ORPHA:228415,5q35 microduplication syndrome,HPO_root
OMIM:172150,6-@phosphogluconolactonase deficiency,HPO_root
ORPHA:13,6-pyruvoyl-tetrahydropterin synthase deficiency,HPO_root
ORPHA:251046,6p22 microdeletion syndrome,HPO_root
ORPHA:75857,6q terminal deletion syndrome,HPO_root
ORPHA:171829,6q16 microdeletion syndrome,HPO_root
ORPHA:251056,6q25.2q25.3 microdeletion syndrome,HPO_root
ORPHA:314034,7p22.1 microduplication syndrome,HPO_root
ORPHA:96121,7q11.23 microduplication syndrome,HPO_root
ORPHA:251061,7q31 microdeletion syndrome,HPO_root
ORPHA:96092,8p inverted duplication/deletion syndrome,HPO_root
ORPHA:251066,8p11.2 deletion syndrome,HPO_root
ORPHA:251076,8p23.1 duplication syndrome,HPO_root
ORPHA:251071,8p23.1 microdeletion syndrome,HPO_root
ORPHA:228399,8q12 microduplication syndrome,HPO_root
ORPHA:284160,8q21.11 microdeletion syndrome,HPO_root
ORPHA:178303,8q22.1 microdeletion syndrome,HPO_root
ORPHA:508488,8q24.3 microdeletion syndrome,HPO_root
ORPHA:324313,9p13 microdeletion syndrome,HPO_root
ORPHA:531151,9q21.13 microdeletion syndrome,HPO_root
ORPHA:401923,9q31.1q31.3 microdeletion syndrome,HPO_root
ORPHA:495818,9q33.3q34.11 microdeletion syndrome,HPO_root
ORPHA:85445,AA amyloidosis,HPO_root
ORPHA:439232,AApoAIV amyloidosis,HPO_root
OMIM:600501,ABCD syndrome,HPO_root
OMIM:200100,ABETALIPOPROTEINEMIA,HPO_root
ORPHA:324723,"ABeta amyloidosis, Arctic type",HPO_root
ORPHA:100006,"ABeta amyloidosis, Dutch type",HPO_root
ORPHA:324708,"ABeta amyloidosis, Iowa type",HPO_root
ORPHA:324713,"ABeta amyloidosis, Italian type",HPO_root
ORPHA:324703,ABetaL34V amyloidosis,HPO_root
OMIM:619959,ACCES syndrome,HPO_root
OMIM:604290,ACERULOPLASMINEMIA,HPO_root
OMIM:100675,ACETAMINOPHEN METABOLISM,HPO_root
OMIM:101850,ACROKERATOELASTOIDOSIS,HPO_root
OMIM:102400,ACROOSTEOLYSIS,HPO_root
OMIM:102510,"ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF",HPO_root
OMIM:219080,ACTH-independent macronodular adrenal hyperplasia,HPO_root
OMIM:615954,ACTH-independent macronodular adrenal hyperplasia 2,HPO_root
OMIM:620990,ACTH-independent macronodular adrenal hyperplasia 3,HPO_root
ORPHA:100008,ACys amyloidosis,HPO_root
ORPHA:978,ADULT syndrome,HPO_root
ORPHA:85448,AGel amyloidosis,HPO_root
ORPHA:442582,AH amyloidosis,HPO_root
ORPHA:412069,AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome,HPO_root
ORPHA:250977,AICA-ribosiduria,HPO_root
OMIM:608688,AICA-ribosiduria due to ATIC deficiency,HPO_root
ORPHA:90081,AIDS wasting syndrome,HPO_root
ORPHA:79085,AKT2-related familial partial lipodystrophy,HPO_root
ORPHA:85443,AL amyloidosis,HPO_root
OMIM:601549,ALACRIMA,HPO_root
ORPHA:35664,ALDH18A1-related De Barsy syndrome,HPO_root
ORPHA:439224,ALECT2 amyloidosis,HPO_root
ORPHA:79327,ALG1-CDG,HPO_root
ORPHA:280071,ALG11-CDG,HPO_root
ORPHA:79324,ALG12-CDG,HPO_root
ORPHA:324422,ALG13-CDG,HPO_root
ORPHA:79326,ALG2-CDG,HPO_root
ORPHA:79321,ALG3-CDG,HPO_root
