gene_symbol,n_total_variants,n_pathogenic,n_likely_pathogenic,n_benign,n_likely_benign,n_vus,pathogenic_fraction,benign_fraction,clinical_actionability
BRCA2,13049,8788,258,1448,1506,1001,0.6932331979462028,0.22637750019158556,high
BRCA1,9883,6330,336,1346,1057,706,0.6744915511484367,0.2431447940908631,high
TTN,11872,4674,785,290,2000,4089,0.45982142857142855,0.19289083557951484,high
MSH2,3148,2000,234,100,402,390,0.7096569250317663,0.15946632782719186,high
MLH1,2810,1600,290,141,340,425,0.6725978647686833,0.1711743772241993,high
TSC2,4370,1581,242,94,764,302,0.41716247139588103,0.19633867276887873,high
ATM,4537,1563,426,76,876,1594,0.4383954154727794,0.20983028432885167,high
MSH6,2956,1529,148,106,592,581,0.5673207036535859,0.2361299052774019,high
CFTR,2386,1434,204,26,96,394,0.6865046102263203,0.05113160100586756,high
LDLR,3520,1430,1283,70,206,505,0.7707386363636364,0.07840909090909091,high
DMD,2128,1282,76,174,232,362,0.6381578947368421,0.19078947368421054,high
NF1,2693,1193,147,62,732,521,0.49758633494244336,0.2948384701076866,high
APC,4756,1052,157,125,706,944,0.25420521446593775,0.17472666105971404,high
SCN1A,1680,1004,220,32,100,198,0.7285714285714285,0.07857142857142857,high
PALB2,2042,875,191,26,466,484,0.5220372184133203,0.24094025465230168,high
FBN1,2037,851,550,76,214,346,0.6877761413843888,0.14236622484045164,high
MYBPC3,1965,808,276,45,270,562,0.5516539440203563,0.16030534351145037,high
SYNE1,2056,790,18,222,218,804,0.39299610894941633,0.2140077821011673,high
COL3A1,1300,749,263,66,94,126,0.7784615384615384,0.12307692307692308,high
COL6A3,1297,686,28,142,172,267,0.5505011565150347,0.24209714726291442,high
MYH7,2236,669,283,126,292,864,0.4257602862254025,0.18694096601073346,high
PMS2,1656,666,110,66,328,486,0.46859903381642515,0.23792270531400966,high
DYSF,1138,656,78,78,86,240,0.6449912126537786,0.14411247803163443,high
SCN5A,1972,614,154,12,226,700,0.3894523326572008,0.1206896551724138,high
MECP2,1690,604,360,222,252,252,0.570414201183432,0.2804733727810651,high
KCNH2,1536,586,188,28,72,430,0.50390625,0.06510416666666667,high
ABCA4,1513,578,350,77,116,128,0.6133509583608724,0.12756113681427628,high
TSC1,1772,575,68,110,252,260,0.3628668171557562,0.20428893905191872,high
RYR2,1734,554,98,140,356,586,0.3760092272202999,0.28604382929642447,high
RYR1,1922,542,124,238,468,454,0.3465140478668054,0.3673257023933403,high
KMT2D,1112,538,56,120,242,130,0.5341726618705036,0.3255395683453237,high
OTC,693,537,82,16,8,50,0.8932178932178932,0.03463203463203463,high
DSP,1174,528,124,44,228,248,0.555366269165247,0.23168654173764908,high
USH2A,1451,524,163,158,306,296,0.47346657477601656,0.31977946243969674,high
PLEC,1212,506,4,188,184,330,0.4207920792079208,0.3069306930693069,high
PAH,1250,505,398,38,27,192,0.7224,0.052,high
NIPBL,906,503,98,56,98,151,0.6633554083885209,0.16997792494481237,high
CDH23,1250,502,34,102,246,364,0.4288,0.2784,high
GLA,964,494,246,24,94,104,0.7676348547717843,0.12240663900414937,high
NEB,1130,492,34,208,240,156,0.4654867256637168,0.39646017699115044,high
MUTYH,877,474,90,14,154,145,0.6431014823261118,0.19156214367160776,high
ADGRV1,1003,474,25,148,222,134,0.49750747756729813,0.36889332003988035,high
NSD1,804,470,70,46,136,82,0.6716417910447762,0.2263681592039801,high
LMNA,1148,462,186,22,78,244,0.5644599303135889,0.08710801393728224,high
CHD7,812,453,21,66,140,132,0.583743842364532,0.2536945812807882,high
COL6A2,875,443,44,62,156,170,0.5565714285714286,0.24914285714285714,high
DNAH11,905,438,22,104,244,95,0.5082872928176796,0.38453038674033146,high
MYO7A,958,434,140,56,150,176,0.5991649269311065,0.2150313152400835,high
KCNQ1,1281,433,292,32,116,252,0.5659640905542545,0.11553473848555816,high
CDH1,1464,433,26,123,450,430,0.3135245901639344,0.39139344262295084,high
BRIP1,1656,428,92,44,414,678,0.3140096618357488,0.27657004830917875,high
HBB,1106,401,98,14,58,155,0.4511754068716094,0.0650994575045208,high
F8,514,401,66,22,12,13,0.9085603112840467,0.06614785992217899,high
STK11,980,396,32,38,300,214,0.43673469387755104,0.3448979591836735,high
ASPM,886,386,38,64,102,230,0.4785553047404063,0.1873589164785553,high
COL5A1,1009,381,18,120,342,148,0.39544103072348863,0.4578790882061447,high
COL6A1,758,374,26,116,148,94,0.5277044854881267,0.3482849604221636,high
PTEN,1298,374,114,64,278,466,0.37596302003081666,0.26348228043143296,high
TP53,1116,374,160,76,314,186,0.478494623655914,0.34946236559139787,high
APOB,561,373,18,8,58,104,0.696969696969697,0.11764705882352941,high
RET,863,366,42,32,202,208,0.4727694090382387,0.2711471610660487,high
PKHD1,927,361,70,106,126,264,0.46494066882416396,0.25026968716289105,high
BARD1,1205,361,56,21,306,461,0.34605809128630705,0.2713692946058091,high
MYO15A,719,359,46,50,108,156,0.5632823365785814,0.21974965229485396,high
FBN2,1047,355,14,108,254,316,0.3524355300859599,0.3457497612225406,high
FLNA,673,350,48,46,160,67,0.5913818722139673,0.3060921248142645,high
DNAH5,863,337,36,156,198,134,0.4322132097334878,0.4101969872537659,high
PTCH1,867,333,12,64,362,96,0.39792387543252594,0.4913494809688581,high
CHEK2,1185,318,134,4,186,535,0.38143459915611816,0.16033755274261605,high
VPS13B,815,312,116,32,112,241,0.5251533742331288,0.17668711656441718,high
ZNF469,630,306,10,48,124,142,0.5015873015873016,0.273015873015873,high
OTOF,737,305,46,42,160,132,0.4762550881953867,0.27408412483039346,high
LAMA2,653,304,45,70,108,126,0.5344563552833078,0.2725880551301684,high
SYNE2,992,304,2,250,164,272,0.3084677419354839,0.4173387096774194,high
COL4A5,553,302,172,22,12,24,0.8571428571428571,0.06148282097649186,high
CDKL5,657,295,118,80,86,74,0.6286149162861492,0.2526636225266362,high
RELN,587,289,2,74,88,130,0.4957410562180579,0.27597955706984667,high
GAA,641,286,40,78,80,157,0.5085803432137286,0.24648985959438377,high
CAPN3,614,284,70,20,54,186,0.5765472312703583,0.12052117263843648,high
WFS1,668,282,46,70,124,146,0.49101796407185627,0.2904191616766467,high
RAD51C,559,279,60,2,136,82,0.6064400715563506,0.24686940966010734,high
DMPK,294,278,0,8,2,4,0.9455782312925171,0.034013605442176874,high
POLG,690,276,52,26,90,244,0.4753623188405797,0.1681159420289855,high
MEFV,544,270,16,28,40,126,0.5257352941176471,0.125,high
CACNA1C,683,268,10,78,164,161,0.40702781844802344,0.35431918008784774,high
KCNQ2,588,267,82,56,92,52,0.5935374149659864,0.25170068027210885,high
AGXT,510,265,102,40,38,59,0.7196078431372549,0.15294117647058825,high
DICER1,686,262,22,88,182,132,0.4139941690962099,0.3935860058309038,high
CEP290,571,262,50,42,76,123,0.5464098073555166,0.20665499124343256,high
MEN1,512,260,70,14,90,78,0.64453125,0.203125,high
PKP2,686,258,92,32,102,202,0.5102040816326531,0.19533527696793002,high
NBN,1028,256,68,47,236,413,0.3151750972762646,0.27529182879377434,high
MYH11,743,253,6,49,168,267,0.34858681022880217,0.2920592193808883,high
UBE3A,441,252,36,28,26,99,0.6530612244897959,0.12244897959183673,high
SACS,428,251,26,9,65,77,0.647196261682243,0.17289719626168223,high
RBM20,598,250,12,24,130,182,0.43812709030100333,0.25752508361204013,high
COL1A1,500,248,78,40,32,96,0.652,0.144,high
MTM1,354,248,62,14,6,24,0.8757062146892656,0.05649717514124294,high
POLE,738,248,2,8,267,213,0.33875338753387535,0.37262872628726285,high
COL2A1,464,246,46,74,50,46,0.6293103448275862,0.2672413793103448,high
CREBBP,502,244,60,32,104,54,0.6055776892430279,0.27091633466135456,high
VHL,728,243,111,84,68,222,0.48626373626373626,0.2087912087912088,high
RAD50,1314,242,81,23,314,638,0.24581430745814306,0.256468797564688,high
ZEB2,458,240,18,14,116,70,0.5633187772925764,0.2838427947598253,high
VWF,1040,240,148,54,104,190,0.3730769230769231,0.1519230769230769,high
NRXN1,745,240,0,62,88,351,0.3221476510067114,0.20134228187919462,high
FLCN,461,233,44,46,66,70,0.6008676789587852,0.24295010845986983,high
JAG1,398,226,22,52,60,36,0.6231155778894473,0.2814070351758794,high
CC2D2A,430,226,52,36,36,80,0.6465116279069767,0.16744186046511628,high
COL7A1,388,222,36,30,36,64,0.6649484536082474,0.17010309278350516,high
ABCC8,375,221,50,12,26,60,0.7226666666666667,0.10133333333333333,high
RB1,409,221,26,30,66,64,0.6039119804400978,0.23471882640586797,high
LOXHD1,508,220,8,12,80,186,0.44881889763779526,0.18110236220472442,high
SPG11,420,218,44,10,28,72,0.6238095238095238,0.09047619047619047,high
PCNT,668,217,12,178,76,185,0.34281437125748504,0.38023952095808383,high
HSPG2,673,215,4,114,108,232,0.32540861812778604,0.3298662704309064,high
PTPN11,569,214,70,73,90,116,0.4991212653778559,0.28646748681898065,high
ANK2,721,212,8,52,172,269,0.30513176144244103,0.3106796116504854,high
SMARCA4,592,208,8,26,284,62,0.36486486486486486,0.5236486486486487,high
MET,585,206,8,55,158,146,0.3658119658119658,0.3641025641025641,high
DSG2,562,206,12,38,102,204,0.3879003558718861,0.2491103202846975,high
PCDH15,603,200,11,90,116,178,0.34991708126036486,0.3416252072968491,high
SCN9A,542,200,10,90,106,128,0.3874538745387454,0.36162361623616235,high
DYNC2H1,526,200,34,54,90,148,0.4448669201520912,0.2737642585551331,high
ATP7A,322,198,32,20,21,48,0.7142857142857143,0.12732919254658384,high
SMAD4,611,193,40,46,140,192,0.381342062193126,0.3044189852700491,high
CNTNAP2,780,193,13,64,98,404,0.2641025641025641,0.2076923076923077,high
GALT,492,192,150,8,26,108,0.6951219512195121,0.06910569105691057,high
FH,383,191,92,10,44,44,0.7389033942558747,0.1409921671018277,high
SCN2A,574,190,74,64,78,168,0.45993031358885017,0.24738675958188153,high
FRAS1,668,190,14,200,72,192,0.30538922155688625,0.40718562874251496,high
SCN4A,411,188,28,86,44,59,0.5255474452554745,0.31630170316301703,high
PAFAH1B1,286,186,34,16,12,34,0.7692307692307693,0.0979020979020979,high
DYNC1H1,438,186,34,50,98,70,0.502283105022831,0.3378995433789954,high
BMPR1A,472,185,24,24,98,141,0.4427966101694915,0.2584745762711864,high
ATP7B,502,184,106,60,50,96,0.5776892430278885,0.21912350597609562,high
COL11A2,392,184,10,38,106,54,0.49489795918367346,0.3673469387755102,high
AKAP9,508,184,6,8,164,146,0.37401574803149606,0.33858267716535434,high
DCX,254,182,48,4,12,8,0.905511811023622,0.06299212598425197,high
GNPTAB,437,181,42,34,32,64,0.5102974828375286,0.15102974828375287,high
NPC1,407,181,58,28,68,70,0.5872235872235873,0.23587223587223588,high
SH3TC2,912,180,20,138,156,418,0.21929824561403508,0.3223684210526316,high
MMUT,358,177,40,14,14,55,0.6061452513966481,0.0782122905027933,high
FANCA,501,177,28,100,102,88,0.4091816367265469,0.4031936127744511,high
SPAST,340,176,18,42,32,72,0.5705882352941176,0.21764705882352942,high
LRP2,562,176,8,113,96,165,0.3274021352313167,0.3718861209964413,high
SPTA1,439,175,10,88,52,114,0.4214123006833713,0.31890660592255127,high
GJB2,361,173,66,22,42,58,0.6620498614958449,0.1772853185595568,high
GCK,354,172,100,14,38,30,0.768361581920904,0.14689265536723164,high
SOS1,615,172,32,114,126,171,0.33170731707317075,0.3902439024390244,high
CPLANE1,416,172,30,52,68,94,0.4855769230769231,0.28846153846153844,high
KIF1A,373,170,44,48,28,83,0.5737265415549598,0.2037533512064343,high
NPHS1,392,164,130,16,32,48,0.75,0.12244897959183673,high
SLC2A1,382,164,40,54,34,88,0.5340314136125655,0.23036649214659685,high
SPTAN1,534,162,20,74,184,94,0.3408239700374532,0.48314606741573035,high
F9,210,161,18,13,6,12,0.8523809523809524,0.09047619047619047,high
BLM,386,160,26,28,68,102,0.48186528497409326,0.24870466321243523,high
ERCC6,363,159,24,46,44,90,0.5041322314049587,0.24793388429752067,high
CASR,351,159,54,32,46,60,0.6068376068376068,0.2222222222222222,high
COL5A2,490,158,2,20,186,124,0.32653061224489793,0.4204081632653061,high
FLNB,420,158,10,60,72,86,0.4,0.3142857142857143,high
JUP,346,156,0,24,64,102,0.4508670520231214,0.2543352601156069,high
EHMT1,348,154,14,42,98,40,0.4827586206896552,0.40229885057471265,high
DES,426,154,48,22,50,132,0.47417840375586856,0.16901408450704225,high
MYLK,480,154,6,52,118,150,0.3333333333333333,0.3541666666666667,high
SLC26A4,454,154,120,16,56,108,0.6035242290748899,0.15859030837004406,high
EYS,394,154,46,32,62,98,0.5076142131979695,0.23857868020304568,high
OPA1,353,151,31,68,22,71,0.5155807365439093,0.254957507082153,high
COL1A2,329,151,36,46,54,42,0.5683890577507599,0.303951367781155,high
PCDH19,309,151,24,14,58,62,0.5663430420711975,0.23300970873786409,high
DSC2,418,150,6,18,76,164,0.37320574162679426,0.22488038277511962,high
NPHP4,422,150,2,48,70,152,0.36018957345971564,0.2796208530805687,high
ACTN2,468,150,4,28,138,148,0.32905982905982906,0.3547008547008547,high
NOTCH1,492,150,26,56,182,46,0.35772357723577236,0.483739837398374,high
NOD2,370,148,4,14,72,60,0.41081081081081083,0.23243243243243245,high
ANO5,548,148,32,54,76,230,0.3284671532846715,0.23722627737226276,high
MRE11,1007,148,48,43,214,484,0.19463753723932473,0.25521350546176763,high
TYMP,263,148,36,24,20,35,0.6996197718631179,0.16730038022813687,high
CACNA1A,309,147,30,50,34,28,0.5728155339805825,0.27184466019417475,high
MYH6,734,147,1,94,226,264,0.2016348773841962,0.4359673024523161,high
PDGFRA,408,146,0,52,106,104,0.35784313725490197,0.3872549019607843,high
GRIN2A,650,143,50,162,92,187,0.2969230769230769,0.39076923076923076,high
BTD,318,142,106,2,12,56,0.779874213836478,0.0440251572327044,high
ARSA,318,142,62,16,16,44,0.6415094339622641,0.10062893081761007,high
TNNT2,420,142,56,22,56,144,0.4714285714285714,0.18571428571428572,high
ARID1B,247,141,12,20,68,6,0.6194331983805668,0.3562753036437247,high
PSEN1,468,140,50,12,30,100,0.405982905982906,0.08974358974358974,high
CDKN2A,334,140,44,4,52,91,0.5508982035928144,0.16766467065868262,high
RS1,325,139,46,14,24,26,0.5692307692307692,0.11692307692307692,high
PRKAG2,394,138,12,22,82,140,0.38071065989847713,0.2639593908629442,high
TGFBR2,444,138,44,30,96,136,0.4099099099099099,0.28378378378378377,high
BEST1,374,138,92,22,38,48,0.6149732620320856,0.16042780748663102,high
BRAF,444,136,88,62,72,82,0.5045045045045045,0.30180180180180183,high
POMT2,412,136,22,56,44,154,0.38349514563106796,0.24271844660194175,high
COL11A1,354,136,4,86,70,58,0.3954802259887006,0.4406779661016949,high
IFT140,288,136,10,54,26,62,0.5069444444444444,0.2777777777777778,high
POLD1,452,136,6,14,186,110,0.3141592920353982,0.4424778761061947,high
POMT1,365,134,18,46,54,113,0.41643835616438357,0.273972602739726,high
RAD51D,462,134,30,10,100,188,0.354978354978355,0.23809523809523808,high
PHEX,179,133,30,2,4,10,0.9106145251396648,0.0335195530726257,high
FKTN,312,132,16,10,36,118,0.47435897435897434,0.14743589743589744,high
SMPD1,264,130,36,24,26,46,0.6287878787878788,0.1893939393939394,high
CYP27A1,226,130,26,10,18,40,0.6902654867256637,0.12389380530973451,high
ARX,216,129,18,4,28,37,0.6805555555555556,0.14814814814814814,high
IGHMBP2,342,128,30,46,52,86,0.4619883040935672,0.28654970760233917,high
SLC22A5,316,128,74,34,10,70,0.6392405063291139,0.13924050632911392,high
FANCC,510,128,46,26,102,204,0.3411764705882353,0.25098039215686274,high
CRB1,287,127,54,6,26,50,0.6306620209059234,0.11149825783972125,high
ELN,285,127,18,34,58,48,0.5087719298245614,0.32280701754385965,high
ABCA1,377,127,8,86,62,94,0.35809018567639256,0.3925729442970822,high
PDE6B,236,126,14,15,24,57,0.5932203389830508,0.1652542372881356,high
AR,161,126,10,7,4,14,0.84472049689441,0.06832298136645963,high
COL4A1,332,126,6,80,76,42,0.39759036144578314,0.46987951807228917,high
POMGNT1,294,126,54,14,16,84,0.6122448979591837,0.10204081632653061,high
AXIN2,386,126,2,32,98,128,0.3316062176165803,0.33678756476683935,high
ALMS1,351,125,8,34,94,90,0.3789173789173789,0.3646723646723647,high
TECTA,417,124,18,22,100,151,0.3405275779376499,0.29256594724220625,high
TG,280,124,8,42,32,72,0.4714285714285714,0.2642857142857143,high
KCNJ11,246,124,14,14,16,64,0.5609756097560976,0.12195121951219512,high
MYH9,451,124,18,54,218,37,0.3148558758314856,0.6031042128603105,high
LYST,443,124,18,50,70,146,0.32054176072234764,0.2708803611738149,high
STXBP1,245,124,24,22,42,33,0.6040816326530613,0.2612244897959184,high
TNNI3,359,124,56,6,70,103,0.5013927576601671,0.2116991643454039,high
RECQL4,446,124,28,52,124,118,0.34080717488789236,0.39461883408071746,high
TMEM67,314,122,80,18,38,56,0.643312101910828,0.17834394904458598,high
BAG3,296,122,16,24,52,82,0.46621621621621623,0.25675675675675674,high
SMCHD1,306,122,4,32,20,128,0.4117647058823529,0.16993464052287582,high
LDB3,443,122,4,36,140,141,0.28442437923250563,0.3972911963882618,high
KCNJ2,346,122,20,28,24,126,0.41040462427745666,0.15028901734104047,high
SCN8A,337,121,34,20,78,66,0.4599406528189911,0.29080118694362017,high
RAI1,240,121,0,28,60,31,0.5041666666666667,0.36666666666666664,high
GLI3,438,120,6,96,126,88,0.2876712328767123,0.5068493150684932,high
PEX1,248,120,22,14,30,62,0.5725806451612904,0.1774193548387097,high
MYO6,356,120,14,36,70,114,0.37640449438202245,0.29775280898876405,high
PAX6,269,119,22,26,32,70,0.5241635687732342,0.21561338289962825,high
MBD5,330,119,12,12,93,94,0.396969696969697,0.3181818181818182,high
ABCC9,372,118,12,26,92,124,0.34946236559139787,0.3172043010752688,high
RPGRIP1L,292,118,18,20,42,94,0.4657534246575342,0.21232876712328766,high
CBS,338,118,50,34,64,72,0.4970414201183432,0.28994082840236685,high
WDR62,322,118,8,66,26,104,0.391304347826087,0.2857142857142857,high
PRPH2,299,116,64,37,18,48,0.6020066889632107,0.18394648829431437,high
ZFYVE26,324,116,2,44,34,128,0.36419753086419754,0.24074074074074073,high
BTK,156,116,26,6,4,4,0.9102564102564102,0.0641025641025641,high
ATRX,238,114,22,28,32,36,0.5714285714285714,0.25210084033613445,high
NDE1,373,113,2,40,62,156,0.30831099195710454,0.2734584450402145,high
EDA,197,113,42,8,2,30,0.7868020304568528,0.050761421319796954,high
RPGR,330,113,36,58,28,27,0.45151515151515154,0.2606060606060606,high
ACADM,300,112,70,40,20,58,0.6066666666666667,0.2,high
CUBN,528,112,50,112,72,180,0.3068181818181818,0.3484848484848485,high
CBL,547,111,12,130,78,216,0.22486288848263253,0.3802559414990859,high
KIT,291,111,6,12,82,78,0.4020618556701031,0.3230240549828179,high
ITGB4,249,111,12,22,44,60,0.4939759036144578,0.26506024096385544,high
FREM2,512,110,4,128,52,218,0.22265625,0.3515625,high
MYO3A,326,110,2,40,52,122,0.34355828220858897,0.2822085889570552,high
PNKP,307,110,19,10,52,116,0.4201954397394137,0.20195439739413681,high
WHRN,309,110,2,36,42,119,0.36245954692556637,0.2524271844660194,high
NPHP3,274,110,14,14,46,90,0.45255474452554745,0.21897810218978103,high
KIF7,296,110,2,48,54,82,0.3783783783783784,0.34459459459459457,high
MKS1,230,110,40,14,18,48,0.6521739130434783,0.1391304347826087,high
TERT,274,110,16,28,60,42,0.45985401459854014,0.32116788321167883,high
ANK1,294,110,4,26,48,104,0.3877551020408163,0.25170068027210885,high
AHI1,312,110,28,28,84,62,0.4423076923076923,0.358974358974359,high
LAMP2,275,110,28,10,62,65,0.5018181818181818,0.26181818181818184,high
TPP1,309,109,36,14,48,94,0.4692556634304207,0.20064724919093851,high
CNGB1,300,108,6,56,40,90,0.38,0.32,high
SDHA,306,108,30,28,64,76,0.45098039215686275,0.3006535947712418,high
CCDC40,321,108,4,74,70,65,0.34890965732087226,0.4485981308411215,high
ROR2,242,108,2,40,44,48,0.45454545454545453,0.34710743801652894,high
LAMA4,450,106,2,50,144,148,0.24,0.4311111111111111,high
HMCN1,512,106,0,108,106,192,0.20703125,0.41796875,high
F5,306,106,8,20,90,80,0.37254901960784315,0.35947712418300654,high
SETX,306,106,18,64,52,62,0.40522875816993464,0.3790849673202614,high
GLDC,307,105,90,22,32,58,0.6351791530944625,0.1758957654723127,high
SPTB,307,105,8,4,96,94,0.36807817589576547,0.3257328990228013,high
CP,244,104,8,24,40,64,0.45901639344262296,0.26229508196721313,high
CHRNA4,301,103,2,36,96,48,0.3488372093023256,0.43853820598006643,high
SUBSET OF 189 GENES: CRKL:TBX1,104,102,0,0,0,2,0.9807692307692307,0.0,high
PROM1,208,102,4,22,14,66,0.5096153846153846,0.17307692307692307,high
ABCA3,294,102,6,38,32,108,0.3673469387755102,0.23809523809523808,high
DHCR7,262,102,52,26,20,60,0.5877862595419847,0.17557251908396945,high
HPRT1,129,101,14,4,0,10,0.8914728682170543,0.031007751937984496,high
L1CAM,185,101,20,22,30,12,0.654054054054054,0.2810810810810811,high
LRP5,223,101,18,30,30,44,0.5336322869955157,0.26905829596412556,high
TTR,185,100,38,11,10,26,0.745945945945946,0.11351351351351352,high
KCNQ3,502,100,8,92,134,166,0.2151394422310757,0.450199203187251,high
CASK,164,100,14,24,12,14,0.6951219512195121,0.21951219512195122,high
NLRP3,385,100,38,36,52,66,0.35844155844155845,0.22857142857142856,high
MCPH1,291,100,9,70,26,84,0.3745704467353952,0.32989690721649484,high
PSAP,198,100,14,20,38,26,0.5757575757575758,0.29292929292929293,high
LTBP2,246,100,6,22,14,104,0.43089430894308944,0.14634146341463414,high
TPM1,398,100,36,12,68,170,0.3417085427135678,0.20100502512562815,high
SGCA,221,99,28,22,6,66,0.5746606334841629,0.12669683257918551,high
GFAP,323,99,8,32,34,20,0.33126934984520123,0.2043343653250774,high
SDHB,297,99,73,6,50,69,0.5791245791245792,0.18855218855218855,high
INSR,283,99,4,48,42,90,0.36395759717314485,0.31802120141342755,high
WRN,382,98,16,44,58,158,0.29842931937172773,0.2670157068062827,high
CLN3,302,98,68,8,36,92,0.5496688741721855,0.1456953642384106,high
GNE,306,98,28,22,46,112,0.4117647058823529,0.2222222222222222,high
PYGM,226,98,34,22,18,50,0.584070796460177,0.17699115044247787,high
VCL,370,98,4,22,76,170,0.2756756756756757,0.2648648648648649,high
FGFR2,249,97,22,30,56,42,0.4779116465863454,0.3453815261044177,high
VCAN,362,96,2,78,106,78,0.27071823204419887,0.5082872928176796,high
TRPV4,314,96,22,32,80,60,0.37579617834394907,0.35668789808917195,high
MYH14,372,96,0,82,86,108,0.25806451612903225,0.45161290322580644,high
MYH3,316,96,6,52,102,60,0.3227848101265823,0.4873417721518987,high
ALK,360,96,2,54,136,70,0.2722222222222222,0.5277777777777778,high
ABCA12,240,95,10,60,22,53,0.4375,0.3416666666666667,high
CDK5RAP2,292,94,6,30,28,114,0.3424657534246575,0.19863013698630136,high
EVC,406,94,6,130,52,124,0.24630541871921183,0.4482758620689655,high
CACNA1S,374,94,4,84,138,50,0.2620320855614973,0.5935828877005348,high
TRAPPC9,238,94,2,16,36,90,0.40336134453781514,0.2184873949579832,high
CYBB,194,94,14,4,14,10,0.5567010309278351,0.09278350515463918,high
KRAS,366,94,42,28,108,90,0.37158469945355194,0.37158469945355194,high
TBC1D24,423,94,12,55,64,194,0.25059101654846333,0.28132387706855794,high
TMEM43,292,94,0,22,90,86,0.3219178082191781,0.3835616438356164,high
MPZ,201,93,46,8,8,40,0.6915422885572139,0.07960199004975124,high
MFN2,304,93,36,44,44,87,0.4243421052631579,0.2894736842105263,high
RP1L1,546,92,2,216,139,97,0.17216117216117216,0.6501831501831502,high
GRN,232,92,6,6,40,38,0.4224137931034483,0.19827586206896552,high
ATR,294,92,4,36,100,62,0.32653061224489793,0.46258503401360546,high
FGFR1,270,92,34,34,42,50,0.4666666666666667,0.2814814814814815,high
CPAP,288,92,14,38,22,120,0.3680555555555556,0.20833333333333334,high
HEXA,214,92,44,14,14,42,0.6355140186915887,0.1308411214953271,high
OFD1,180,91,8,16,34,23,0.55,0.2777777777777778,high
WT1,283,91,14,36,48,94,0.3710247349823322,0.2968197879858657,high
SMAD3,446,90,38,30,94,194,0.28699551569506726,0.27802690582959644,high
TYR,268,90,78,4,4,32,0.6268656716417911,0.029850746268656716,high
FKRP,246,90,40,8,28,76,0.5284552845528455,0.14634146341463414,high
GLB1,222,90,48,18,24,32,0.6216216216216216,0.1891891891891892,high
GBA1,204,90,60,6,12,28,0.7352941176470589,0.08823529411764706,high
CEP152,244,90,10,30,32,80,0.4098360655737705,0.2540983606557377,high
FGFR3,237,89,18,30,52,32,0.45147679324894513,0.3459915611814346,high
GABRG2,241,89,10,34,42,66,0.4107883817427386,0.3153526970954357,high
HMBS,149,89,6,18,18,18,0.6375838926174496,0.24161073825503357,high
TWNK,185,88,14,16,8,59,0.5513513513513514,0.12972972972972974,high
ADAMTS13,250,88,26,18,54,32,0.456,0.288,high
COL4A3,280,88,14,74,42,60,0.36428571428571427,0.4142857142857143,high
ABCD1,181,88,40,14,14,25,0.7071823204419889,0.15469613259668508,high
CUL7,248,88,10,42,20,88,0.3951612903225806,0.25,high
EVC2,256,88,2,54,54,58,0.3515625,0.421875,high
GALNS,260,88,36,58,34,44,0.47692307692307695,0.35384615384615387,high
TJP2,265,87,4,54,50,70,0.3433962264150943,0.39245283018867927,high
TGFBR1,414,86,24,30,86,186,0.26570048309178745,0.28019323671497587,high
GABRA1,212,86,12,24,16,66,0.46226415094339623,0.18867924528301888,high
KRT5,328,86,20,48,24,24,0.3231707317073171,0.21951219512195122,high
FOXG1,244,86,38,50,44,26,0.5081967213114754,0.38524590163934425,high
SI,192,86,0,24,22,60,0.4479166666666667,0.23958333333333334,high
ATP13A2,170,86,4,24,24,32,0.5294117647058824,0.2823529411764706,high
DUOX2,220,86,12,30,28,64,0.44545454545454544,0.2636363636363636,high
ABCB11,252,86,16,42,34,74,0.40476190476190477,0.30158730158730157,high
IDUA,234,86,32,52,26,38,0.5042735042735043,0.3333333333333333,high
NOTCH2,255,85,4,26,44,90,0.34901960784313724,0.27450980392156865,high
IDS,155,85,62,2,2,4,0.9483870967741935,0.025806451612903226,high
SPG7,257,85,32,26,50,62,0.45525291828793774,0.29571984435797666,high
OCA2,199,85,26,36,22,28,0.5577889447236181,0.2914572864321608,high
TGM1,169,85,46,10,6,22,0.7751479289940828,0.09467455621301775,high
MVK,302,84,48,22,28,52,0.4370860927152318,0.16556291390728478,high
PDE6A,224,84,2,36,16,86,0.38392857142857145,0.23214285714285715,high
ERCC5,220,84,6,36,28,50,0.4090909090909091,0.2909090909090909,high
LAMB3,274,84,16,60,20,94,0.36496350364963503,0.291970802919708,high
DST,198,84,0,12,32,70,0.42424242424242425,0.2222222222222222,high
PCCB,178,84,26,10,8,48,0.6179775280898876,0.10112359550561797,high
CRPPA,396,84,6,62,42,202,0.22727272727272727,0.26262626262626265,high
LRPPRC,319,83,16,54,26,140,0.3103448275862069,0.2507836990595611,high
EYA1,258,82,6,46,42,82,0.34108527131782945,0.34108527131782945,high
SLC12A3,266,82,22,54,22,84,0.39097744360902253,0.2857142857142857,high
PLA2G6,176,82,54,8,12,20,0.7727272727272727,0.11363636363636363,high
TCF4,340,82,22,80,60,96,0.3058823529411765,0.4117647058823529,high
RPE65,244,82,48,32,18,28,0.5327868852459017,0.20491803278688525,high
KCNT1,207,82,8,40,60,17,0.43478260869565216,0.4830917874396135,high
SPTBN2,222,82,10,4,64,62,0.4144144144144144,0.3063063063063063,high
USH1C,333,82,3,66,72,108,0.2552552552552553,0.4144144144144144,high
ABCC2,233,81,16,32,40,64,0.41630901287553645,0.3090128755364807,high
