Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
ALG8,"Congenital disorder of glycosylation, type Ih",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"1523502, 19648040, 12480927, 2230685, 22306853, 26066342","REN, SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.75
ALMS1,Alstrom syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"17594715, 11941370, 11941369, 25846608, 25296579","HL, REN, SEIZ, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1.0
ALOX12B,"Ichthyosis, congenital, autosomal recessive",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"11773004, 11398099, 16116617, 17139268, 19131948, 25998749",DERM,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75
ALOXE3,"Ichthyosis, congenital, autosomal recessive",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"19434086, 10712205, 19890349, 11773004, 16116617 ",DERM,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75
ALPL,Hypophosphatasia,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"3174660, 8954059, 9781036, 19500388","SK, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
ALS2,Amyotrophic lateral sclerosis,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"2328408, 12601111, 11586297, 17698795, 20018642 ",,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ALX4,Parietal foramina 2,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16319823, 11137991, 19692347, 24668755",SEIZ,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
AMELX,Amelogenesis imperfecta,Definitive,XLD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"1483698, 7599636, 15111628,  11922868",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,3.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
AMN,"Megaloblastic anemia-1, Norwegian type",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"12590260, 22929189, 15024727",AN_TH,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75
AMT,"Hyperglycinaemia, non-ketotic",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"6336599, 3297708, 8005589, 16450403, 9621520, 26179960",SEIZ,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ANK1,Spherocytosis,Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"7883994, 2961992, 1486040, 8640229, 11372755",BIL,Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ANKH,Craniometaphyseal dysplasia,Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"19449425, 20358596, 11326272","HL, SK",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0
ANKRD26,Thrombocytopenia 2,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"21211618, 21467542, 24030261",AN_TH,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75
ANO10,"Spinocerebellar ataxia, autosomal recessive 10",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"21092923, 25089919, 25182700",,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ANO5,"Muscular dystrophy, limb-girdle, type 2L",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"20096397, 23606453, 25891276","SK, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.75
ANTXR2,Hyaline fibromatosis syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12214284, 14508707, 20353455, 21328543, 22383261","IEM, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0
AP3B1,Hermansky-Pudlak syndrome 2,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"23403622, 16551969, 14566336","PULM, DERM",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.75
APC,Adenomatous polyposis coli,Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"17938238, 1651174, 1316610, 1324223, 8395941, 20685668, 11247896",,Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
APC,"Adenomatous polyposis coli, attenuated",Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"20105204, 8064829, 9585611, 20434453, 21078199",,Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
APOB,Apolipoprotein B deficiency,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"15805152, 8468533, 17570373, 17158591, 24842304, 12872264",,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
APTX,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"11176953, 11022012,  15596775, 11586299, 11586300, 14506070","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
AR,Androgen insensitivity,Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12838569, 10995865, 8723113, 10690872, 11587068, 1307250, 11260228",,Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ARFGEF2,Periventricular heterotopia with microcephaly,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"14647276,  19384555,  23755938, 25044680, 25160555",SEIZ,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ARG1,Arginase deficiency,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"7649538, 6422160, 2365823, 1463019, 8902193","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
