disease_id,disease_name,cluster,genes,umap_x,umap_y
ORPHA:79329,,3,MGAT2,-3.4461367,4.3142757
ORPHA:79345,,0,ARSL,-2.8373961,3.245717
ORPHA:79404,,1,"LAMA3, LAMB3, LAMC2",-0.88794553,5.4855294
ORPHA:79408,,1,"COL7A1, MMP1",-1.1422534,5.9625845
ORPHA:79443,,1,GNAS,-3.2040546,5.8156614
ORPHA:79474,,1,LMNA,-0.4874038,6.3451343
ORPHA:79500,,3,"ATP6V1B2, TBC1D24",-2.2555273,3.0687094
ORPHA:797,,1,"HLA-DRB1, BTNL2",-0.54826707,5.857345
ORPHA:798,,2,SETBP1,-3.8357315,4.6851964
ORPHA:800,,2,HSPG2,-4.4570665,5.8590026
ORPHA:805,,1,"IFNG, TSC1, TSC2",0.008971799,5.011682
ORPHA:811,,1,"SRP54, SBDS, EFL1",-1.5050831,5.777281
ORPHA:818,,0,DHCR7,-5.002084,2.854869
ORPHA:819,,3,"FLII, DEAF1, RAI1",-5.054739,2.389338
ORPHA:821,,3,"APC2, SETD2, NSD1",-3.4296584,1.1078017
ORPHA:84,,0,"BRCA1, BRCA2, ERCC4",-5.268564,3.054203
ORPHA:847,,1,ATRX,-5.1793838,2.64795
ORPHA:857,,0,"SALL1, DACT1",-5.5032096,3.1743405
ORPHA:861,,2,"TCOF1, POLR1C, POLR1D",-5.4397616,4.079095
ORPHA:86309,,1,DPAGT1,-1.0491178,4.2830963
ORPHA:900,,1,"CTLA4, HLA-DPA1, HLA-DPB1",-0.44495183,5.8331594
ORPHA:902,,1,WRN,-0.47814962,6.2875547
ORPHA:90321,,1,"ERCC8, ERCC4, ERCC6",-1.2354375,4.4715104
ORPHA:90324,,1,"ERCC8, ERCC6",-1.2690705,4.6293826
ORPHA:90348,,3,"ELN, ALDH18A1, FBLN5",-3.5841026,6.50216
ORPHA:904,,1,"ELN, GTF2I, LIMK1",-4.570038,2.1669116
ORPHA:906,,1,"WAS, WIPF1",-0.58746064,5.8396587
ORPHA:909,,1,CYP27A1,-0.07928516,5.0121546
ORPHA:910,,1,"DDB2, ERCC2, ERCC3",-0.3946181,5.1433425
ORPHA:91347,,1,CDH23,-0.39338738,6.068248
ORPHA:93307,,2,SLC26A2,-4.2071967,5.6531115
ORPHA:93357,,2,TONSL,-3.6767182,5.6216607
ORPHA:93473,,1,IDUA,-2.422633,6.1124997
ORPHA:93924,,1,"FGF8, FGFR1, GAS1",-0.044863544,3.762031
ORPHA:93925,,1,"FGF8, GAS1, GLI2",-0.04375558,3.7637422
ORPHA:93926,,1,"FGF8, GAS1, GLI2",-0.04700161,3.7721221
ORPHA:93932,,2,MED12,-4.563885,3.2591674
ORPHA:955,,2,NOTCH2,-5.029418,5.041766
ORPHA:95699,,2,POR,-4.393825,5.0989833
ORPHA:96182,,3,GRB10,-4.5617285,5.4068956
ORPHA:96253,,1,"ATRX, BRAF, NR3C1",-0.36832651,6.163664
ORPHA:963,,1,"AIP, GPR101",-1.9662899,5.925634
ORPHA:96334,,2,"DLK1, MEG3, RTL1",-3.3832655,3.2546818
ORPHA:97297,,0,ASXL1,-2.9445302,3.5931485
ORPHA:97685,,1,NF1,-1.7246852,0.8369238
ORPHA:98754,,3,"NDN, OCA2, SNRPN",-1.8859773,0.75191885
ORPHA:98914,,1,"CHAT, COL13A1, MYO9A",-0.98447365,3.8550727
ORPHA:99027,,1,LMNB1,-0.19261374,4.870343
ORPHA:99646,,1,IDH1,-2.8172472,4.035168
ORPHA:99843,,1,SLC35C1,-2.036679,4.7176213
