orpha_code,name,disorder_type,group,synonyms,geo_prevalence
1458,CODAS syndrome,Malformation syndrome,Disorder,Cerebrooculodentoauriculoskeletal syndrome,Global
141253,Oblique facial cleft,Clinical group,Group of disorders,Orbitofacial cleft,Global
1454,Joubert syndrome with hepatic defect,Disease,Disorder,COACH syndrome|Cerebellar vermis hypoplasia-oligophrenia-congenital ataxia-coloboma-hepatic fibrosis|Gentile syndrome|JS-H|Joubert syndrome with congenital hepatic fibrosis,Global
190,Coats disease,Disease,Disorder,Congenital retinal telangiectasia|Leber miliary aneurysm,Global
141199,OBSOLETE: Cerebrofacial arteriovenous metameric syndrome type 3,Clinical subtype,Subtype of disorder,OBSOLETE: CAMS3,Global
1429,Benign hereditary chorea,Disease,Disorder,BHC|Benign familial chorea,Global
141194,OBSOLETE: Cerebrofacial arteriovenous metameric syndrome type 1,Clinical subtype,Subtype of disorder,OBSOLETE: CAMS1,Global
141189,Cerebrofacial arteriovenous metameric syndrome,Malformation syndrome,Disorder,CAMS,Global
1426,Greenberg dysplasia,Disease,Disorder,"Hydrops-ectopic calcification-motheaten syndrome|Skeletal dysplasia, Greenberg type|HEM dysplasia",Global
141184,Rapidly involuting congenital hemangioma,Disease,Disorder,RICH,Global
1427,Autosomal recessive otospondylomegaepiphyseal dysplasia,Disease,Disorder,OSMED,Global
1435,Xq21 microdeletion syndrome,Malformation syndrome,Disorder,Ayazi syndrome|Monosomy Xq21|Del(X)(q21),Global
141219,Nasal dorsum fistula,Morphological anomaly,Disorder,,Global
1436,X-linked skeletal dysplasia-intellectual disability syndrome,Malformation syndrome,Disorder,Christian syndrome,Global
141214,Isolated congenital syngnathia,Malformation syndrome,Disorder,Isolated congenital maxillomandibular fusion,Global
141209,Diffuse lymphatic malformation,Malformation syndrome,Disorder,Diffuse lymphangioma|Diffuse lymphangiomatosis|Disseminated lymphangioma|Disseminated lymphangiomatosis|Disseminated lymphatic malformation|GLA|Generalized lymphatic anomaly,Global
1432,Autosomal dominant chorioretinopathy-microcephaly syndrome,Malformation syndrome,Disorder,,Global
1433,Choroidal atrophy-alopecia syndrome,Malformation syndrome,Disorder,Moloney syndrome|Regional choroidal atrophy and alopecia,Global
155832,Rare head and neck malformation,Category,Group of disorders,,Global
1484,Contractures-ectodermal dysplasia-cleft lip/palate syndrome,Malformation syndrome,Disorder,Ladda-Zonana-Ramer syndrome,Global
155835,Cysts and fistulae of the face and oral cavity,Category,Group of disorders,,Global
141333,Biemond syndrome type 2,Disease,Disorder,Hypogonadism-short stature-coloboma-preaxial polydactyly syndrome,Global
155878,Submucosal cleft palate,Morphological anomaly,Disorder,,Global
1490,Corneal dystrophy-perceptive deafness syndrome,Malformation syndrome,Disorder,CDPD|Corneal dystrophy with progressive deafness|Harboyan syndrome|Corneal dystrophy with progressive hearing loss|Corneal dystrophy-perceptive hearing loss syndrome,Global
1487,Cooks syndrome,Malformation syndrome,Disorder,Anonychia-onychodystrophy with hypoplasia or absence of distal phalanges syndrome|ODP,Global
155838,Pinnae fistula or cyst,Morphological anomaly,Disorder,,Global
155867,Paramedian facial cleft,Clinical group,Group of disorders,Tessier number 1-1 and 2-12 facial cleft,Global
1486,Lethal congenital contracture syndrome type 1,Malformation syndrome,Disorder,"Herva disease|LCCS1|Multiple contracture syndrome, Finnish type",Global
141276,Tessier number 7 facial cleft,Morphological anomaly,Disorder,Commissural facial cleft|Transverse facial cleft,Global
141265,Tessier number 6 facial cleft,Morphological anomaly,Disorder,,Global
1466,COFS syndrome,Clinical subtype,Subtype of disorder,Cerebrooculofacioskeletal syndrome|Pena-Shokeir syndrome type 2,Global
141269,Lateral facial cleft,Clinical group,Group of disorders,,Global
141327,OBSOLETE: Orofaciodigital syndrome type 12,Malformation syndrome,Disorder,OBSOLETE: OFD12|OBSOLETE: Moran-Barroso syndrome|OBSOLETE: Oral-facial-digital syndrome type 12,Global
141330,OBSOLETE: Orofaciodigital syndrome type 13,Malformation syndrome,Disorder,OBSOLETE: Degner syndrome|OBSOLETE: Oral-facial-digital syndrome type 13|OBSOLETE: OFD13,Global
1471,Coloboma of macula-brachydactyly type B syndrome,Malformation syndrome,Disorder,Sorsby syndrome,Global
141288,Midline cervical cleft,Morphological anomaly,Disorder,,Global
141291,Cleft lip and alveolus,Morphological anomaly,Disorder,,Global
141091,Polyrrhinia,Malformation syndrome,Disorder,Double nose|Polyrhinia,Global
1408,Hair defect-photosensitivity-intellectual disability syndrome,Malformation syndrome,Disorder,Calderón-González-Cantu syndrome,Global
1409,Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome,Malformation syndrome,Disorder,Salamon syndrome,Global
141083,Nasolacrimal duct cyst,Morphological anomaly,Disorder,Dacryocystocele|Nasolacrimal mucocele|Dacryocele,Global
1410,Uncombable hair syndrome,Disease,Disorder,Pili trianguli et canaliculi,Global
141099,Proboscis lateralis,Malformation syndrome,Disorder,Congenital tubular nose,Global
141096,Supernumerary nostril,Malformation syndrome,Disorder,Accessory nostril,Global
1412,Tarsal-carpal coalition syndrome,Malformation syndrome,Disorder,,Global
141107,Nasopharyngeal teratoma,Clinical subtype,Subtype of disorder,Teratoma of the nasopharynx,Global
141103,Nasal dermoid cyst,Morphological anomaly,Disorder,Nasal dermoid sinus cyst,Global
141115,Nasal ganglioglioma,Disease,Disorder,,Global
1416,Familial calcium pyrophosphate deposition,Disease,Disorder,Calcium pyrophosphate dihydrate crystal deposition disease|Familial CC|Familial CPPD|Familial articular chondrocalcinosis|Hereditary CC|Hereditary articular chondrocalcinosis|Hereditary calcium pyrophosphate deposition,Global
141112,Nasal glial heterotopia,Disease,Disorder,Nasal glioma,Global
1394,Cerebrofaciothoracic dysplasia,Malformation syndrome,Disorder,Pascual-Castroviejo syndrome type 1,Global
141051,Facial dermoid cyst,Morphological anomaly,Disorder,Dermoid cyst of the face,Global
141064,Isolated lower lip fistula,Morphological anomaly,Disorder,Isolated lower lip pits|Non-syndromic familial congenital lower lip pits,Global
1396,OBSOLETE: Cerebrorenodigital syndrome,Malformation syndrome,Disorder,,Global
141061,Commissural lip fistula,Morphological anomaly,Disorder,,Global
141071,Isolated digestive duplication cyst of the tongue,Morphological anomaly,Disorder,Enteric duplication cyst of the tongue|Foregut duplication cyst of the tongue|Gastric duplication cyst of the tongue,Global
1397,Hydrocephaly-cerebellar agenesis syndrome,Malformation syndrome,Disorder,,Global
141067,Cervicofacial fibrochondroma,Morphological anomaly,Disorder,,Global
1398,Isolated cerebellar agenesis,Morphological anomaly,Disorder,Near total absence of cerebellum|Subtotal absence of cerebellum,Global
1399,Richards-Rundle syndrome,Malformation syndrome,Disorder,Ketoaciduria-intellectual disability-ataxia-deafness syndrome|Ketoaciduria-intellectual disability-ataxia-hearing loss syndrome,Global
141077,Epignathus,Clinical subtype,Subtype of disorder,Oropharyngeal teratoma,Global
1401,CHAND syndrome,Malformation syndrome,Disorder,Baughman syndrome|CHANDS|Curly hair-ankyloblepharon-nail dysplasia syndrome,Global
141074,External auditory canal aplasia/hypoplasia,Morphological anomaly,Disorder,External auditory canal stenosis/atresia,Global
141152,Isolated congenital hypoglossia/aglossia,Morphological anomaly,Disorder,,Global
174,"Metaphyseal chondrodysplasia, Schmid type",Disease,Disorder,MDSC|SMCD,Global
141163,Glossopalatine ankylosis,Malformation syndrome,Disorder,Cosack syndrome,Global
141168,OBSOLETE: Frontonasal arteriovenous malformation,Malformation syndrome,Disorder,,Global
141171,OBSOLETE: Maxillary arteriovenous malformation,Malformation syndrome,Disorder,OBSOLETE: Arteriovenous malformation of maxilla,Global
1425,Desbuquois syndrome,Malformation syndrome,Disorder,Desbuquois dysplasia|DBQD,Global
141174,OBSOLETE: Mandibular arteriovenous malformation,Malformation syndrome,Disorder,OBSOLETE: Arteriovenous malformation of mandible,Global
141179,Non-involuting congenital hemangioma,Disease,Disorder,NICH,Global
141118,Nasal encephalocele,Clinical subtype,Subtype of disorder,,Global
1420,"OBSOLETE: Lethal chondrodysplasia, Moerman type",Malformation syndrome,Disorder,OBSOLETE: Moerman-Vandenberghe-Fryns syndrome,Global
141121,Congenital subglottic stenosis,Malformation syndrome,Disorder,,Global
141124,Congenital laryngeal cyst,Morphological anomaly,Disorder,,Global
1421,"OBSOLETE: Lethal chondrodysplasia, Seller type",Malformation syndrome,Disorder,,Global
141127,Congenital tracheal stenosis,Morphological anomaly,Disorder,,Global
141132,Oculo-auriculo-vertebral spectrum,Malformation syndrome,Disorder,OAV spectrum|Oculoauriculovertebral spectrum,Global
141136,Otomandibular syndrome,Malformation syndrome,Disorder,First branchial arch syndrome|Laterofacial microsomia|Otomandibular dysostosis|Hemifacial microsomia,Global
141145,Hemifacial hyperplasia,Malformation syndrome,Disorder,Hemifacial hypertrophy,Global
141148,Hemifacial myohyperplasia,Malformation syndrome,Disorder,,Global
156728,"Spondyloepimetaphyseal dysplasia, matrilin-3 type",Disease,Disorder,"SEMD, MATN3-related|SEMD, matrilin-3 type",Global
1375,Cataract-hypertrichosis-intellectual disability syndrome,Malformation syndrome,Disorder,CAHMR syndrome,Global
156723,Piepkorn dysplasia,Disease,Disorder,Short ribs-craniosynostosis-polysyndactyly syndrome,Global
1376,OBSOLETE: Congenital cataract-ichthyosis syndrome,Disease,Disorder,,Global
163,Hereditary hyperferritinemia-cataract syndrome,Disease,Disorder,Hereditary hyperferritinemia-cataract disease|HHCS|Hereditary hyperferritinemia with cataracts,Global
156643,Genetic endocrine growth disease,Category,Group of disorders,,Global
156638,Rare genetic endocrine disease,Category,Group of disorders,,Global
156629,Rare genetic cause of hypertension,Category,Group of disorders,,Global
1373,Cataract-aberrant oral frenula-growth delay syndrome,Malformation syndrome,Disorder,Wellesley-Carman-French syndrome,Global
156622,Genetic urogenital tract malformation,Category,Group of disorders,,Global
156619,Rare genetic urogenital disease,Category,Group of disorders,,Global
1368,Cataract-ataxia-deafness syndrome,Disease,Disorder,Cataract-ataxia-hearing loss syndrome,Global
156610,Rare genetic respiratory disease,Category,Group of disorders,,Global
1366,Autosomal recessive palmoplantar keratoderma and congenital alopecia,Disease,Disorder,"Autosomal recessive palmoplantar hyperkeratosis and congenital alopecia|Cataract-alopecia-sclerodactyly syndrome|PPK-CA, Wallis type|Palmoplantar keratoderma and congenital alopecia, Wallis type",Global
156607,Genetic biliary tract disease,Category,Group of disorders,,Global
156604,Genetic parenchymatous liver disease,Category,Group of disorders,,Global
156601,Rare genetic hepatic disease,Category,Group of disorders,,Global
156532,Rare syndrome with cardiac malformations,Category,Group of disorders,,Global
156252,Tracheal anomaly,Category,Group of disorders,,Global
1361,Carnosinase deficiency,Biological anomaly,Disorder,,Global
1393,Cerebrocostomandibular syndrome,Malformation syndrome,Disorder,,Global
157823,Klüver-Bucy syndrome,Clinical syndrome,Disorder,,Global
157826,Congenital epulis,Disease,Disorder,Congenital gingival cell tumor|Congenital granular cell tumor|Neumann tumor,Global
157808,Isolated pseudoarthrosis of the limbs,Morphological anomaly,Disorder,Isolated congenital pseudarthrosis of the limbs|Congenital pseudoarthrosis of the limbs,Global
1390,Night blindness-skeletal anomalies-dysmorphism syndrome,Malformation syndrome,Disorder,Hunter-Thompson-Reed syndrome,Global
157820,Cold-induced sweating syndrome,Disease,Disorder,CISS,Global
1389,Cortical blindness-intellectual disability-polydactyly syndrome,Malformation syndrome,Disorder,,Global
157798,Serrated polyposis syndrome,Disease,Disorder,Hyperplastic polyposis syndrome,Global
1388,Catel-Manzke syndrome,Malformation syndrome,Disorder,"Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome|Index finger anomaly-Pierre Robin syndrome|Micrognathia digital syndrome|Palatodigital syndrome, Catel-Manzke type|Pierre Robin sequence-hyperphalangy-clinodactyly syndrome|Pierre Robin syndrome-hyperphalangy-clinodactyly syndrome",Global
157801,Mesoaxial synostotic syndactyly with phalangeal reduction,Morphological anomaly,Disorder,"MSSD|Syndactyly type 9|Syndactyly, Malik-Percin type",Global
1387,Cataract-intellectual disability-hypogonadism syndrome,Malformation syndrome,Disorder,Martsolf syndrome,Global
157791,Epithelioid hemangioendothelioma,Disease,Disorder,EHE,Global
157794,Hereditary mixed polyposis syndrome,Disease,Disorder,HMPS,Global
157769,Situs ambiguus,Morphological anomaly,Disorder,Incomplete situs inversus|Partial situs inversus|Situs ambiguous,Global
157788,Hypospadias-hypertelorism-coloboma and deafness syndrome,Malformation syndrome,Disorder,Hypospadias-hypertelorism-coloboma and hearing loss syndrome,Global
157716,Late infantile CACH syndrome,Clinical subtype,Subtype of disorder,,Global
1381,OBSOLETE: Cataract-intellectual disability-anal atresia-urinary defects syndrome,Malformation syndrome,Disorder,OBSOLETE: Karandikar-Maria-Kamble syndrome,Global
157719,Juvenile or adult CACH syndrome,Clinical subtype,Subtype of disorder,,Global
1380,Cataract-nephropathy-encephalopathy syndrome,Malformation syndrome,Disorder,Crome syndrome,Global
157713,Congenital or early infantile CACH syndrome,Clinical subtype,Subtype of disorder,,Global
156731,"Dyssegmental dysplasia, Rolland-Desbuquois type",Disease,Disorder,,Global
1377,Cataract-microcornea syndrome,Malformation syndrome,Disorder,,Global
157215,Hereditary hypophosphatemic rickets with hypercalciuria,Disease,Disorder,HHRH,Global
1325,Camptodactyly-taurinuria syndrome,Malformation syndrome,Disorder,Familial streblodactyly with amino-aciduria,Global
156159,Isolated dystonia,Category,Group of disorders,Pure dystonia,Global
1326,"Camptodactyly syndrome, Guadalajara type 2",Malformation syndrome,Disorder,,Global
156156,"Lipoatrophy with diabetes, leukomelanodermic papules, liver steatosis, and hypertrophic cardiomyopathy",Disease,Disorder,,Global
156165,Retinal ciliopathy,Category,Group of disorders,,Global
1327,"Camptodactyly syndrome, Guadalajara type 1",Malformation syndrome,Disorder,,Global
156162,Renal ciliopathy,Category,Group of disorders,,Global
1328,Camurati-Engelmann disease,Malformation syndrome,Disorder,Progressive diaphyseal dysplasia,Global
156146,Predominantly small-vessel vasculitis,Clinical group,Group of disorders,,Global
1321,Camptodactyly-fibrous tissue hyperplasia-skeletal anomalies syndrome,Malformation syndrome,Disorder,Goodman camptodactyly,Global
156143,Predominantly medium-vessel vasculitis,Clinical group,Group of disorders,,Global
1323,Camptodactyly-joint contractures-facial skeletal defects syndrome,Malformation syndrome,Disorder,Rozin camptodactyly syndrome,Global
156152,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Clinical group,Group of disorders,AAV|ANCA-associated vasculitis|Antineutrophil cytoplasmic antibody-associated vasculitis,Global
156149,Immune complex mediated vasculitis,Category,Group of disorders,,Global
1314,Symmetrical thalamic calcifications,Disease,Disorder,Bilateral symmetrical thalamic gliosis,Global
156071,OBSOLETE: Keratoconus,Category,Group of disorders,,Global
156005,Primary early-onset glaucoma,Clinical group,Group of disorders,,Global
1317,CAMFAK syndrome,Disease,Disorder,CAMAK syndrome|Cataract-microcephaly-arthrogryposis-kyphosis syndrome|Cataract-microcephaly-failure to thrive-kyphoscoliosis syndrome,Global
156140,Predominantly large-vessel vasculitis,Clinical group,Group of disorders,,Global
1318,"Campomelia, Cumming type",Malformation syndrome,Disorder,Cumming syndrome,Global
1319,Camptobrachydactyly,Malformation syndrome,Disorder,,Global
155889,Coloboma of inferior eyelid,Morphological anomaly,Disorder,Inferior palpebral coloboma,Global
1305,Feingold syndrome,Malformation syndrome,Disorder,Brunner-Winter syndrome|Digital anomalies with short palpebral fissures and atresia of esophagus or duodenum|FGLDS|FS|MMT|MODED syndrome|Microcephaly-digital anomalies-normal intelligence syndrome|Microcephaly-intellectual disability-tracheoesophageal fistula syndrome|Microcephaly-oculo-digito-esophageal-duodenal syndrome syndrome|ODED syndrome|Oculo-digito-esophageal-duodenal syndrome,Global
1307,Distal limb deficiencies-micrognathia syndrome,Malformation syndrome,Disorder,10q24 microduplication syndrome|Buttiens-Fryns syndrome,Global
155884,Coloboma of superior eyelid,Morphological anomaly,Disorder,Superior palpebral coloboma,Global
155899,Mandibulofacial dysostosis,Clinical group,Group of disorders,Bilateral and symmetric oto-mandibular dysplasia,Global
155896,Otomandibular dysplasia,Category,Group of disorders,,Global
1313,Infantile choroidocerebral calcification syndrome,Disease,Disorder,,Global
156237,Syndrome or malformation associated with head and neck malformations,Category,Group of disorders,,Global
1350,Heart-hand syndrome type 2,Malformation syndrome,Disorder,Atriodigital dysplasia type 2|Tabatznik syndrome,Global
156243,Pinnae and external auditory canal anomaly,Category,Group of disorders,,Global
156246,Nose and cavum anomaly,Category,Group of disorders,,Global
1355,Congenital heart defect-round face-developmental delay syndrome,Malformation syndrome,Disorder,Sonoda syndrome,Global
1352,Atrioventricular defect-blepharophimosis-radial and anal defect syndrome,Malformation syndrome,Disorder,Houlston-Ironton-Temple syndrome,Global
156249,Larynx anomaly,Category,Group of disorders,,Global
156212,Hypoglossia/aglossia,Category,Group of disorders,,Global
1342,Heart-hand syndrome type 3,Malformation syndrome,Disorder,"Atriodigital dysplasia type 3|Cardiomelic syndrome type 3|Heart-hand syndrome, Spanish type|Heart-limb syndrome type 3",Global
156215,Oromandibular-limb anomalies syndrome,Category,Group of disorders,,Global
156224,Paralytic facial malformation,Category,Group of disorders,,Global
1345,Cardiomyopathy-cataract-hip spine disease syndrome,Disease,Disorder,Krasnow-Qazi syndrome,Global
156230,OBSOLETE: Facial arteriovenous malformation,Clinical group,Group of disorders,,Global
156180,Retinal ciliopathy due to mutation in nephronophthisis gene,Category,Group of disorders,,Global
1338,Heart defect-tongue hamartoma-polysyndactyly syndrome,Malformation syndrome,Disorder,Ostravik-Lindemann-Solberg syndrome,Global
156183,Retinal ciliopathy due to mutation in Bardet-Biedl gene,Category,Group of disorders,,Global
156202,Otomandibular dysplasia associated with monogenic syndromes,Category,Group of disorders,,Global
1340,Cardiofaciocutaneous syndrome,Malformation syndrome,Disorder,CFC syndrome,Global
1339,OBSOLETE: Cranioacrofacial syndrome,Malformation syndrome,Disorder,OBSOLETE: Grosse syndrome,Global
156207,Macroglossia,Category,Group of disorders,,Global
156168,Retinal ciliopathy due to mutation in the retinitis pigmentosa-1 gene,Category,Group of disorders,Retinal ciliopathy due to mutation in RP1 gene,Global
2856,Persistent Müllerian duct syndrome,Malformation syndrome,Disorder,PMDS|Persistent Müllerian derivatives,Global
156171,Retinal ciliopathy due to mutation in the RPGR gene,Category,Group of disorders,,Global
156174,Retinal ciliopathy due to mutation in the RPGRIP gene,Category,Group of disorders,,Global
1336,Hyperkeratosis-hyperpigmentation syndrome,Disease,Disorder,,Global
156177,Retinal ciliopathy due to mutation in Usher gene,Category,Group of disorders,,Global
1335,Pentalogy of Cantrell,Malformation syndrome,Disorder,Cantrell deformity|Cantrell syndrome|Thoraco-abdominal syndrome,Global
1683,Distichiasis-congenital heart defects-peripheral vascular anomalies syndrome,Malformation syndrome,Disorder,,Global
1682,Arterial dissection-lentiginosis syndrome,Malformation syndrome,Disorder,,Global
1680,"OBSOLETE: Spastic diplegia, infantile type",Disease,Disorder,OBSOLETE: Little syndrome,Global
1678,Dincsoy-Salih-Patel syndrome,Malformation syndrome,Disorder,Facial dysmorphism-ambiguous genitalia-hypopituitarism-short limbs syndrome,Global
1757,Fibular dimelia-diplopodia syndrome,Malformation syndrome,Disorder,Leg duplication-mirror foot syndrome,Global
1756,Caudal duplication,Malformation syndrome,Disorder,Dipygus|Split notochord syndrome,Global
1767,Familial progressive vestibulocochlear dysfunction,Disease,Disorder,,Global
1765,OBSOLETE: Dyschondrosteosis-nephritis syndrome,Malformation syndrome,Disorder,,Global
140162,Inherited cancer-predisposing syndrome,Category,Group of disorders,,Global
1766,Dysequilibrium syndrome,Disease,Disorder,CAMRQ syndrome|Non-progressive cerebellar ataxia-intellectual disability syndrome|Cerebellar ataxia-intellectual disability-dysequilibrium syndrome|Uner Tan syndrome|UTS,Global
1777,Temtamy syndrome,Malformation syndrome,Disorder,Craniofacial dysmorphism-coloboma-corpus callosum agenesis syndrome|Temtamy-Shalash syndrome,Global
1780,Thakker-Donnai syndrome,Malformation syndrome,Disorder,Dysmorphism-multiple structural anomalies syndrome,Global
1772,"45,X/46,XY mixed gonadal dysgenesis",Malformation syndrome,Disorder,"45,X/46,XY MGD|45,X0/46,XY MGD|45,X0/46,XY mixed gonadal dysgenesis",Global
1784,Acrofrontofacionasal dysostosis,Malformation syndrome,Disorder,Richieri-Costa-Colletto syndrome,Global
1782,Dysosteosclerosis,Malformation syndrome,Disorder,,Global
1790,Hypomandibular faciocranial dysostosis,Malformation syndrome,Disorder,,Global
1792,Humerospinal dysostosis,Disease,Disorder,,Global
1786,"Acrofacial dysostosis, Catania type",Malformation syndrome,Disorder,Opitz-Caltabiano syndrome,Global
1788,"Acrofacial dysostosis, Rodríguez type",Malformation syndrome,Disorder,,Global
859,Transcobalamin deficiency,Disease,Disorder,Inherited deficiency of transcobalamin|Transcobalamin II deficiency,Global
139441,Hypomyelination with atrophy of basal ganglia and cerebellum,Disease,Disorder,H-ABC,Global
3196,Steroid dehydrogenase deficiency-dental anomalies syndrome,Disease,Disorder,Lyngstadaas syndrome,Global
139444,Leukoencephalopathy with bilateral anterior temporal lobe cysts,Disease,Disorder,,Global
139447,Progressive cavitating leukoencephalopathy,Disease,Disorder,,Global
1573,Hypotrichosis with juvenile macular degeneration,Malformation syndrome,Disorder,HJMD|Hypotrichosis with juvenile macular dystrophy,Global
726,Alpers-Huttenlocher syndrome,Disease,Disorder,Alpers progressive sclerosing poliodystrophy|Alpers syndrome|Progressive neuronal degeneration of childhood with liver disease,Global
139450,Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome,Malformation syndrome,Disorder,Balikova-Vermeesch syndrome,Global
1575,OBSOLETE: Infantile striatothalamic degeneration,Disease,Disorder,,Global
139455,Autosomal recessive bestrophinopathy,Disease,Disorder,"Retinopathy, Burgess-Black type",Global
1574,Retinal degeneration-nanophthalmos-glaucoma syndrome,Malformation syndrome,Disorder,Mackay-Shek-Carr syndrome,Global
139466,SERKAL syndrome,Malformation syndrome,Disorder,"Sex reversion-kidneys, adrenal and lung dysgenesis syndrome",Global
1577,OBSOLETE: Infantile thalamic degeneration,Disease,Disorder,,Global
1596,Distal deletion 15q syndrome,Malformation syndrome,Disorder,Distal monosomy 15q|15q26 deletion syndrome|Monosomy 15q26|Telomeric 15q deletion syndrome,Global
139471,Microphthalmia with brain and digit anomalies,Malformation syndrome,Disorder,Bakrania-Ragge syndrome|MCOPS6|Syndromic microphthalmia type 6,Global
139474,17q11.2 microduplication syndrome,Malformation syndrome,Disorder,Dup(17)(q11.2)|Grisart-Destrée syndrome|Trisomy 17q11.2,Global
139477,Al-Gazali-Dattani syndrome,Malformation syndrome,Disorder,,Global
1617,Developmental delay-language impairment-dopa responsive dystonia-parkinsonism syndrome due to 2q24 microdeletion,Etiological subtype,Subtype of disorder,Del(2)(q24)|Monosomy 2q24,Global
1606,1p36 deletion syndrome,Malformation syndrome,Disorder,Del(1)(p36)|Deletion 1p36|Deletion 1pter|Monosomy 1p36|Monosomy 1pter|Subtelomeric 1p36 deletion,Global
139480,Autosomal recessive spastic paraplegia type 39,Disease,Disorder,SPG39|Spastic paraplegia due to NTE mutation|Spastic paraplegia due to neuropathy target esterase mutation,Global
1647,Oculocerebrocutaneous syndrome,Malformation syndrome,Disorder,Delleman syndrome|Delleman-Oorthuys syndrome|Leichtman-Wood-Rohn syndrome|OCCS|Orbital cyst with cerebral and focal dermal malformations,Global
139485,Autosomal recessive ataxia due to ubiquinone deficiency,Disease,Disorder,ARCA2|Autosomal recessive ataxia due to coenzyme Q10 deficiency|Autosomal recessive cerebellar ataxia type 2|Autosomal recessive spinocerebellar ataxia type 9|SCAR9,Global
139491,OBSOLETE: Hemochromatosis type 4,Disease,Disorder,OBSOLETE: Ferroportin disease|OBSOLETE: Hemochromatosis due to defect in ferroportin|OBSOLETE: Autosomal dominant hereditary hemochromatosis,Global
139498,NON RARE IN EUROPE: Hemochromatosis type 1,Disease,Disorder,NON RARE IN EUROPE: Classic hemochromatosis|NON RARE IN EUROPE: HFE-related hemochromatosis|NON RARE IN EUROPE: C282Y/C282Y hemochromatosis,Global
1653,Dentin dysplasia,Disease,Disorder,DD,Global
1651,OBSOLETE: Dennis-Cohen syndrome,Category,Group of disorders,,Global
139507,Dietary iron overload disease,Disease,Disorder,African iron overload|Bantu siderosis,Global
1654,OBSOLETE: Natal teeth-intestinal pseudoobstruction-patent ductus syndrome,Malformation syndrome,Disorder,,Global
139515,Charcot-Marie-Tooth disease type 4J,Disease,Disorder,CMT4J,Global
139512,Neuropathy with hearing impairment,Disease,Disorder,,Global
1657,"Dermatoosteolysis, Kirghizian type",Malformation syndrome,Disorder,,Global
139525,Distal hereditary motor neuropathy type 2,Disease,Disorder,Distal spinal muscular atrophy type 2|dHMN2|dSMA2,Global
1658,Absence of fingerprints-congenital milia syndrome,Disease,Disorder,Absence of dermatoglyphics-congenital milia syndrome|Baird syndrome|Basan-Baird syndrome,Global
139518,Distal hereditary motor neuropathy type 1,Disease,Disorder,Autosomal dominant distal juvenile spinal muscular atrophy type 1|dHMN1,Global
1659,Dermatoleukodystrophy,Disease,Disorder,Cutis laxa-leukodystrophy,Global
139547,Distal spinal muscular atrophy type 3,Disease,Disorder,Autosomal recessive distal spinal muscular atrophy type 3|Distal hereditary motor neuropathy type 3 and type 4|dHMN3 and dHMN4|dSMA3,Global
139536,Distal hereditary motor neuropathy type 5,Disease,Disorder,Distal hereditary motor neuropathy type V|Distal HMN V|Distal spinal muscular atrophy type 5|dHMN5,Global
1660,Dermoodontodysplasia,Malformation syndrome,Disorder,,Global
139557,X-linked distal spinal muscular atrophy type 3,Disease,Disorder,DSMAX|ATP7A-related distal motor neuropathy|SMAX3|X-linked distal hereditary motor neuropathy type 3|X-linked dHMN3|X-linked dSMA3,Global
1661,X-linked corneal dermoid,Disease,Disorder,Corneal dystrophy epithelial-short stature syndrome|Guízar Vázquez-Luengas-Muñoz syndrome,Global
1662,Restrictive dermopathy,Disease,Disorder,Lethal restrictive dermopathy|Lethal hyperkeratosis-contracture syndrome|Lethal tight skin-contracture syndrome,Global
139552,"Distal hereditary motor neuropathy, Jerash type",Disease,Disorder,Autosomal recessive distal spinal muscular atrophy type 2|dHMNJ,Global
139573,Hereditary sensory and autonomic neuropathy with deafness and global delay,Disease,Disorder,HSAN with deafness and global delay|HSAN with hearing loss and global delay|Hereditary sensory and autonomic neuropathy with hearing loss and global delay,Global
1665,Sporadic fetal brain disruption sequence,Malformation syndrome,Disorder,,Global
139564,Hereditary sensory and autonomic neuropathy type 1B,Disease,Disorder,HSAN with cough and gastroesophageal reflux|HSAN1B|Hereditary sensory and autonomic neuropathy type 1 with cough and gastroesophageal reflux|Hereditary sensory and autonomic neuropathy type IB,Global
139583,X-linked hereditary sensory and autonomic neuropathy with deafness,Disease,Disorder,X-linked HSAN with deafness|X-linked auditory neuropathy with peripheral sensory neuropathy type 1|X-linked HSAN with hearing loss|X-linked hereditary sensory and autonomic neuropathy with hearing loss,Global
1667,Wolcott-Rallison syndrome,Disease,Disorder,Early-onset diabetes mellitus with multiple epiphyseal dysplasia|WRS,Global
139578,Mutilating hereditary sensory neuropathy with spastic paraplegia,Disease,Disorder,Mutilating HSAN with spastic paraplegia,Global
139589,Distal hereditary motor neuropathy type 7,Disease,Disorder,Distal spinal muscular atrophy with vocal cord paralysis|dHMN7,Global
1671,Split cord malformation type I,Morphological anomaly,Disorder,Diastematomyelia|SCM type I|Split cord malformation type 1|SCM type 1,Global
1674,Digitorenocerebral syndrome,Malformation syndrome,Disorder,DRC syndrome|Eronen-Somer-Gustafsson syndrome,Global
140917,Stapes ankylosis with broad thumbs and toes,Malformation syndrome,Disorder,Teunissen-Cremers syndrome,Global
