orpha_code,name,disorder_type,group,synonyms,geo_prevalence
576,Mucolipidosis type II,Disease,Disorder,I-cell disease|N-acetylglucosamine 1-phosphotransferase deficiency|Mucolipidosis type II alpha/beta,Global
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,Suarez-Stickler syndrome,Global
812,Sialidosis type 1,Disease,Disorder,Cherry-red spot-myoclonus syndrome|Lipomucopolysaccharidosis|Normomorphic sialidosis,Global
166282,Hereditary sick sinus syndrome,Disease,Disorder,,Global
578,Mucolipidosis type IV,Disease,Disorder,,Global
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,Comedo nevus of the palm|Porokeratotic eccrine nevus,Global
577,Mucolipidosis type III,Disease,Disorder,Pseudo-Hurler polydystrophy,Global
166291,Dirofilariasis,Disease,Disorder,,Global
166295,Benign non-familial infantile seizures,Clinical group,Group of disorders,,Global
771,NON RARE IN EUROPE: Ulcerative colitis,Disease,Disorder,NON RARE IN EUROPE: Ulcerative proctitis|NON RARE IN EUROPE: Ulcerative proctosigmoiditis,Global
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Disorder,BIMSE,Global
166305,OBSOLETE: Benign infantile seizures associated with mild gastroenteritis,Disease,Disorder,,Global
2912,Poliomyelitis,Disease,Disorder,,Global
166302,Benign partial epilepsy with secondarily generalized seizures in infancy,Disease,Disorder,,Global
166299,Benign partial epilepsy of infancy with complex partial seizures,Disease,Disorder,,Global
796,Sandhoff disease,Disease,Disorder,,Global
166409,Photosensitive occipital lobe epilepsy,Disease,Disorder,POLE,Global
801,Scleroderma,Clinical group,Group of disorders,,Global
166311,Benign partial infantile seizures,Clinical group,Group of disorders,,Global
461,Recessive X-linked ichthyosis,Disease,Disorder,RXLI|Steroid sulfatase deficiency|X-linked ichthyosis|XLI,Global
166421,Orgasm-induced epilepsy,Disease,Disorder,,Global
856,NON RARE IN EUROPE: Tourette syndrome,Disease,Disorder,NON RARE IN EUROPE: Tourette disease|NON RARE IN EUROPE: Gilles de la Tourette syndrome|NON RARE IN EUROPE: GTS,Global
166418,Eating reflex epilepsy,Disease,Disorder,Eating epilepsy|Eating seizures,Global
166415,Audiogenic epilepsy,Disease,Disorder,,Global
584,Mucopolysaccharidosis type 7,Disease,Disorder,Beta-glucuronidase deficiency|MPS7|MPSVII|Mucopolysaccharidosis type VII|Sly disease,Global
825,NON RARE IN EUROPE: Ankylosing spondylitis,Disease,Disorder,NON RARE IN EUROPE: Bechterew syndrome|NON RARE IN EUROPE: Ankylosing spondylarthritis,Global
166412,Hot water reflex epilepsy,Disease,Disorder,HWE,Global
166433,Epilepsy with reading-induced seizures,Disease,Disorder,EwRIS,Global
166430,Micturition-induced epilepsy,Disease,Disorder,,Global
881,Turner syndrome,Malformation syndrome,Disorder,"45,X syndrome|45,X/46,XX syndrome",Global
166427,Startle epilepsy,Disease,Disorder,,Global
166424,Thinking epilepsy,Disease,Disorder,,Global
95,Friedreich ataxia,Disease,Disorder,FA|FRDA,Global
166466,Neurocutaneous syndrome with epilepsy,Category,Group of disorders,,Global
848,Beta-thalassemia,Clinical group,Group of disorders,,Global
166469,Chromosomal anomaly with epilepsy as a major feature,Category,Group of disorders,,Global
846,Alpha-thalassemia,Clinical group,Group of disorders,,Global
166457,OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis,Category,Group of disorders,,Global
586,Cystic fibrosis,Disease,Disorder,CF|Mucoviscidosis,Global
166463,Epilepsy syndrome,Category,Group of disorders,,Global
166478,Cerebral malformation with epilepsy,Category,Group of disorders,,Global
262,Duchenne and Becker muscular dystrophy,Clinical group,Group of disorders,"Severe dystrophinopathy, Duchenne and Becker type",Global
166481,Metabolic diseases with epilepsy,Category,Group of disorders,,Global
166472,Monogenic disease with epilepsy,Category,Group of disorders,,Global
166475,Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,Category,Group of disorders,,Global
261,Emery-Dreifuss muscular dystrophy,Disease,Disorder,EDMD,Global
166490,Infectious disease with epilepsy,Category,Group of disorders,,Global
166484,Inflammatory and autoimmune disease with epilepsy,Category,Group of disorders,,Global
166487,Cerebral diseases of vascular origin with epilepsy,Category,Group of disorders,,Global
550,MELAS,Disease,Disorder,"Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes|Mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes|Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes",Global
269,Facioscapulohumeral dystrophy,Disease,Disorder,Landouzy-Dejerine dystrophy|FSH dystrophy|FSHD|Facioscapulohumeral muscular dystrophy|Facioscapulohumeral myopathy|Landouzy-Dejerine myopathy,Global
480,Kearns-Sayre syndrome,Disease,Disorder,,Global
593,Myofibrillar myopathy,Category,Group of disorders,MFM,Global
163898,OBSOLETE: Classic paraneoplastic limbic encephalitis,Disease,Disorder,"OBSOLETE: Classic paraneoplastic limbic encephalitis, with or without intracellular antigens",Global
163895,OBSOLETE: Paraneoplastic limbic encephalitis,Clinical group,Group of disorders,,Global
163908,OBSOLETE: Limbic encephalitis with LGI1 antibodies,Disease,Disorder,OBSOLETE: Limbic encephalitis with leucine-rich glioma-inactivated 1 antibodies,Global
163903,OBSOLETE: Limbic encephalitis associated with antibodies to cell membrane antigens,Category,Group of disorders,,Global
551,MERRF,Disease,Disorder,Fukuhara syndrome|Myoclonus epilepsy associated with ragged-red fibres,Global
597,Central core disease,Disease,Disorder,,Global
607,Nemaline myopathy,Clinical group,Group of disorders,NEM|NM|Nemaline rod myopathy,Global
163892,OBSOLETE: Limbic encephalitis,Clinical group,Group of disorders,,Global
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Disorder,Neurologic Waardenburg-Shah syndrome|PCWH|WS4 plus,Global
684,Paramyotonia congenita of Von Eulenburg,Disease,Disorder,Paramyotonia congenita,Global
163931,Acrodermatitis continua of Hallopeau,Disease,Disorder,,Global
273,Steinert myotonic dystrophy,Disease,Disorder,Myotonic dystrophy type 1|Steinert disease,Global
