gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability
TRIOBP,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,HL,0.2364864864864864,high,68.0,0.5445945945945945
TRIP11,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,SK,0.2439024390243902,high,56.0,0.1825609756097561
TRMU,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"BIL, IEM, GLY, HYPOTO",0.3684210526315789,high,34.0,0.5973684210526315
TRPM2,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,0,0,0,1.0,,,,,0.024999999999999998
TRPM4,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,COND,0.4285714285714285,high,46.0,0.6214285714285713
TSC1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"PULM, REN, SEIZ",0.3628668171557562,high,575.0,0.7451467268623024
TSC2,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"PULM, REN, SEIZ",0.417162471395881,high,1581.0,0.7668649885583524
TSEN54,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"SEIZ, HYPOTO",0.3444444444444444,high,56.0,0.5877777777777777
TSFM,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,IEM,0.4054054054054054,high,24.0,0.24716216216216216
TSHB,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,THYR,0.5714285714285714,medium,4.0,0.6785714285714285
TSHR,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,THYR,0.5652173913043478,high,80.0,0.8260869565217391
TSPEAR,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,HL,0.275,high,22.0,0.135
