gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
TAF1D,3.5768e-06,0.81403,1.194,0.7871,0,0
PPP1R1A,3.5504e-06,0.85709,1.271,-0.009332,0,0
SLC25A29,3.5488e-06,1.314,1.87,-1.6885,0,0
ZNF559-ZNF177,3.5461e-06,0.85718,1.271,-0.4796,0,0
NDE1,3.5428e-06,0.62099,0.851,0.25849,0,0
HAX1,3.5322e-06,0.77901,1.132,0.35869,0,0
ZFYVE21,3.5318e-06,0.74855,1.078,-0.42346,0,0
XXYLT1,3.53e-06,0.77905,1.132,-1.1913,0,0
ACADS,3.5192e-06,0.62117,0.852,0.79366,0,0
FABP4,3.5049e-06,1.3164,1.872,0.25887,0,0
ZNF155,3.4975e-06,1.1643,1.756,0.90544,0,0
WNT8B,3.4968e-06,0.68023,0.957,0.71481,0,0
LRATD2,3.4947e-06,1.0558,1.612,-0.27447,0,0
BAK1,3.4942e-06,0.81551,1.197,1.8787,0,0
HMGCL,3.4786e-06,0.72306,1.032,0.33567,0,0
KRT27,3.4757e-06,0.61046,0.832,-0.38749,0,0
CD302,3.4683e-06,0.85878,1.273,-0.21454,0,0
CENPS,3.4647e-06,0.97489,1.478,-0.026152,0,0
CLEC12A,3.4626e-06,0.91074,1.366,-0.28872,0,0
LDLRAD3,3.4604e-06,0.7233,1.033,0.91757,0,0
R3HDML,3.4505e-06,0.81632,1.198,1.0767,0,0
ECHDC3,3.4446e-06,1.0575,1.614,-0.62354,0,0
SUCLG1,3.412e-06,0.68117,0.958,0.24688,0,0
ZKSCAN3,3.4094e-06,0.66367,0.927,2.3938,0,0
SNX7,3.409e-06,0.70114,0.993,0.27249,0,0
HNRNPCL2,3.4047e-06,0.91215,1.368,-0.14511,0,0
MUC13,3.4031e-06,0.611,0.833,1.1173,0,0
H2AC16,3.4012e-06,1.5568,1.937,-0.65942,0,0
RASL11A,3.3912e-06,0.86041,1.276,0.61892,0,0
RCVRN,3.3902e-06,1.0594,1.616,0.4617,0,0
HLA-DPA1,3.3704e-06,0.86086,1.276,1.2074,0,0
