gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
ZZZ3,1.0,0.18503,0.289,2.4554,1,1
ZSWIM8,1.0,0.16523,0.228,5.9586,1,1
ZSWIM6,1.0,0.080771,0.146,3.2892,1,1
ZRANB1,1.0,0.19011,0.289,4.0454,1,1
ZNF827,1.0,0.12421,0.197,2.964,1,1
ZNF777,1.0,0.10603,0.199,2.9692,1,1
ZNF687,1.0,0.18735,0.293,2.3962,1,1
ZNF654,1.0,0.19194,0.305,2.4206,1,1
ZNF644,1.0,0.14731,0.224,2.7213,1,1
ZNF638,1.0,0.18132,0.249,-0.17164,1,1
ZNF629,1.0,0.16086,0.281,2.9267,1,1
ZNF609,1.0,0.10008,0.166,2.5292,1,1
ZNF608,1.0,0.097446,0.161,2.2465,1,1
ZNF592,1.0,0.12794,0.212,2.5546,1,1
ZNF541,1.0,0.19617,0.278,1.2702,1,1
ZNF536,1.0,0.15437,0.245,2.0591,1,1
ZNF532,1.0,0.20943,0.307,5.0566,1,1
ZNF521,1.0,0.12968,0.206,4.0944,1,1
ZNF496,1.0,0.18123,0.3,1.9417,1,1
ZNF462,1.0,0.048235,0.082,5.1124,1,1
ZNF445,1.0,0.20462,0.3,2.5407,1,1
ZNF423,1.0,0.12098,0.196,4.2914,1,1
ZNF407,1.0,0.15403,0.226,1.6037,1,1
ZNF384,1.0,0.19233,0.312,3.0869,1,1
ZNF292,1.0,0.11264,0.161,2.0272,1,1
ZNF281,1.0,0.032765,0.103,1.7158,1,1
ZNF236,1.0,0.25556,0.327,4.9431,1,1
ZNF217,1.0,0.13979,0.237,1.7698,1,1
ZNF148,1.0,0.11092,0.208,4.5888,1,1
ZNF131,1.0,0.09612,0.19,3.6456,1,1
ZNF106,1.0,0.32688,0.403,2.2539,1,0
ZMYND8,1.0,0.2556,0.336,5.0259,1,1
ZMYND11,1.0,0.08816,0.166,4.7337,1,1
ZMYM4,1.0,0.16518,0.225,5.1923,1,1
ZMIZ2,1.0,0.2866,0.398,2.2493,1,0
ZMIZ1,1.0,0.14692,0.22,4.147,1,1
ZFYVE9,1.0,0.30927,0.408,2.5394,1,0
ZFR,1.0,0.14956,0.219,4.8118,1,1
ZFPM2,1.0,0.18292,0.274,1.3508,1,1
ZFP91,1.0,0.11992,0.237,1.0971,1,1
ZFHX4,1.0,0.19352,0.244,1.3762,1,1
ZFHX3,1.0,0.14626,0.189,-0.17206,1,1
ZFC3H1,1.0,0.30013,0.367,3.1476,1,0
ZER1,1.0,0.14549,0.241,4.7496,1,1
ZEB2,1.0,0.057615,0.114,5.6355,1,1
ZEB1,1.0,0.23551,0.339,2.8421,1,1
ZCCHC14,1.0,0.20619,0.313,0.98179,1,1
ZC3H7B,1.0,0.30352,0.401,3.4149,1,0
ZC3H4,1.0,0.10592,0.18,0.40075,1,1
ZC3H18,1.0,0.06397,0.126,0.12458,1,1
ZC3H13,1.0,0.30285,0.376,2.6074,1,0
ZC3H11A,1.0,0.19123,0.287,3.2512,1,1
ZBTB38,1.0,0.27472,0.389,4.4313,1,0
ZBTB34,1.0,0.02892,0.137,3.9744,1,1
ZBTB20,1.0,0.17202,0.3,3.9575,1,1
ZBTB2,1.0,0.057013,0.179,3.9021,1,1
ZBTB18,1.0,0.027075,0.128,4.2554,1,1
ZBTB16,1.0,0.13575,0.245,3.8507,1,1
YY1,1.0,0.063591,0.2,3.596,1,1
YWHAZ,1.0,0.0,0.097,4.4151,1,1
YTHDF3,1.0,0.14493,0.272,2.8108,1,1
YTHDF2,1.0,0.041956,0.132,3.3959,1,1
YTHDC2,1.0,0.24845,0.327,0.94123,1,1
YTHDC1,1.0,0.10826,0.184,3.4432,1,1
YBX2,1.0,0.12644,0.266,1.0134,1,1
YBX1,1.0,0.077166,0.199,2.5429,1,1
YAP1,1.0,0.10105,0.212,1.3479,1,1
XRN2,1.0,0.31739,0.413,2.9244,1,0
XRN1,1.0,0.29761,0.373,2.7024,1,0
XRCC6,1.0,0.081757,0.172,4.1859,1,1
XRCC5,1.0,0.11069,0.193,3.7351,1,1
XPOT,1.0,0.23541,0.329,3.2869,1,1
XPO7,1.0,0.12443,0.187,5.4789,1,1
XPO6,1.0,0.0083605,0.04,4.4058,1,1
XPO5,1.0,0.30472,0.39,3.829,1,0
XPO4,1.0,0.27608,0.363,4.5071,1,0
XPO1,1.0,0.039343,0.083,7.9498,1,1
WT1,1.0,0.14049,0.253,1.4207,1,1
WNK1,1.0,0.17261,0.227,4.67,1,1
WIZ,1.0,0.20736,0.29,2.1256,1,1
WDTC1,1.0,0.15171,0.246,5.1658,1,1
WDR7,1.0,0.27535,0.356,3.2531,1,0
WDR5,1.0,0.0,0.053,4.3552,1,1
WDR48,1.0,0.22344,0.335,3.74,1,1
WDR43,1.0,0.14521,0.24,0.016715,1,1
WDR33,1.0,0.28534,0.366,5.6132,1,0
ABL1,1.0,0.1149,0.19,4.2885,1,1
WDR26,1.0,0.068469,0.144,3.3494,1,1
WDR20,1.0,0.076427,0.198,2.7784,1,1
WDFY3,1.0,0.16208,0.2,7.7015,1,1
WBP11,1.0,0.19823,0.321,3.4211,1,1
WASF1,1.0,0.16047,0.301,2.9974,1,1
WAPL,1.0,0.036165,0.083,4.2856,1,1
WAC,1.0,0.14621,0.248,0.89239,1,1
VPS35,1.0,0.22255,0.32,4.9031,1,1
VPS13D,1.0,0.37549,0.426,4.5204,1,0
VMP1,1.0,0.084057,0.192,3.2569,1,1
VEZF1,1.0,0.06693,0.173,4.5488,1,1
VCPIP1,1.0,0.083931,0.158,4.5362,1,1
VCP,1.0,0.068021,0.134,8.1717,1,1
VCAN,1.0,0.17286,0.223,2.6822,1,1
VAV1,1.0,0.26367,0.353,4.1043,1,0
ACACA,1.0,0.31287,0.374,10.233,1,0
UTP15,1.0,0.092136,0.194,2.1151,1,1
USP8,1.0,0.19733,0.28,2.9342,1,1
USP7,1.0,0.045461,0.085,6.8707,1,1
USP5,1.0,0.23406,0.329,4.3427,1,1
USP48,1.0,0.28325,0.373,4.46,1,0
USP47,1.0,0.23338,0.318,2.7799,1,1
USP42,1.0,0.24783,0.357,-4.1265,1,0
USP37,1.0,0.1952,0.281,3.0618,1,1
USP34,1.0,0.11873,0.152,1.9038,1,1
ACAN,1.0,0.29508,0.377,0.32052,1,0
USP32,1.0,0.29688,0.374,6.2645,1,0
USP24,1.0,0.30135,0.361,4.1357,1,0
USP19,1.0,0.22075,0.297,3.3132,1,1
USP15,1.0,0.12297,0.196,4.0277,1,1
USP1,1.0,0.24431,0.366,1.8833,1,0
USF3,1.0,0.18853,0.258,2.7954,1,1
UPF2,1.0,0.099714,0.159,3.7645,1,1
UPF1,1.0,0.07172,0.125,6.8453,1,1
UNC79,1.0,0.12641,0.168,6.7522,1,1
UNC5A,1.0,0.23825,0.346,3.2229,1,1
UNC13A,1.0,0.31444,0.389,5.2074,1,0
UHRF2,1.0,0.21637,0.321,3.7567,1,1
UHRF1,1.0,0.098195,0.171,5.1832,1,1
UBXN7,1.0,0.15824,0.276,4.3096,1,1
UBTF,1.0,0.073625,0.133,6.267,1,1
UBR5,1.0,0.047397,0.073,8.3809,1,1
UBR4,1.0,0.20849,0.242,8.4431,1,1
UBR3,1.0,0.34715,0.427,4.0921,1,0
UBQLN4,1.0,0.18497,0.314,4.4017,1,1
UBN2,1.0,0.25734,0.362,-0.53598,1,0
UBN1,1.0,0.12134,0.193,-1.2442,1,1
UBE4B,1.0,0.16867,0.237,4.8756,1,1
ACLY,1.0,0.30696,0.401,4.2591,1,0
ACIN1,1.0,0.095633,0.15,2.7821,1,1
UBE3A,1.0,0.070498,0.139,6.9548,1,1
UBE2Q1,1.0,0.10686,0.211,3.9538,1,1
UBE2O,1.0,0.12527,0.193,3.9111,1,1
UBAP2L,1.0,0.098005,0.159,4.1467,1,1
UBA2,1.0,0.1306,0.258,3.5233,1,1
U2SURP,1.0,0.023047,0.073,4.6624,1,1
U2AF2,1.0,0.099548,0.209,6.417,1,1
TXLNA,1.0,0.17712,0.3,1.8111,1,1
TUT7,1.0,0.19434,0.273,3.6687,1,1
TUT4,1.0,0.17481,0.241,4.1003,1,1
TULP4,1.0,0.1287,0.195,1.9436,1,1
TUBB,1.0,0.056416,0.178,8.3509,1,1
TUBA1B,1.0,0.027294,0.129,8.1963,1,1
TTC28,1.0,0.31258,0.386,3.4708,1,0
TTBK2,1.0,0.23635,0.326,1.9401,1,1
TSHZ3,1.0,0.15514,0.263,2.1019,1,1
TSHZ1,1.0,0.17863,0.289,1.5345,1,1
TSC22D2,1.0,0.10518,0.221,-0.07808,1,1
TSC22D1,1.0,0.11398,0.199,-0.59418,1,1
TSC2,1.0,0.14922,0.203,0.17171,1,1
TSC1,1.0,0.15601,0.227,3.7116,1,1
TRRAP,1.0,0.087738,0.115,10.527,1,1
TRPS1,1.0,0.057573,0.114,2.597,1,1
TRIP12,1.0,0.10333,0.145,6.366,1,1
TRIO,1.0,0.17421,0.217,4.6931,1,1
TRIM8,1.0,0.16653,0.291,2.5107,1,1
TRIM71,1.0,0.15745,0.275,1.8668,1,1
TRIM46,1.0,0.23621,0.354,4.1874,1,0
TRIM39,1.0,0.091129,0.192,4.872,1,1
TRIM33,1.0,0.13888,0.23,2.7485,1,1
TRIM3,1.0,0.19502,0.31,3.6475,1,1
TRIM28,1.0,0.093951,0.17,1.5554,1,1
TRIM27,1.0,0.20707,0.335,3.7834,1,1
TRIM24,1.0,0.20462,0.297,3.1158,1,1
TRERF1,1.0,0.22699,0.313,2.896,1,1
TRAPPC8,1.0,0.33202,0.421,1.8881,1,0
TRAPPC10,1.0,0.19098,0.273,2.2794,1,1
TRAF3,1.0,0.20201,0.321,4.4189,1,1
TRAF2,1.0,0.10888,0.215,1.9284,1,1
TPX2,1.0,0.19533,0.29,1.4885,1,1
TPR,1.0,0.15894,0.203,3.9967,1,1
TPP2,1.0,0.2106,0.29,4.5833,1,1
TP63,1.0,0.19762,0.296,3.5197,1,1
TP53BP1,1.0,0.2913,0.364,2.6793,1,0
TOX4,1.0,0.19206,0.311,3.6853,1,1
TOX,1.0,0.19198,0.326,1.7773,1,1
TOPBP1,1.0,0.15973,0.225,2.6262,1,1
ACTB,1.0,0.061431,0.193,7.6921,1,1
TOP2B,1.0,0.24393,0.328,3.7013,1,1
TOP2A,1.0,0.33323,0.422,4.9956,1,0
TOP1,1.0,0.053337,0.122,5.364,1,1
TOMM70,1.0,0.17572,0.298,1.7712,1,1
TNRC6C,1.0,0.13947,0.201,1.2244,1,1
TNRC6B,1.0,0.26302,0.332,2.9401,1,1
TNRC6A,1.0,0.20021,0.257,1.967,1,1
TNR,1.0,0.28934,0.373,2.4079,1,0
TNPO2,1.0,0.15075,0.229,6.7861,1,1
ACTL6A,1.0,0.072023,0.186,3.6318,1,1
TNPO1,1.0,0.072277,0.152,4.9416,1,1
TNIP1,1.0,0.26092,0.373,1.2722,1,0
TNIK,1.0,0.26244,0.338,4.5944,1,1
TNFAIP3,1.0,0.11967,0.209,2.6717,1,1
TMEM63B,1.0,0.22156,0.314,5.4913,1,1
ACTN4,1.0,0.16027,0.238,5.6941,1,1
ACTN1,1.0,0.24399,0.331,5.2049,1,1
TMEM132B,1.0,0.19406,0.288,2.7991,1,1
TMEM131L,1.0,0.30366,0.404,1.0937,1,0
TMEM131,1.0,0.29423,0.374,1.8291,1,0
TM9SF4,1.0,0.27137,0.377,4.0394,1,0
TM9SF3,1.0,0.15015,0.262,2.689,1,1
TM9SF2,1.0,0.14647,0.256,3.2829,1,1
ACTR2,1.0,0.056266,0.177,4.5219,1,1
TLN1,1.0,0.1893,0.236,5.76,1,1
TLK2,1.0,0.044885,0.103,6.5465,1,1
TLK1,1.0,0.22501,0.338,4.1052,1,1
TLE4,1.0,0.092129,0.166,4.0796,1,1
TLE3,1.0,0.17043,0.276,3.1232,1,1
TLE1,1.0,0.23589,0.343,2.4987,1,1
TJP1,1.0,0.2101,0.275,2.2213,1,1
ACVR2A,1.0,0.11832,0.222,4.7321,1,1
TIPARP,1.0,0.21338,0.346,2.7307,1,1
TIAL1,1.0,0.10775,0.213,4.1814,1,1
THRAP3,1.0,0.1609,0.244,2.6619,1,1
THBS1,1.0,0.21975,0.301,3.7973,1,1
TGFBRAP1,1.0,0.23819,0.346,1.9843,1,1
TGFB3,1.0,0.11849,0.249,2.8651,1,1
TFDP1,1.0,0.12396,0.245,3.4774,1,1
TFCP2L1,1.0,0.17071,0.277,2.0247,1,1
TEX10,1.0,0.24532,0.35,2.1578,1,0
TET3,1.0,0.1451,0.213,3.5548,1,1
TET1,1.0,0.095083,0.151,3.4456,1,1
TENT4B,1.0,0.1232,0.222,3.3177,1,1
TENT4A,1.0,0.099145,0.208,1.4626,1,1
TENM4,1.0,0.3458,0.416,3.5466,1,0
TENM3,1.0,0.24554,0.305,3.8447,1,1
TENM2,1.0,0.20281,0.258,4.3532,1,1
ADAM10,1.0,0.17901,0.276,3.9218,1,1
TEK,1.0,0.27896,0.368,2.8927,1,0
TEAD1,1.0,0.15794,0.276,2.6967,1,1
TDRD5,1.0,0.31544,0.413,2.7949,1,0
TDRD1,1.0,0.28656,0.387,1.9786,1,0
TCP1,1.0,0.11136,0.22,2.718,1,1
TCOF1,1.0,0.21547,0.288,1.5329,1,1
TCF4,1.0,0.037164,0.096,4.5772,1,1
TCF20,1.0,0.019335,0.05,1.5158,1,1
TCERG1,1.0,0.23549,0.323,3.7918,1,1
TBX5,1.0,0.14814,0.267,1.6232,1,1
TBR1,1.0,0.12447,0.246,3.0377,1,1
TBL1XR1,1.0,0.07595,0.174,5.2951,1,1
TASOR,1.0,0.29254,0.378,1.4137,1,0
TARDBP,1.0,0.10026,0.229,5.3187,1,1
ADAMTS1,1.0,0.22439,0.329,0.124,1,1
TAOK3,1.0,0.23572,0.339,3.6534,1,1
TAOK1,1.0,0.13794,0.216,5.9261,1,1
TANC2,1.0,0.11905,0.17,3.7492,1,1
TAF5L,1.0,0.11123,0.22,2.8138,1,1
TAF5,1.0,0.24958,0.366,1.4748,1,0
TAF4,1.0,0.11727,0.205,0.80468,1,1
TAF3,1.0,0.054404,0.124,2.094,1,1
TAF1L,1.0,0.2267,0.307,1.8717,1,1
TAB2,1.0,0.045334,0.117,3.2248,1,1
SYNRG,1.0,0.28655,0.38,2.7005,1,0
SYNGAP1,1.0,0.072642,0.127,7.6898,1,1
SYNCRIP,1.0,0.14261,0.249,4.8524,1,1
SYK,1.0,0.1988,0.302,3.9545,1,1
SYCP2,1.0,0.25153,0.365,0.13157,1,0
SVOP,1.0,0.20159,0.327,2.4273,1,1
ADAMTS6,1.0,0.15958,0.228,4.2154,1,1
SUZ12,1.0,0.21992,0.344,4.0209,1,1
SUPT6H,1.0,0.048118,0.08,6.8217,1,1
SUPT5H,1.0,0.16734,0.235,5.8136,1,1
SUPT16H,1.0,0.17288,0.245,7.0249,1,1
SUGP2,1.0,0.26142,0.368,1.8747,1,0
SUFU,1.0,0.11386,0.214,3.1286,1,1
STXBP5,1.0,0.2561,0.344,2.607,1,1
STXBP1,1.0,0.038343,0.099,5.8468,1,1
STRBP,1.0,0.17348,0.281,4.4474,1,1
STIP1,1.0,0.20099,0.305,2.6196,1,1
STAU1,1.0,0.20583,0.327,2.313,1,1
STAT5B,1.0,0.19228,0.277,5.1347,1,1
STAT5A,1.0,0.2625,0.364,4.4037,1,0
STAT3,1.0,0.058268,0.109,7.3843,1,1
STAT1,1.0,0.18624,0.271,7.0276,1,1
ADARB1,1.0,0.19023,0.323,3.7351,1,1
STAG1,1.0,0.084896,0.159,4.1712,1,1
SSRP1,1.0,0.23714,0.341,5.0585,1,1
SSH2,1.0,0.28116,0.374,3.5239,1,0
SSBP3,1.0,0.083086,0.175,2.9064,1,1
SRSF11,1.0,0.10243,0.234,3.0176,1,1
SRRT,1.0,0.30095,0.404,2.7639,1,0
SRRM2,1.0,0.13445,0.183,-6.4973,1,1
SRRM1,1.0,0.13897,0.225,2.3387,1,1
ADCY5,1.0,0.23514,0.326,4.4785,1,1
ADCY2,1.0,0.23555,0.329,4.9485,1,1
ADCY1,1.0,0.24765,0.346,4.711,1,1
SRPK2,1.0,0.23382,0.347,3.1506,1,1
SRP68,1.0,0.21759,0.335,2.582,1,1
SRGAP3,1.0,0.31311,0.409,2.6185,1,0
SREK1,1.0,0.18441,0.305,2.199,1,1
SRCAP,1.0,0.17466,0.223,3.6475,1,1
ADD2,1.0,0.27371,0.388,2.6307,1,0
ADD1,1.0,0.27329,0.387,1.3492,1,0
SPTBN1,1.0,0.11803,0.159,5.9038,1,1
SPTB,1.0,0.17856,0.228,2.7569,1,1
SPTAN1,1.0,0.17946,0.222,7.9475,1,1
SPEN,1.0,0.061568,0.094,5.1216,1,1
SPAG9,1.0,0.18475,0.262,3.8465,1,1
SP4,1.0,0.22016,0.339,-0.49685,1,1
ADGRB3,1.0,0.17916,0.246,2.427,1,1
ADGRB2,1.0,0.30066,0.383,3.8435,1,0
ADGRB1,1.0,0.27975,0.372,1.6912,1,0
SP3,1.0,0.12493,0.225,1.7654,1,1
SP2,1.0,0.17396,0.314,3.1432,1,1
SP1,1.0,0.08559,0.169,1.9581,1,1
SOX9,1.0,0.048971,0.154,1.6558,1,1
SOX6,1.0,0.094671,0.165,3.2951,1,1
SOX5,1.0,0.113,0.204,3.8086,1,1
SOS1,1.0,0.1811,0.288,2.3433,1,1
SON,1.0,0.019767,0.051,2.5949,1,1
SOBP,1.0,0.083528,0.191,0.3712,1,1
SNW1,1.0,0.10265,0.216,2.9057,1,1
SNRNP200,1.0,0.25393,0.312,8.766,1,1
SNRK,1.0,0.083557,0.191,4.3055,1,1
SND1,1.0,0.2844,0.386,3.638,1,0
ADGRL2,1.0,0.21663,0.301,2.6759,1,1
ADGRL1,1.0,0.22283,0.302,4.0328,1,1
SMU1,1.0,0.031459,0.099,5.9256,1,1
SMG7,1.0,0.27783,0.371,2.9934,1,0
SMG1,1.0,0.069642,0.1,4.6237,1,1
SMCHD1,1.0,0.25933,0.342,3.9782,1,1
SMC3,1.0,0.075512,0.132,7.6337,1,1
SMARCD1,1.0,0.21684,0.339,3.2726,1,1
SMARCC2,1.0,0.1029,0.167,4.8274,1,1
SMARCC1,1.0,0.24604,0.369,2.0038,1,0
SMARCB1,1.0,0.10531,0.221,4.8624,1,1
SMARCAD1,1.0,0.17162,0.257,4.2157,1,1
SMARCA5,1.0,0.09701,0.222,4.0528,1,1
SMARCA4,1.0,0.16778,0.226,8.811,1,1
SMARCA2,1.0,0.238,0.317,4.6763,1,1
SMAD4,1.0,0.10787,0.227,4.9422,1,1
SMAD2,1.0,0.12628,0.249,4.4773,1,1
SLITRK3,1.0,0.23954,0.364,1.3396,1,0
SLIT2,1.0,0.1542,0.226,3.1241,1,1
SLC8A2,1.0,0.20972,0.333,4.6841,1,1
SLC8A1,1.0,0.239,0.363,2.4092,1,0
SLC6A1,1.0,0.059363,0.153,4.9313,1,1
SLC4A4,1.0,0.22663,0.329,4.3853,1,1
SLC4A10,1.0,0.29382,0.403,4.0273,1,0
ADNP,1.0,0.046399,0.106,2.5832,1,1
SLC39A10,1.0,0.19813,0.328,2.5007,1,1
SLC38A2,1.0,0.18155,0.308,1.3661,1,1
SLC2A1,1.0,0.043999,0.139,4.6812,1,1
SLC12A5,1.0,0.15169,0.225,6.274,1,1
SIPA1L2,1.0,0.32887,0.412,2.3517,1,0
SIPA1L1,1.0,0.1621,0.226,3.4383,1,1
SIN3B,1.0,0.16726,0.245,4.6794,1,1
SIN3A,1.0,0.082832,0.14,5.1667,1,1
SIM1,1.0,0.22364,0.332,1.0526,1,1
SIK3,1.0,0.19577,0.268,3.9417,1,1
SHOC2,1.0,0.063821,0.201,3.7919,1,1
SHANK1,1.0,0.28906,0.383,-1.0007,1,0
SH3PXD2A,1.0,0.2692,0.376,1.7597,1,0
SFSWAP,1.0,0.15377,0.24,2.8134,1,1
SFPQ,1.0,0.16734,0.284,0.11922,1,1
SFMBT1,1.0,0.29494,0.402,3.196,1,0
ADRM1,1.0,0.05973,0.188,1.24,1,1
SF3B3,1.0,0.20431,0.285,6.7498,1,1
SF3B2,1.0,0.17183,0.252,4.5705,1,1
SF3B1,1.0,0.050642,0.1,9.8404,1,1
SF3A3,1.0,0.14885,0.26,3.4804,1,1
SF3A1,1.0,0.13685,0.227,4.7966,1,1
SF1,1.0,0.11707,0.22,3.5272,1,1
SETDB1,1.0,0.20888,0.29,5.1021,1,1
SETD5,1.0,0.29008,0.376,2.0399,1,0
SETD2,1.0,0.12809,0.176,4.1571,1,1
SETD1B,1.0,0.057854,0.109,3.1658,1,1
SETD1A,1.0,0.20445,0.279,1.8252,1,1
SETBP1,1.0,0.079244,0.143,1.8562,1,1
SERBP1,1.0,0.12972,0.256,2.9067,1,1
SENP6,1.0,0.20223,0.322,0.53649,1,1
SENP3,1.0,0.16624,0.282,2.4652,1,1
SENP2,1.0,0.12083,0.254,2.2222,1,1
SEMA6D,1.0,0.28703,0.396,2.1587,1,0
AFF4,1.0,0.05776,0.114,3.6501,1,1
AFF3,1.0,0.23447,0.318,2.2654,1,1
AFDN,1.0,0.3208,0.398,1.8981,1,0
SEMA6A,1.0,0.22719,0.337,-0.19497,1,1
SEMA4C,1.0,0.20763,0.305,3.4884,1,1
SEC24C,1.0,0.19282,0.275,2.5192,1,1
AGAP3,1.0,0.25553,0.359,4.0127,1,0
AGAP1,1.0,0.26563,0.366,1.7898,1,0
AFTPH,1.0,0.11845,0.207,1.5085,1,1
SCUBE3,1.0,0.29656,0.402,3.1941,1,0
SCN8A,1.0,0.1311,0.189,10.451,1,1
SCN5A,1.0,0.29477,0.372,4.8452,1,0
SCN3A,1.0,0.27142,0.348,6.3712,1,1
SCN2A,1.0,0.10856,0.161,8.7269,1,1
SCN1A,1.0,0.056411,0.098,7.6177,1,1
AGFG1,1.0,0.15221,0.286,1.4997,1,1
SCD,1.0,0.10566,0.242,3.2877,1,1
SCAF8,1.0,0.18887,0.28,1.1936,1,1
SCAF4,1.0,0.19237,0.285,1.4889,1,1
SCAF11,1.0,0.30977,0.412,1.3557,1,0
SBNO1,1.0,0.11248,0.182,4.038,1,1
SBF1,1.0,0.30978,0.381,0.05106,1,0
SATB2,1.0,0.016215,0.077,5.5263,1,1
SATB1,1.0,0.12301,0.209,4.7431,1,1
SART1,1.0,0.28284,0.39,1.7534,1,0
AGO2,1.0,0.048382,0.102,6.9835,1,1
AGO1,1.0,0.099225,0.164,6.4391,1,1
SAP130,1.0,0.15302,0.243,3.8054,1,1
SAMD4B,1.0,0.067643,0.142,3.9828,1,1
SALL4,1.0,0.093047,0.184,2.7099,1,1
SALL1,1.0,0.13416,0.228,2.1498,1,1
AGPAT3,1.0,0.099915,0.21,3.157,1,1
AGO4,1.0,0.2901,0.393,4.4551,1,0
AGO3,1.0,0.15035,0.232,6.2067,1,1
SAFB,1.0,0.12162,0.219,2.1098,1,1
RYR3,1.0,0.37841,0.43,2.7392,1,0
RYR2,1.0,0.36842,0.424,6.4389,1,0
RXRA,1.0,0.12663,0.266,3.6041,1,1
RUVBL2,1.0,0.13759,0.248,3.2262,1,1
RUVBL1,1.0,0.065286,0.169,4.3743,1,1
RUSC2,1.0,0.28789,0.383,2.0196,1,0
RUNX1T1,1.0,0.08144,0.186,3.2555,1,1
RTF1,1.0,0.12777,0.223,4.6583,1,1
RSRC2,1.0,0.042911,0.135,2.173,1,1
RSF1,1.0,0.086921,0.147,1.6745,1,1
RRM1,1.0,0.13386,0.242,5.0504,1,1
RREB1,1.0,0.26559,0.366,-1.9338,1,0
RPTOR,1.0,0.14108,0.205,5.9743,1,1
RPS8,1.0,0.0,0.104,2.8236,1,1
AHDC1,1.0,0.089343,0.168,2.4789,1,1
AHCYL1,1.0,0.22956,0.34,5.1246,1,1
AHCTF1,1.0,0.098387,0.142,2.7271,1,1
RPS6,1.0,0.034888,0.166,1.4361,1,1
RPRD2,1.0,0.077252,0.145,2.5402,1,1
RPN1,1.0,0.16727,0.302,1.0452,1,1
RPLP0,1.0,0.0,0.098,2.4357,1,1
RPL7A,1.0,0.0,0.083,1.0571,1,1
RPL5,1.0,0.0,0.096,2.5375,1,1
RPL4,1.0,0.080592,0.184,2.2792,1,1
RPL3,1.0,0.063963,0.165,2.4544,1,1
RORC,1.0,0.21675,0.351,2.8954,1,0
RORB,1.0,0.13043,0.257,3.6678,1,1
RORA,1.0,0.090325,0.207,2.3246,1,1
ROR1,1.0,0.21485,0.326,3.1497,1,1
ROCK2,1.0,0.24964,0.346,4.2964,1,1
ROCK1,1.0,0.19944,0.293,4.9276,1,1
ROBO2,1.0,0.32643,0.412,1.8944,1,0
RNPS1,1.0,0.0,0.107,2.1163,1,1
RNF8,1.0,0.1124,0.222,2.6482,1,1
RNF40,1.0,0.31042,0.405,3.4845,1,0
RNF31,1.0,0.28217,0.37,3.0382,1,0
RNF220,1.0,0.087928,0.174,2.8253,1,1
RNF17,1.0,0.13057,0.228,1.7438,1,1
RNF111,1.0,0.21272,0.328,0.12963,1,1
RLF,1.0,0.046433,0.087,5.1674,1,1
RIMS2,1.0,0.28083,0.395,0.98127,1,0
RIMBP3,1.0,0.033903,0.161,7.8515,1,1
RIF1,1.0,0.18403,0.254,-0.68007,1,1
RICTOR,1.0,0.19815,0.305,2.7289,1,1
RGL1,1.0,0.20811,0.32,2.8231,1,1
RFX7,1.0,0.20634,0.3,2.0228,1,1
RFX4,1.0,0.10511,0.178,3.7971,1,1
RFX3,1.0,0.12141,0.212,3.1833,1,1
RFX2,1.0,0.24859,0.369,2.2069,1,0
RFC1,1.0,0.27867,0.387,1.8896,1,0
REV3L,1.0,0.20624,0.261,3.9998,1,1
REV1,1.0,0.26,0.361,1.9378,1,0
RET,1.0,0.16356,0.24,2.6933,1,1
REST,1.0,0.033631,0.16,1.2246,1,1
AKAP6,1.0,0.29393,0.367,1.1311,1,0
AKAP13,1.0,0.29848,0.362,-0.68831,1,0
AKAP11,1.0,0.2399,0.319,0.883,1,1
RELN,1.0,0.23237,0.276,4.2857,1,1
RC3H2,1.0,0.224,0.309,3.0357,1,1
RBPJ,1.0,0.142,0.267,3.9052,1,1
RBM6,1.0,0.14544,0.213,2.9854,1,1
RBM5,1.0,0.13114,0.202,5.2026,1,1
RBM39,1.0,0.15081,0.263,5.5868,1,1
RBM33,1.0,0.23444,0.325,1.8212,1,1
RBM27,1.0,0.156,0.234,2.7187,1,1
RBM25,1.0,0.12424,0.198,4.9092,1,1
RBM22,1.0,0.019397,0.092,4.4251,1,1
RBM17,1.0,0.031881,0.151,3.2657,1,1
RBM15,1.0,0.11075,0.208,2.1069,1,1
RBM14,1.0,0.093152,0.196,2.0677,1,1
RBFOX1,1.0,0.17258,0.311,-1.3748,1,1
RBBP6,1.0,0.15161,0.212,2.7309,1,1
RBBP5,1.0,0.06272,0.144,4.6486,1,1
RBBP4,1.0,0.055609,0.144,6.5897,1,1
RB1CC1,1.0,0.22041,0.293,1.3349,1,1
RB1,1.0,0.15769,0.239,2.32,1,1
RASGRF1,1.0,0.26518,0.35,5.1518,1,0
RASA1,1.0,0.21453,0.3,3.6029,1,1
RARA,1.0,0.12092,0.254,3.3912,1,1
RAPGEF6,1.0,0.32433,0.41,2.6309,1,0
RAPGEF2,1.0,0.28923,0.371,4.1603,1,0
RAPGEF1,1.0,0.23894,0.321,3.7888,1,1
RANBP9,1.0,0.19284,0.319,0.59042,1,1
RANBP3,1.0,0.17967,0.281,2.4922,1,1
RANBP2,1.0,0.18525,0.231,3.8313,1,1
RALGPS1,1.0,0.23898,0.358,3.225,1,0
RALGAPB,1.0,0.13876,0.202,4.2982,1,1
RALGAPA1,1.0,0.21721,0.292,5.3669,1,1
