Disease,OMIMID,PhenotypeClass
?laryngeal adductor paralysis,OMIM:150270,2
"?lipodystrophy, familial partial, type 5",OMIM:615238,3
?lysosomal acid phosphatase deficiency,OMIM:200950,1
?male infertility,-666,1
?male infertility due to acrosin deficiency,-666,2
?melkersson-rosenthal syndrome,OMIM:155900,2
"?mental retardation, autosomal dominant 11",OMIM:614257,3
"?mental retardation, autosomal dominant 22",OMIM:612337,3
"?mental retardation, autosomal recessive 42",OMIM:615802,3
"?mental retardation, autosomal recessive 43",OMIM:615817,3
"?mental retardation, autosomal recessive 45",OMIM:615979,3
"?mental retardation, autosomal recessive, 37",OMIM:615493,3
"?mental retardation, x-linked 100",OMIM:300923,3
"?mental retardation, x-linked 101",OMIM:300928,3
"?mental retardation, x-linked 91",OMIM:300577,3
"?mental retardation, x-linked, syndromic 12",OMIM:309545,2
"?microcephaly 10, primary, autosomal recessive",OMIM:615095,3
"?microcephaly 11, primary, autosomal recessive",OMIM:615414,3
"?microcephaly 12, primary, autosomal recessive",OMIM:616080,3
"?microcephaly 13, primary, autosomal recessive",OMIM:616051,3
"?microcephaly 8, primary, autosomal recessive",OMIM:614673,3
"?microphthalmia, syndromic 13",OMIM:300915,3
?microtia with or without hearing impairment (ad),OMIM:612290,3
"?microtia, hearing impairment, and cleft palate (ar)",OMIM:612290,3
?mirror movements 3,OMIM:616059,3
?combined oxidative phosphorylation deficiency 22,OMIM:616045,3
"?mitochondrial complex (atp synthase) deficiency, nuclear type 4",OMIM:615228,3
?mitochondrial complex i deficiency,OMIM:252010,3
"?mitochondrial complex iii deficiency, nuclear type 2",OMIM:615157,3
"?mitochondrial complex iii deficiency, nuclear type 7",OMIM:615824,3
"?mitochondrial complex iii deficiency, nuclear type 8",OMIM:615838,3
"?mitochondrial complex iii deficiency, nuclear type 9",OMIM:616111,3
?mitochondrial complex iv deficiency,OMIM:220110,3
"?mitochondrial complex v (atp synthase) deficiency, nuclear type 3",OMIM:614053,3
?monilethrix,OMIM:158000,3
?multiple mitochondrial dysfunctions syndrome 3,OMIM:615330,3
?multiple synostoses syndrome 3,OMIM:612961,3
"?myopathy, congenital, compton-north",OMIM:612540,3
?immunodeficiency 9,OMIM:612782,3
"?myopathy, tubular aggregate, 2",OMIM:615883,3
?n syndrome,OMIM:310465,1
?n-acetylaspartate deficiency,OMIM:614063,3
?nanophthalmos 4,OMIM:615972,3
?neuroblastoma,-666,1
"?neuronopathy, distal hereditary motor, type iic",OMIM:613376,3
"?neutrophil chemotactic repsonse, abnormal",-666,2
"?neutrophilia, hereditary",OMIM:162830,3
"?obesity, hyperphagia, and developmental delay",OMIM:613886,3
?orofaciodigital syndrome xiv,OMIM:615948,3
?otofaciocervical syndrome 2,OMIM:615560,3
?pancreatic endocrine tumors,-666,1
"?mental retardation, x-linked, syndromic, hedera type",OMIM:300423,3
"?parkinsonism with spasticity, x-linked",OMIM:300911,3
?multiple congenital anomalies-hypotonia-seizures syndrome 3,OMIM:615398,3
?paroxysmal nocturnal hemoglobinuria 2,OMIM:615399,3
?periventricular nodular heterotopia 6,OMIM:615544,3
"?phosphoenolpyruvate carboxykinase-1, cytosolic, deficiency",OMIM:261680,1
"?polydactyly, postaxial, type a6",OMIM:615226,3
?polyendocrine-polyneuropathy syndrome,OMIM:616113,3
"?preauricular fistulae, congenital",OMIM:128700,2
?premature ovarian failure 8,OMIM:615723,3
?prinzmetal angina,-666,1
?progesterone resistance,OMIM:264080,2
"?ptosis, congenital",OMIM:178300,2
?ragweed sensitivity,OMIM:179450,2
?renal hypodysplasia/aplasia 2,OMIM:615721,3
?nephronophthisis 9,OMIM:613824,3
?renal-hepatic-pancreatic dysplasia 2,OMIM:615415,3
?retinal cone dystrophy-1,OMIM:180020,2
"?retinal dystrophy, juvenile cataracts, and short stature syndrome",OMIM:616108,3
?retinitis pigmentosa 66,OMIM:615233,3
?retinitis pigmentosa 67,OMIM:615565,3
?retinitis pigmentosa 9,OMIM:180104,3
"?retinitis pigmentosa, x-linked recessive, 6",-666,2
?roifman-chitayat syndrome,OMIM:613328,2
"?rolandic epilepsy, mental retardation, and speech dyspraxia",OMIM:300643,3
"?sarcoma, synovial",OMIM:300813,3
?seckel syndrome 6,OMIM:614728,3
?sertoli-cell-only syndrome,-666,1
"?slowed nerve conduction velocity, ad",OMIM:608236,3
"?spastic paraplegia 41, autosomal dominant",OMIM:613364,2
"?spastic paraplegia 61, autosomal recessive",OMIM:615685,3
"?spastic paraplegia 72, autosomal dominant",OMIM:615625,3
"?spastic paraplegia 72, autosomal recessive",OMIM:615625,3
?spermatogenic failure 13,OMIM:615841,3
?spermatogenic failure 14,OMIM:615842,3
?spinocerebellar ataxia 26,OMIM:609306,3
?spinocerebellar ataxia 30,OMIM:613371,2
"?spinocerebellar ataxia, autosomal recessive 15",OMIM:615705,3
"?spinocerebellar ataxia, autosomal recessive 17",OMIM:616127,3
"?spinocerebellar ataxia, x-linked 1",OMIM:302500,3
?split-hand/foot malformation 1 with sensorineural hearing loss,OMIM:220600,3
"?spondylocostal dysostosis 3, autosomal recessive",OMIM:609813,3
"?spondylocostal dysostosis 5, autosomal dominant",OMIM:122600,3
?steel syndrome,OMIM:615155,3
?stocco dos santos x-linked mental retardation syndrome,OMIM:300434,3
?stomatocytosis i,OMIM:185000,1
"?thrombocytopenia, paris-trousseau type",OMIM:188025,4
?tibial hemimelia,OMIM:275220,2
?webb-dattani syndrome,OMIM:615926,3
?winchester syndrome,OMIM:277950,3
?zimmermann-laband syndrome,OMIM:135500,2
"?{amyotrophic lateral sclerosis, susceptibility to}",OMIM:105400,3
?{autism susceptibility 16},OMIM:613410,3
"?neurodegeneration with optic atrophy, childhood onset",OMIM:615491,3
"?{parkinson disease 5, susceptibility to}",OMIM:613643,3
[?hyperproglucagonemia],OMIM:145270,1
"[acetylation, slow]",OMIM:243400,3
"[amp deaminase deficiency, erythrocytic]",OMIM:612874,3
[birth weight qtl4],-666,2
[blood group cromer],OMIM:613793,3
[blood group gil],OMIM:607457,3
"[blood group, abo system]",OMIM:616093,3
[aquaporin-1 deficiency],-666,3
"[blood group, colton]",OMIM:110450,3
"[blood group, dombrock]",OMIM:616060,3
"[blood group, landsteiner-wiener]",OMIM:111250,3
"[blood group, lewis]",-666,3
"[blood group, auberger system]",OMIM:111200,3
"[blood group, lutheran null]",OMIM:247420,3
"[blood group, lutheran system]",OMIM:111200,3
"[blood group, ok]",OMIM:111380,3
"[blood group, radin]",OMIM:111620,3
"[blood group, scianna system]",OMIM:111750,3
"[blood group, stoltzfus system]",OMIM:111800,2
"[blood group, vel system]",OMIM:615264,3
"[blood group, xg system]",OMIM:314700,3
"[blood group, yt system]",OMIM:112100,3
[blood pressure regulation qtl],OMIM:145500,2
[body mass index qtl 15],-666,2
[body mass index qtl13],-666,2
[body mass index qtl14],-666,2
[body mass index qtl1],-666,2
[body mass index qtl2],-666,2
[body mass index qtl3],-666,2
[body mass index qtl5],-666,2
[body mass index qtl6],-666,2
[bone mineral density qtl 10],-666,2
[bone mineral density qtl 11],-666,2
[bone mineral density qtl 13],-666,2
[bone mineral density qtl 14],-666,2
[bone mineral density qtl 15],OMIM:613418,3
[bone mineral density qtl 2],-666,2
[bone mineral density qtl 3],-666,2
[bone mineral density qtl 4],-666,2
[bone mineral density qtl 5],-666,2
[bone mineral density qtl 6],-666,2
[bone mineral density qtl 9],-666,2
[bone size quantitative trait locus 3],OMIM:610649,2
[c-reactive protein qtl],-666,2
"[c3hex, ability to smell]",OMIM:615082,3
[chitotriosidase deficiency],OMIM:614122,3
[cholesterol level qtl 1],-666,2
[cholesterol level qtl 2],-666,2
"[cinnamon odor, pleasantness of]",OMIM:611109,2
"[creatine kinase, brain type, ectopic expression of]",OMIM:123270,2
"[axillary odor, variation in]",OMIM:117800,3
"[colostrum secretion, variation in]",OMIM:117800,3
"[earwax, wet/dry]",OMIM:117800,3
"[erythrocytosis, familial, 1]",OMIM:133100,3
"[ezetimibe, nonresponse to]",-666,3
[fasting insulin level quantitative trait locus 1],OMIM:606035,2
[fasting plasma glucose level qtl 1],-666,2
[fasting plasma glucose level qtl 3],-666,2
[fasting plasma glucose level qtl 4],-666,2
[fasting plasma glucose level qtl 5],OMIM:613463,3
"[fleck retina, familial benign]",OMIM:228980,3
[fructosuria],OMIM:229800,3
"[gamma-glutamyltransferase, familial high serum]",-666,2
[glutaric aciduria iii],OMIM:231690,3
[glycerol quantitative trait locus],OMIM:614411,3
[glyoxalase ii deficiency],OMIM:614033,1
[handedness],-666,2
[hematocrit/hemoglobin quantitative trait locus 1],OMIM:609319,2
[hematocrit/hemoglobin quantitative trait locus 2],OMIM:609320,2
[hematocrit/hemoglobin quantitative trait locus 3],OMIM:613284,2
[high density lipoprotein cholesterol level qtl 1],-666,2
[high density lipoprotein cholesterol level qtl 2],-666,2
[high density lipoprotein cholesterol level qtl 4],-666,2
[high density lipoprotein cholesterol level qtl 5],-666,2
[high density lipoprotein cholesterol level qtl 8],-666,3
[high density lipoprotein cholesterol level qtl 9],-666,3
[high density lipoprotein cholesterol level qtl6],OMIM:610762,3
