Disease,OMIMID,PhenotypeClass
"ectodermal dysplasia 8, hair/tooth/nail type",OMIM:602401,2
"ectodermal dysplasia 9, hair/nail type",OMIM:614931,3
"ectodermal dysplasia, anhidrotic, with t-cell immunodeficiency",OMIM:612132,3
ectodermal dysplasia-syndactyly syndrome 1,OMIM:613573,3
ectodermal dysplasia-syndactyly syndrome 2,OMIM:613576,2
"deafness, autosomal dominant 28",OMIM:608641,3
ectodermal dysplasia/short stature syndrome,OMIM:616029,3
ectodermal dysplasia/skin fragility syndrome,OMIM:604536,3
ectopia lentis et pupillae,OMIM:225200,3
"ectopia lentis, isolated, autosomal recessive",OMIM:225100,3
edict syndrome,OMIM:614303,3
"ehlers-danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss",OMIM:614557,3
"ehlers-danlos syndrome, musculocontractural type 1",OMIM:601776,3
"ehlers-danlos syndrome, progeroid type, 1",OMIM:130070,3
"ehlers-danlos syndrome, type viic",OMIM:225410,3
"ehlers-danlos syndrome, type viii",OMIM:130080,2
elliptocytosis-1,OMIM:611804,3
emanuel syndrome,OMIM:609029,4
"emery-dreifuss muscular dystrophy 1, x-linked",OMIM:310300,3
"emery-dreifuss muscular dystrophy 5, autosomal dominant",OMIM:612999,3
arrhythmogenic right ventricular dysplasia 5,OMIM:604400,3
"emery-dreifuss muscular dystrophy 7, ad",OMIM:614302,3
"encephalopahty, lethal, due to defective mitochondrial peroxisomal fission",OMIM:614388,3
"encephalopathy, familial, with neuroserpin inclusion bodies",OMIM:604218,3
"charcot-marie-tooth disease, type 1f",OMIM:607734,3
"charcot-marie-tooth disease, type 2e",OMIM:607684,3
endocrine-cerebroosteodysplasia,OMIM:612651,3
endplate acetylcholinesterase deficiency,OMIM:603034,3
enlarged vestibular aqueduct,OMIM:600791,3
enolase deficiency,-666,1
enterokinase deficiency,OMIM:226200,3
"enuresis, nocturnal, 1",OMIM:600631,2
"enuresis, nocturnal, 2",OMIM:600808,2
eosinophil peroxidase deficiency,OMIM:261500,3
"eosinophilia, familial",OMIM:131400,2
epidermodysplasia verruciformis,OMIM:226400,3
"?neuropathy, hereditary sensory and autonomic, type vi",OMIM:614653,3
"epidermolysis bullosa simplex, sutosomal recessive 2",OMIM:615425,3
"epidermolysis bullosa, junctional, with pyloric stenosis",OMIM:226730,3
"epidermolysis bullosa, nonspecific, autosomal recessive",OMIM:615028,3
"epilepsy, childhood absence, 1",-666,2
"epilepsy, familial adult myoclonic, 4",OMIM:615127,2
"epilepsy, familial focal, with variable foci",OMIM:604364,3
"epilepsy, familial temporal lobe, 1",OMIM:600512,3
"epilepsy, familial temporal lobe, 2",OMIM:608096,2
"epilepsy, familial temporal lobe, 4",OMIM:611631,2
"epilepsy, familial temporal lobe, 6",OMIM:615697,2
"epilepsy, focal, with speech disorder and with or without mental retardation",OMIM:245570,3
"atrial fibrillation, familial, 13",OMIM:615377,3
"cardiac conduction defect, nonspecific",OMIM:612838,3
"epilepsy, generalized, with febrile seizures plus, type 1",OMIM:604233,3
brugada syndrome 5,OMIM:612838,3
"epilepsy, generalized, with febrile seizures plus, type 4",-666,2
"epilepsy, generalized, with febrile seizures plus, type 6",-666,2
"epilepsy, hot water, 1",OMIM:613339,2
"epilepsy, hot water, 2",OMIM:613340,2
"epilepsy, idiopathic generalized, susceptibility to 4",OMIM:609750,2
"epilepsy, idiopathic generalized, susceptibility to, 5",OMIM:611934,2
"epilepsy, juvenile myoclonic 3",-666,2
"epilepsy, myoclonic, familial adult, 3",-666,2
"epilepsy, nocturnal frontal lobe, 3",OMIM:605375,3
"epilepsy, nocturnal frontal lobe, type 2",-666,2
"epilepsy, nocturnal frontal lobe, type 4",OMIM:610353,3
"epilepsy, partial, with pericentral spikes",OMIM:607221,2
"epilepsy, progressive myoclonic 1a (unverricht and lundborg)",OMIM:254800,3
"epilepsy, progressive myoclonic 1b",OMIM:612437,3
"epilepsy, progressive myoclonic 2a (lafora)",OMIM:254780,3
"epilepsy, progressive myoclonic 2b (lafora)",OMIM:254780,3
"epilepsy, progressive myoclonic 3, with or without intracellular inclusions",OMIM:611726,3
"epilepsy, progressive myoclonic 4, with or without renal failure",OMIM:254900,3
"epilepsy, progressive myoclonic 5",OMIM:613832,3
"epilepsy, progressive myoclonic 6",OMIM:614018,3
"epilepsy, pyridoxine-dependent",OMIM:266100,3
"epilepsy, rolandic, with paroxysmal exercise-induced dystonia and writer's cramp",OMIM:608105,2
"epilepsy, x-linked, with variable learning disabilities and behavior disorders",OMIM:300491,3
"epileptic encephalopathy, childhood-onset",OMIM:615369,3
"epileptic encephalopathy, early infantile, 12",OMIM:613722,3
cognitive impairment with or without cerebellar ataxia,OMIM:614306,3
"epileptic encephalopathy, early infantile, 13",OMIM:614558,3
"epilepsy, nocturnal frontal lobe, 5",OMIM:615005,3
"epileptic encephalopathy, early infantile, 14",OMIM:614959,3
"epileptic encephalopathy, early infantile, 17",OMIM:615473,3
"epileptic encephalopathy, early infantile, 18",OMIM:615476,3
angelman syndrome-like,OMIM:105830,3
"epileptic encephalopathy, early infantile, 2",OMIM:300672,3
"epileptic encephalopathy, early infantile, 23",OMIM:615859,3
"epileptic encephalopathy, early infantile, 24",OMIM:615871,3
"epileptic encephalopathy, early infantile, 25",OMIM:615905,3
"epileptic encephalopathy, early infantile, 26",OMIM:616056,3
"epileptic encephalopathy, early infantile, 3",OMIM:609304,3
"epileptic encephalopathy, early infantile, 4",OMIM:612164,3
"epileptic encephalopathy, early infantile, 5",OMIM:613477,3
"epileptic encephalopathy, early infantile, 8",OMIM:300607,3
"epileptic encephalopathy, early infantile, 9",OMIM:300088,3
"epilespy, generalized, with febrile seizures plus, type 8",-666,2
"acromesomelic dysplasia, maroteaux type",OMIM:602875,3
"epiphyseal chondrodysplasia, miura type",OMIM:615923,3
achondrogenesis ib,OMIM:600972,3
"diastrophic dysplasia, broad bone-platyspondylic variant",OMIM:222600,3
"epiphyseal dysplasia, multiple, 4",OMIM:226900,3
atelosteogenesis ii,OMIM:256050,3
de la chapelle dysplasia,OMIM:256050,3
diastrophic dysplasia,OMIM:222600,3
"episodic ataxia, type 3",OMIM:606554,2
"episodic ataxia, type 6",OMIM:612656,3
"episodic ataxia, type 7",OMIM:611907,2
episodic ataxia/myokymia syndrome,OMIM:160120,3
episodic kinesigenic dyskinesia 2,OMIM:611031,2
"episodic muscle weakness, x-linked",OMIM:300211,2
"episodic pain syndrome, familial",OMIM:615040,3
"episodic pain syndrome, familial, 2",OMIM:615551,3
epsilon-trimethyllysine hydroxylase deficiency,OMIM:300872,3
"[blood group, kell]",OMIM:110900,3
erythrocytosis due to bisphosphoglycerate mutase deficiency,OMIM:222800,3
"[hemoglobin, high altitude adaptation]",OMIM:609070,3
"erythrocytosis, familial, 3",OMIM:609820,3
"erythrocytosis, familial, 4",OMIM:611783,3
"deafness, autosomal dominant 2b",OMIM:612644,3
"deafness, digenic, gjb2/gjb3",OMIM:220290,3
erythrokeratodermia variabilis et progressiva,OMIM:133200,3
"deafness, autosomal dominant, with peripheral neuropathy",-666,3
"deafness, autosomal recessive",OMIM:607197,3
erythrokeratodermia variabilis with erythema gyratum repens,OMIM:133200,3
"esophageal carcinoma, somatic",OMIM:133239,3
esophageal squamous cell carcinoma,OMIM:133239,1
ethylmalonic encephalopathy,OMIM:602473,3
"exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like",OMIM:607936,3
"exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis",OMIM:612714,3
chondrosarcoma,OMIM:215300,3
"exostoses, multiple, type 1",OMIM:133700,3
"exostoses, multiple, type 2",OMIM:133701,3
"exostoses, multiple, type 3",-666,2
exudative vitreoretinopathy 3,OMIM:605750,2
exudative vitreoretinopathy 5,OMIM:613310,3
fabry disease,OMIM:301500,3
"fabry disease, cardiac variant",OMIM:301500,3
"facial clefting, oblique, 1",OMIM:600251,3
"facial paresis, hereditary congenital, 3",OMIM:614744,3
"factor v and factor viii, combined deficiency of",OMIM:613625,3
factor x deficiency,OMIM:227600,3
"factor xi deficiency, autosomal dominant",OMIM:612416,3
"factor xi deficiency, autosomal recessive",OMIM:612416,3
"angioedema, hereditary, type iii",OMIM:610618,3
factor xii deficiency,OMIM:234000,3
factor xiiib deficiency,OMIM:613235,3
familial cold autoinflammatory syndrome 2,OMIM:611762,3
"autoinflammation, antibody deficiency, and immune dysregulation syndrome",OMIM:614878,3
familial cold autoinflammatory syndrome 3,OMIM:614468,3
"familial mediterranean fever, ad",OMIM:134610,3
"familial mediterranean fever, ar",OMIM:249100,3
"fanconi anemia, complementation group a",OMIM:227650,3
"fanconi anemia, complementation group b",OMIM:300514,3
"fanconi anemia, complementation group c",OMIM:227645,3
"fanconi anemia, complementation group d2",OMIM:227646,3
"fanconi anemia, complementation group e",OMIM:600901,3
"fanconi anemia, complementation group f",OMIM:603467,3
"fanconi anemia, complementation group g",OMIM:614082,3
"fanconi anemia, complementation group i",OMIM:609053,3
"breast cancer, early-onset",OMIM:114480,3
"fanconi anemia, complementation group j",OMIM:609054,3
"fanconi anemia, complementation group l",OMIM:614083,3
"fanconi anemia, complementation group m",OMIM:614087,3
"fanconi anemia, complementation group p",OMIM:613951,3
fanconi renotubular syndrome 1,OMIM:134600,2
"fascioscapulohumeral muscular dystrophy 2, digenic",OMIM:158901,3
brown-vialetto-van laere syndrome 1,OMIM:211530,3
fazio-londe disease,OMIM:211500,3
"febrile seizures, familial, 1",OMIM:121210,2
"febrile seizures, familial, 10",OMIM:612637,2
"epilepsy, familial temporal lobe, 5",OMIM:614417,3
"febrile seizures, familial, 11",OMIM:614418,3
"febrile seizures, familial, 2",OMIM:602477,2
"febrile seizures, familial, 5",OMIM:609255,2
"febrile seizures, familial, 6",OMIM:609253,2
"febrile seizures, familial, 7",OMIM:611515,2
"febrile seizures, familial, 9",OMIM:611634,2
feingold syndrome,OMIM:164280,3
feingold syndrome 2,OMIM:614326,3
"cyanosis, transient neonatal",OMIM:613977,3
fetal hemoglobin quantitative trait locus 1,OMIM:141749,3
fetal hemoglobin quantitative trait locus 2,OMIM:142470,2
fetal hemoglobin quantitative trait locus 4,OMIM:606789,2
fg syndrome 3,OMIM:300406,2
fg syndrome 5,OMIM:300581,2
fibrodysplasia ossificans progressiva,OMIM:135100,3
"fibromatosis, gingival, 2",OMIM:605544,2
"fibromatosis, gingival, 3",OMIM:609955,2
"fibromatosis, gingival, 4",OMIM:611010,2
"fibrosis of extraocular muscles, congenital, 2",OMIM:602078,3
"cortical dysplasia, complex, with other brain malformations 1",OMIM:614039,3
"fibrosis of extraocular muscles, congenital, 3a",OMIM:600638,3
"fibrosis of extraocular muscles, congenital, 1",OMIM:135700,3
"fibrosis of extraocular muscles, congenital, 3b",OMIM:135700,3
filippi syndrome,OMIM:272440,3
fletcher factor deficiency,OMIM:612423,3
floating-harbor syndrome,OMIM:136140,3
focal dermal hypoplasia,OMIM:305600,3
"focal facial dermal dysplasia 3, setleis type",OMIM:227260,3
focal facial dermal dysplasia 4,OMIM:614974,3
focal segmental glomerulosclerosis 8,OMIM:616032,-666
"folate malabsorption, hereditary",OMIM:229050,3
"follicle-stimulating hormone deficiency, isolated",OMIM:229070,3
forebrain defects,-666,3
forsythe-wakeling syndrome,OMIM:613606,2
"colon cancer, advanced, somatic",-666,3
"foveal hypoplasia 2, with or without optic nerve misrouting and/or anterior segment dysgenesis",OMIM:609218,3
frank-ter haar syndrome,OMIM:249420,3
fraser syndrome,OMIM:219000,3
frias syndrome,OMIM:609640,4
friedreich ataxia 2,OMIM:601992,2
friedreich ataxia,OMIM:229300,3
friedreich ataxia with retained reflexes,OMIM:229300,3
frontonasal dysplasia 1,OMIM:136760,3
frontotemporal dementia and/or amyotrophic lateral sclerosis 2,OMIM:615911,3
"aphasia, primary progressive",OMIM:607485,3
"ceroid lipofuscinosis, neuronal, 11",OMIM:614706,3
frontotemporal lobar degeneration with ubiquitin-positive inclusions,OMIM:607485,3
"amyotrophic lateral sclerosis 10, with or without ftd",OMIM:612069,3
"frontotemporal lobar degeneration, tardbp-related",OMIM:612069,3
fructose intolerance,OMIM:229600,3
"fructose-1,6-bisphosphatase deficiency",OMIM:229700,3
fucosidosis,OMIM:230000,3
fucosyltransferase 6 deficiency,OMIM:613852,3
gaba-transaminase deficiency,OMIM:613163,3
galactokinase deficiency with cataracts,OMIM:230200,3
galactose epimerase deficiency,OMIM:230350,3
galactosemia,OMIM:230400,3
galactosialidosis,OMIM:256540,3
"cholestasis, intrahepatic, of pregnancy, 3",OMIM:614972,3
"cholestasis, progressive familial intrahepatic 3",OMIM:602347,3
gallbladder disease 1,OMIM:600803,3
gallbladder disease 2,OMIM:609918,2
gallbladder disease 3,OMIM:609919,2
gastroesophageal reflux,OMIM:109350,2
"gaze palsy, horizontal, with progressive scoliosis",OMIM:607313,3
geleophysic dysplasia 1,OMIM:231050,3
generalized epilepsy and paroxysmal dyskinesia,OMIM:609446,3
"generalized epilepsy with febrile seizures plus, type 9",OMIM:616172,3
geniospasm,-666,2
geroderma osteodysplasticum,OMIM:231070,3
?thromboxane synthase deficiency,OMIM:614158,1
ghosal hematodiaphyseal syndrome,OMIM:231095,3
giant axonal neuropathy-1,OMIM:256850,3
"bernard-soulier syndrome, type b",OMIM:231200,3
"giant platelet disorder, isolated",OMIM:231200,3
?isolated growth hormone deficiency due to defect in ghrf,-666,1
gigantism due to ghrf hypersecretion,-666,1
"glaucoma 1, open angle, 1o",OMIM:613100,3
"glaucoma 1, open angle, g",OMIM:609887,3
"glaucoma 1, open angle, h",OMIM:611276,2
"glaucoma 1, open angle, i",OMIM:609745,2
"glaucoma 1, open angle, m",OMIM:610535,2
"glaucoma 1, open angle, n",OMIM:611274,2
"glaucoma 1, open angle, p",OMIM:177700,4
"glaucoma 1a, primary open angle",OMIM:137750,3
"glaucoma 1b, primary open angle, adult onset, ",-666,2
"glaucoma 1c, primary open angle",-666,2
"glaucoma 1d, primary open angle",-666,2
"glaucoma 1k, primary open angle, juvenile-onset",-666,2
"glaucoma 3, primary congenital, c",OMIM:613085,2
"glaucoma 3, primary infantile, b",OMIM:600975,2
glomerulopathy with fibronectin deposits 1,OMIM:137950,2
"glomerulosclerosis, focal segmental, 1",OMIM:603278,3
"glomerulosclerosis, focal segmental, 2",OMIM:603965,3
"glomerulosclerosis, focal segmental, 3",OMIM:607832,3
"charcot-marie-tooth disease, dominant intermediate e",OMIM:614455,3
"glomerulosclerosis, focal segmental, 5",OMIM:613237,3
"glomerulosclerosis, focal segmental, 6",OMIM:614131,3
glomuvenous malformations,OMIM:138000,3
glucocorticoid deficiency 2,OMIM:607398,3
glucocorticoid deficiency 3,OMIM:609197,2
glucocorticoid deficiency 4,OMIM:614736,3
"glucocorticoid deficiency, due to acth unresponsiveness",OMIM:202200,3
glucocorticoid resistance,OMIM:615962,3
glucose/galactose malabsorption,OMIM:606824,3
glutamate formiminotransferase deficiency,OMIM:229100,3
"glutamine deficiency, congenital",OMIM:610015,3
glutaric acidemia iia,OMIM:231680,3
glutaric acidemia iib,OMIM:231680,3
glutaric acidemia iic,OMIM:231680,3
"glutaricaciduria, type i",OMIM:231670,3
glutathioninuria,-666,1
glycerol kinase deficiency,OMIM:307030,3
glycine encephalopathy,OMIM:605899,3
glycine n-methyltransferase deficiency,OMIM:606664,3
"glycogen storage disease 0, liver",OMIM:240600,3
"glycogen storage disease 0, muscle",OMIM:611556,3
glycogen storage disease ia,OMIM:232200,3
glycogen storage disease ib,OMIM:232220,3
glycogen storage disease ic,OMIM:232240,3
glycogen storage disease ii,OMIM:232300,3
glycogen storage disease iiia,OMIM:232400,3
glycogen storage disease iiib,OMIM:232400,3
cirrhosis due to liver phosphorylase kinase deficiency,-666,3
glycogen storage disease ixc,OMIM:613027,3
glycogen storage disease vi,OMIM:232700,3
glycogen storage disease vii,OMIM:232800,3
glycogen storage disease x,OMIM:261670,3
glycogen storage disease xi,OMIM:612933,3
glycogen storage disease xii,OMIM:611881,3
"glycogen storage disease, type ixa1",OMIM:306000,3
"glycogen storage disease, type ixa2",OMIM:306000,3
glycosylphosphatidylinositol deficiency,OMIM:610293,3
"gm2-gangliosidosis, ab variant",OMIM:272750,3
goeminne tkcr syndrome,-666,2
"chorea, hereditary benign",OMIM:118700,3
"choreoathetosis, hypothyroidism, and neonatal respiratory distress",OMIM:610978,3
"goiter, familial, due to ttf-1 defect",-666,1
"goiter, multinodular, 2",OMIM:300273,2
"goiter, multinodular, 3",OMIM:606082,2
goldberg-shprintzen megacolon syndrome,OMIM:609460,3
"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type iii",OMIM:613960,3
gray platelet syndrome,OMIM:139090,3
"griscelli syndrome, type 1",OMIM:214450,3
"griscelli syndrome, type 2",OMIM:607624,3
"griscelli syndrome, type 3",OMIM:609227,3
growth retardation with deafness and mental retardation due to igf1 deficiency,OMIM:608747,3
"growth retardation, developmental delay, coarse facies, and early death",OMIM:612938,3
gustavson syndrome,-666,2
gyrate atrophy of choroid and retina with or without ornithinemia,OMIM:258870,3
"hair, curly",-666,2
alagille syndrome 2,OMIM:610205,3
hajdu-cheney syndrome,OMIM:102500,3
hamamy syndrome,OMIM:611174,3
guttmacher syndrome,OMIM:176305,3
hand-foot-uterus syndrome,OMIM:140000,3
coproporphyria,OMIM:121300,3
harderoporphyria,OMIM:121300,3
hashimoto thyroiditis,OMIM:140300,2
"[blood group, john-milton-hagen system]",OMIM:614745,3
"alport syndrome, autosomal dominant",OMIM:104200,3
"hematuria, benign familial",OMIM:141200,3
"alport syndrome, autosomal recessive",OMIM:203780,3
"hematuria, familial benign",-666,3
hemifacial microsomia,OMIM:164210,2
hemihypertrophy,-666,2
"hemochromatosis, type 2a",OMIM:602390,3
"hemochromatosis, type 2b",OMIM:613313,3
"hemochromatosis, type 3",OMIM:604250,3
"hemochromatosis, type 4",OMIM:606069,3
hemolytic anemia due to adenylate kinase deficiency,OMIM:612631,3
hemolytic anemia due to phosphofructokinase deficiency,-666,1
hemolytic anemia due to triosephosphate isomerase deficiency,OMIM:615512,3
"hemolytic anemia, cd59-mediated, with or without immune-mediated polyneuropathy",OMIM:612300,3
"hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",OMIM:613470,3
"hemophagocytic lymphohistiocytosis, familial, 3",OMIM:608898,3
"hemophagocytic lymphohistiocytosis, familial, 4",OMIM:603552,3
"hemophagocytic lymphohistiocytosis, familial, 5",OMIM:613101,3
hemophilia a,OMIM:306700,3
"hemorrhagic destruction of the brain, subependymal calcification, and cataracts",OMIM:613730,3
"[hypoceruloplasminemia, hereditary]",OMIM:604290,3
cerebellar ataxia,OMIM:604290,3
"hemosiderosis, systemic, due to aceruloplasminemia",OMIM:604290,3
hennekam lymphangiectasia-lymphedema syndrome 1,OMIM:235510,3
"hepatic failure, early onset, and neurologic disorder",-666,3
2-methylbutyrylglycinuria,OMIM:610006,3
hereditary motor and sensory neuropathy v,OMIM:600361,2
"charcot-marie-tooth disease, type 2a2",OMIM:609260,3
hereditary motor and sensory neuropathy vi,OMIM:601152,3
"?spastic paraplegia 57, autosomal recessive",OMIM:615658,3
"hereditary motor and sensory neuropathy, proximal type",OMIM:604484,3
"[blood group, indian system]",OMIM:609027,3
hermansky-pudlak syndrome 1,OMIM:203300,3
hermansky-pudlak syndrome 2,OMIM:608233,3
hermansky-pudlak syndrome 3,OMIM:614072,3
hermansky-pudlak syndrome 4,OMIM:614073,3
hermansky-pudlak syndrome 5,OMIM:614074,3
hermansky-pudlak syndrome 6,OMIM:614075,3
hermansky-pudlak syndrome 8,OMIM:614077,3
hermansky-pudlak syndrome 9,OMIM:614171,3
"hernia, congenital diaphragmatic 1",-666,2
"hernia, congenital diaphragmatic 2",-666,2
"herpes simplex encephalitis, susceptibility to, 1",OMIM:610551,3
digeorge syndrome/velocardiofacial syndrome complex-2,OMIM:601362,2
"heterotaxy, visceral, 4, autosomal",OMIM:613751,3
"heterotaxy, visceral, 5",OMIM:270100,3
"heterotaxy, visceral, 6, autosomal recessive",OMIM:614779,3
high density lipoprotein cholesterol level qtl14,-666,2
"hip dysplasia, beukes type",OMIM:142669,2
"histiocytoma, angiomatoid fibrous, somatic",OMIM:612160,3
histiocytosis-lymphadenopathy plus syndrome,OMIM:602782,3
hmg-coa lyase deficiency,OMIM:246450,3
hmg-coa synthase-2 deficiency,OMIM:605911,3
holocarboxylase synthetase deficiency,OMIM:253270,3
holoprosencephaly 11,OMIM:614226,3
holoprosencephaly-1,OMIM:236100,2
holoprosencephaly-5,OMIM:609637,3
holoprosencephaly-6,OMIM:605934,2
holoprosencephaly-8,OMIM:609408,2
culler-jones syndrome,OMIM:615849,3
holoprosencephaly-9,OMIM:610829,3
holt-oram syndrome,OMIM:142900,3
homocysteine plasma level,-666,2
cystathioninuria,OMIM:219500,3
"homocysteine, total plasma, elevated",-666,3
"brachydactyly, type e2",OMIM:613382,3
humoral hypercalcemia of malignancy,-666,1
huntington disease,OMIM:143100,3
huntington disease-like 2,OMIM:606438,3
huntington disease-like 3,OMIM:604802,2
huriez syndrome,-666,2
hyaline fibromatosis syndrome,OMIM:228600,3
"hydatidiform mole, recurrent, 1",OMIM:231090,3
"hydatidiform mole, recurrent, 2",OMIM:614293,3
?spinocerebellar ataxia 40,OMIM:616053,3
"hydrocephalus, nonsyndromic, autosomal recessive",OMIM:236600,3
"hydrocephalus, nonsyndromic, autosomal recessive 2",OMIM:615219,3
hydrolethalus syndrome,OMIM:236680,3
"autoimmune disease, multisystem, infantile-onset",OMIM:615952,3
hyper-ige recurrent infection syndrome,OMIM:147060,3
"hyperaldosteronism, familial, type ii",OMIM:605635,2
[high density lipoprotein cholesterol level qtl 10],OMIM:143470,3
hyperalphalipoproteinemia,OMIM:143470,3
hyperammonemia due to carbonic anhydrase va deficiency,OMIM:615751,3
"adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",OMIM:201910,3
"hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency",OMIM:201910,3
"hyperbilirubinemia, rotor type, digenic",OMIM:237450,3
hyperbiliverdinemia,OMIM:614156,3
"hypercalcemia, infantile",OMIM:143880,3
"hypercalciuria, absorptive",-666,2
"hypercarotenemia and vitamin a deficiency, autosomal dominant",OMIM:115300,3
"hyperchlorhidrosis, isolated",OMIM:143860,3
"hypercholesterolemia, familial, autosomal recessive",OMIM:603813,3
"hyperekplexia 2, autosomal recessive",OMIM:614619,3
hyperekplexia 3,OMIM:614618,3
"hyperekplexia, hereditary 1, autosomal dominant or recessive",OMIM:149400,3
"gastrointestinal stromal tumor, somatic",OMIM:606764,3
"hypereosinophilic syndrome, idiopathic, resistant to imatinib",OMIM:607685,3
hyperhidrosis palmaris et plantaris,OMIM:144110,2
3-hydroxyacyl-coa dehydrogenase deficiency,OMIM:231530,3
"hyperinsulinemic hypoglycemia, familial, 4",OMIM:609975,3
hyperinsulinism-hyperammonemia syndrome,OMIM:606762,3
cavernous malformations of cns and retina,OMIM:116860,3
cerebral cavernous malformations-1,OMIM:116860,3
hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations,OMIM:116860,3
"hyperlipidemia, combined, 2",OMIM:604499,2
"hyperlipoproteinemia, type 1d",OMIM:615947,3
"hyperlipoproteinemia, type ib",OMIM:207750,3
"hypermanganesemia with dystonia, polycythemia, and cirrhosis",OMIM:613280,3
hypermethioninemia due to adenosine kinase deficiency,OMIM:614300,3
hypermethioninemia with deficiency of s-adenosylhomocysteine hydrolase,OMIM:613752,3
hyperornithinemia-hyperammonemia-homocitrullinemia syndrome,OMIM:238970,3
"hyperoxaluria, primary, type 1",OMIM:259900,3
"hyperoxaluria, primary, type ii",OMIM:260000,3
"hyperoxaluria, primary, type iii",OMIM:613616,3
hyperparathyroidism 3,OMIM:610071,2
"hyperphenylalaninemia, bh4-deficient, a",OMIM:261640,3
"dystonia, dopa-responsive, with or without hyperphenylalaninemia",OMIM:128230,3
"hyperphenylalaninemia, bh4-deficient, b",OMIM:233910,3
"hyperphenylalaninemia, bh4-deficient, c",OMIM:261630,3
"hyperphenylalaninemia, bh4-deficient, d",OMIM:264070,3
hyperphosphatasia with mental retardation syndrome 1,OMIM:239300,3
hyperphosphatasia with mental retardation syndrome 2,OMIM:614749,3
hyperphosphatasia with mental retardation syndrome 3,OMIM:614207,3
hyperphosphatasia with mental retardation syndrome 4,OMIM:615716,3
"[skin/hair/eye pigmentation 7, blond/brown hair]",OMIM:611664,3
"hyperpigmentation, familial progressive, 2",OMIM:145250,3
"hyperprolinemia, type ii",OMIM:239510,3
"hypertelorism, preauricular sinus, punctal pits, and deafness",OMIM:614187,2
hypertension with brachydactyly,OMIM:112410,2
"hypertriglyceridemia, transient infantile",OMIM:614480,3
"hypertrophic osteoarthropathy, primary, autosomal recessive 2",OMIM:614441,3
"hyperuricemia, pulmonary hypertension, renal failure, and alkalosis",OMIM:613845,3
"atrial fibrillation, familial, 12",OMIM:614050,3
"cardiomyopathy, dilated, 1o",OMIM:608569,3
hypertrichotic osteochondrodysplasia,OMIM:239850,3
"hyperuricemic nephropathy, familial juvenile, 3",OMIM:614227,2
"hypercholesterolemia, due to ligand-defective apo b",OMIM:144010,3
hypobetalipoproteinemia,OMIM:615558,3
"hypobetalipoproteinemia, familial, 2",OMIM:605019,3
"hypocalciuric hypercalcemia, familial, type iii",OMIM:600740,3
"hypocalcemia, autosomal dominant 2",OMIM:615361,3
"hypocalciuric hypercalcemia, type ii",OMIM:145981,3
"amyloidosis, 3 or more types",OMIM:105200,3
"apoa-i and apoc-iii deficiency, combined",-666,3
"corneal clouding, autosomal recessive",-666,3
hypoalphalipoproteinemia,OMIM:604091,3
"afibrinogenemia, congenital",OMIM:202400,3
"dysfibrinogenemia, congenital",OMIM:616004,3
"hypofibrinogenemia, congenital",OMIM:202400,3
hypodysfibrinogenemia,OMIM:616004,3
"amyloidosis, familial visceral",OMIM:105200,3
"hypodysfibrinogenemia, congenital",OMIM:616004,3
?male pseudohermaphroditism due to defective lh,-666,1
"hypogonadism, hypergonadotropic",-666,3
hypogonadotropic hypogonadism 1 with or without anosmia (kallmann syndrome 1),OMIM:308700,3
hypogonadotropic hypogonadism 10 with or without anosmia,OMIM:614839,3
hypogonadotropic hypogonadism 11 with or without anosmia,OMIM:614840,3
hypogonadotropic hypogonadism 14 with or without anosmia,OMIM:614858,3
hypogonadotropic hypogonadism 17 with or without anosmia,OMIM:615266,3
hypogonadotropic hypogonadism 18 with or without anosmia,OMIM:615267,3
hypogonadotropic hypogonadism 19 with or without anosmia,OMIM:615269,3
hypogonadotropic hypogonadism 20 with or without anosmia,OMIM:615270,3
hypogonadotropic hypogonadism 21 with anosmia,OMIM:615271,3
hypogonadotropic hypogonadism 3 with or without anosmia,OMIM:244200,3
hypogonadotropic hypogonadism 4 with or without anosmia,OMIM:610628,3
hypogonadotropic hypogonadism 6 with or without anosmia,OMIM:612702,3
fertile eunuch syndrome,OMIM:228300,3
hypogonadotropic hypogonadism 7 without anosmia,OMIM:146110,3
"?precocious puberty, central, 1",OMIM:176400,3
hypogonadotropic hypogonadism 8 with or without anosmia,OMIM:614837,3
hypogonadotropic hypogonadism 9 with or without anosmia,OMIM:614838,3
hypogonadotropic hypogonadism with or without anosmia,OMIM:616030,3
"diabetes mellitus, type ii",OMIM:125853,3
hypoinsulinemic hypoglycemia with hemihypertrophy,OMIM:240900,3
"hypomagnesemia 1, intestinal",OMIM:602014,3
"hypomagnesemia 3, renal",OMIM:248250,3
"hypomagnesemia 4, renal",OMIM:611718,3
"hypomagnesemia 5, renal, with ocular involvement",OMIM:248190,3
"hypomagnesemia 6, renal",OMIM:613882,3
"hypomagnesemia-2, renal",OMIM:154020,3
