gene_id,gene_name
NCBIGene:224,ALDH3A2
NCBIGene:8659,ALDH4A1
NCBIGene:7915,ALDH5A1
NCBIGene:4329,ALDH6A1
NCBIGene:501,ALDH7A1
NCBIGene:226,ALDOA
NCBIGene:229,ALDOB
NCBIGene:56052,ALG1
NCBIGene:144245,ALG10B
NCBIGene:440138,ALG11
NCBIGene:79087,ALG12
NCBIGene:79868,ALG13
NCBIGene:199857,ALG14
NCBIGene:85365,ALG2
NCBIGene:10195,ALG3
NCBIGene:29880,ALG5
NCBIGene:29929,ALG6
NCBIGene:79053,ALG8
NCBIGene:79796,ALG9
NCBIGene:238,ALK
NCBIGene:91801,ALKBH8
NCBIGene:7840,ALMS1
NCBIGene:242,ALOX12B
NCBIGene:240,ALOX5
NCBIGene:241,ALOX5AP
NCBIGene:59344,ALOXE3
NCBIGene:80216,ALPK1
NCBIGene:57538,ALPK3
NCBIGene:249,ALPL
NCBIGene:57679,ALS2
NCBIGene:8092,ALX1
NCBIGene:257,ALX3
NCBIGene:60529,ALX4
NCBIGene:23600,AMACR
NCBIGene:258,AMBN
NCBIGene:265,AMELX
NCBIGene:139285,AMER1
NCBIGene:267,AMFR
NCBIGene:268,AMH
NCBIGene:269,AMHR2
NCBIGene:9949,AMMECR1
NCBIGene:81693,AMN
NCBIGene:154810,AMOTL1
NCBIGene:270,AMPD1
NCBIGene:271,AMPD2
NCBIGene:272,AMPD3
NCBIGene:275,AMT
NCBIGene:401138,AMTN
NCBIGene:64682,ANAPC1
NCBIGene:51434,ANAPC7
NCBIGene:283,ANG
NCBIGene:284,ANGPT1
NCBIGene:285,ANGPT2
NCBIGene:27329,ANGPTL3
NCBIGene:83854,ANGPTL6
NCBIGene:286,ANK1
NCBIGene:287,ANK2
NCBIGene:288,ANK3
NCBIGene:51479,ANKFY1
NCBIGene:56172,ANKH
NCBIGene:23141,ANKLE2
NCBIGene:27063,ANKRD1
NCBIGene:29123,ANKRD11
NCBIGene:26057,ANKRD17
NCBIGene:22852,ANKRD26
NCBIGene:79722,ANKRD55
NCBIGene:203286,ANKS6
NCBIGene:54443,ANLN
NCBIGene:55107,ANO1
NCBIGene:55129,ANO10
NCBIGene:63982,ANO3
NCBIGene:203859,ANO5
NCBIGene:196527,ANO6
NCBIGene:3730,ANOS1
NCBIGene:84168,ANTXR1
NCBIGene:118429,ANTXR2
NCBIGene:311,ANXA11
NCBIGene:84909,AOPEP
NCBIGene:162,AP1B1
NCBIGene:164,AP1G1
NCBIGene:1174,AP1S1
NCBIGene:8905,AP1S2
NCBIGene:130340,AP1S3
NCBIGene:1173,AP2M1
NCBIGene:1175,AP2S1
NCBIGene:8546,AP3B1
NCBIGene:8120,AP3B2
NCBIGene:8943,AP3D1
NCBIGene:10717,AP4B1
NCBIGene:23431,AP4E1
NCBIGene:9179,AP4M1
NCBIGene:11154,AP4S1
NCBIGene:9907,AP5Z1
NCBIGene:324,APC
NCBIGene:10297,APC2
NCBIGene:147495,APCDD1
NCBIGene:335,APOA1
NCBIGene:336,APOA2
NCBIGene:337,APOA4
NCBIGene:116519,APOA5
NCBIGene:338,APOB
NCBIGene:344,APOC2
NCBIGene:345,APOC3
NCBIGene:348,APOE
NCBIGene:8542,APOL1
NCBIGene:23780,APOL2
NCBIGene:81575,APOLD1
NCBIGene:351,APP
NCBIGene:26060,APPL1
NCBIGene:353,APRT
NCBIGene:54840,APTX
NCBIGene:359,AQP2
NCBIGene:361,AQP4
NCBIGene:362,AQP5
NCBIGene:367,AR
NCBIGene:372,ARCN1
NCBIGene:375,ARF1
NCBIGene:10565,ARFGEF1
NCBIGene:10564,ARFGEF2
NCBIGene:383,ARG1
NCBIGene:84986,ARHGAP19
NCBIGene:83478,ARHGAP24
NCBIGene:23092,ARHGAP26
NCBIGene:9411,ARHGAP29
NCBIGene:57514,ARHGAP31
NCBIGene:396,ARHGDIA
NCBIGene:9138,ARHGEF1
NCBIGene:9639,ARHGEF10
NCBIGene:22899,ARHGEF15
NCBIGene:23370,ARHGEF18
NCBIGene:9181,ARHGEF2
NCBIGene:54848,ARHGEF38
NCBIGene:23229,ARHGEF9
NCBIGene:8289,ARID1A
NCBIGene:57492,ARID1B
NCBIGene:196528,ARID2
NCBIGene:200894,ARL13B
NCBIGene:402,ARL2
NCBIGene:23568,ARL2BP
NCBIGene:403,ARL3
NCBIGene:84100,ARL6
NCBIGene:23204,ARL6IP1
NCBIGene:151188,ARL6IP6
NCBIGene:221481,ARMC12
NCBIGene:84071,ARMC2
NCBIGene:79798,ARMC5
NCBIGene:80210,ARMC9
NCBIGene:9915,ARNT2
NCBIGene:10095,ARPC1B
NCBIGene:10093,ARPC4
NCBIGene:10092,ARPC5
NCBIGene:407,ARR3
NCBIGene:410,ARSA
NCBIGene:411,ARSB
NCBIGene:22901,ARSG
NCBIGene:340075,ARSI
NCBIGene:153642,ARSK
NCBIGene:415,ARSL
NCBIGene:64801,ARV1
NCBIGene:421,ARVCF
NCBIGene:170302,ARX
NCBIGene:427,ASAH1
NCBIGene:136371,ASB10
NCBIGene:51008,ASCC1
NCBIGene:10973,ASCC3
NCBIGene:429,ASCL1
NCBIGene:55870,ASH1L
NCBIGene:435,ASL
NCBIGene:440,ASNS
NCBIGene:443,ASPA
NCBIGene:444,ASPH
NCBIGene:259266,ASPM
NCBIGene:54829,ASPN
NCBIGene:151516,ASPRV1
NCBIGene:79058,ASPSCR1
NCBIGene:445,ASS1
NCBIGene:431705,ASTL
NCBIGene:171023,ASXL1
NCBIGene:55252,ASXL2
NCBIGene:80816,ASXL3
NCBIGene:84896,ATAD1
NCBIGene:55210,ATAD3A
NCBIGene:85300,ATCAY
NCBIGene:22926,ATF6
NCBIGene:84971,ATG4D
NCBIGene:9474,ATG5
NCBIGene:10533,ATG7
NCBIGene:471,ATIC
NCBIGene:51062,ATL1
NCBIGene:25923,ATL3
NCBIGene:472,ATM
NCBIGene:1822,ATN1
NCBIGene:474,ATOH1
NCBIGene:220202,ATOH7
NCBIGene:57194,ATP10A
NCBIGene:23250,ATP11A
NCBIGene:286410,ATP11C
NCBIGene:23400,ATP13A2
NCBIGene:476,ATP1A1
NCBIGene:477,ATP1A2
NCBIGene:478,ATP1A3
NCBIGene:481,ATP1B1
NCBIGene:487,ATP2A1
NCBIGene:488,ATP2A2
NCBIGene:490,ATP2B1
NCBIGene:491,ATP2B2
NCBIGene:492,ATP2B3
NCBIGene:27032,ATP2C1
NCBIGene:498,ATP5F1A
NCBIGene:506,ATP5F1B
NCBIGene:513,ATP5F1D
NCBIGene:514,ATP5F1E
NCBIGene:518,ATP5MC3
NCBIGene:84833,ATP5MK
NCBIGene:539,ATP5PO
NCBIGene:537,ATP6AP1
NCBIGene:10159,ATP6AP2
NCBIGene:535,ATP6V0A1
NCBIGene:23545,ATP6V0A2
NCBIGene:50617,ATP6V0A4
NCBIGene:527,ATP6V0C
NCBIGene:523,ATP6V1A
NCBIGene:525,ATP6V1B1
NCBIGene:526,ATP6V1B2
NCBIGene:529,ATP6V1E1
NCBIGene:538,ATP7A
NCBIGene:540,ATP7B
NCBIGene:51761,ATP8A2
NCBIGene:5205,ATP8B1
NCBIGene:10079,ATP9A
NCBIGene:91647,ATPAF2
NCBIGene:545,ATR
