gene_symbol,mim_number,entry_type
BMP5,112265.0,gene
BMP6,112266.0,gene
BMP7,112267.0,gene
BDKRB2,113503.0,gene
BDNF,113505.0,gene
YWHAH,113508.0,gene
BCAT1,113520.0,gene
BCAT2,113530.0,gene
RPL13,113703.0,gene
BRCA1,113705.0,gene
TFF1,113710.0,gene
POU4F2,113725.0,gene
UCP1,113730.0,gene
DST,113810.0,gene
COL17A1,113811.0,gene
C5AR1,113995.0,gene
CAD,114010.0,gene
CDH15,114019.0,gene
CDH2,114020.0,gene
CDH3,114021.0,gene
CTNNA2,114025.0,gene
CALB1,114050.0,gene
CALB2,114051.0,gene
ANXA6,114070.0,gene
CAMK2A,114078.0,gene
CAMK4,114080.0,gene
S100A10,114085.0,gene
CAST,114090.0,gene
PPP3CA,114105.0,gene
PPP3CB,114106.0,gene
PPP3CC,114107.0,gene
S100A6,114110.0,gene
CALCA,114130.0,gene
CALCR,114131.0,gene
CALCB,114160.0,gene
CAPNS1,114170.0,gene
CALM1,114180.0,gene
CALM2,114182.0,gene
CALM3,114183.0,gene
CALML3,114184.0,gene
CALCRL,114190.0,gene
CACNA2D1,114204.0,gene
CACNA1C,114205.0,gene
CACNA1D,114206.0,gene
CACNB1,114207.0,gene
CACNA1S,114208.0,gene
CACNG1,114209.0,gene
S100A4,114210.0,gene
CAPS,114212.0,gene
CALD1,114213.0,gene
CANX,114217.0,gene
CAPN1,114220.0,gene
CAPN2,114230.0,gene
CAPN3,114240.0,gene
CASQ1,114250.0,gene
CASQ2,114251.0,gene
CD52,114280.0,gene
NUP214,114350.0,gene
CNR1,114610.0,gene
CA3,114750.0,gene
CA4,114760.0,gene
CA5A,114761.0,gene
CA7,114770.0,gene
CA6,114780.0,gene
CA1,114800.0,gene
CA8,114815.0,gene
CBR1,114830.0,gene
CES1,114835.0,gene
CEL,114840.0,gene
CPA1,114850.0,gene
CPA3,114851.0,gene
CPB1,114852.0,gene
CPE,114855.0,gene
CPM,114860.0,gene
CEACAM5,114890.0,gene
HAPLN1,115435.0,gene
MATN1,115437.0,gene
CSNK2A1,115440.0,gene
CSNK2B,115441.0,gene
CSNK2A2,115442.0,gene
CSN1S1,115450.0,gene
CSN2,115460.0,gene
CAT,115500.0,gene
TYRP1,115501.0,gene
COMT,116790.0,gene/phenotype
CTNNA1,116805.0,gene
CTNNB1,116806.0,gene
CTSB,116810.0,gene
CTSH,116820.0,gene
CTSG,116830.0,gene
GZMH,116831.0,gene
CTSD,116840.0,gene
CTSS,116845.0,gene
CTSL,116880.0,gene
CTSE,116890.0,gene
CUX1,116896.0,gene
CEBPA,116897.0,gene
CEBPD,116898.0,gene
CDKN1A,116899.0,gene
CKS1B,116900.0,gene
CKS2,116901.0,gene
NCAM1,116930.0,gene
CDK1,116940.0,gene
MCM2,116945.0,gene
CDC27,116946.0,gene
CDC25A,116947.0,gene
CDC34,116948.0,gene
CDC25B,116949.0,gene
CDK11A,116951.0,gene
CDC42,116952.0,gene
CDK2,116953.0,gene
CNBP,116955.0,gene
RBL1,116957.0,gene
MORF4,116960.0,gene
CENPA,117139.0,gene
CENPB,117140.0,gene
CENPC,117141.0,gene
CENPE,117143.0,gene
CDR2,117340.0,gene
CP,117700.0,gene
