gene_symbol,mim_number,entry_type
GDNF,600837.0,gene
FOXN1,600838.0,gene
SLC12A1,600839.0,gene
SLC12A2,600840.0,gene
GCKR,600842.0,gene
P2RX3,600843.0,gene
P2RX2,600844.0,gene
P2RX1,600845.0,gene
P2RX4,600846.0,gene
NCOR2,600848.0,gene
NCOR1,600849.0,gene
NDST1,600853.0,gene
DYRK1A,600855.0,gene
CDKN1C,600856.0,gene
SDHA,600857.0,gene
AIMP2,600859.0,gene
GTF3A,600860.0,gene
RGS2,600861.0,gene
AGFG1,600862.0,gene
CSNK1E,600863.0,gene
CSNK1D,600864.0,gene
RTN1,600865.0,gene
PDCD2,600866.0,gene
SSR2,600867.0,gene
SSR1,600868.0,gene
GRK6,600869.0,gene
GRK5,600870.0,gene
GFI1,600871.0,gene
CTBS,600873.0,gene
GNG5,600874.0,gene
ACYP1,600875.0,gene
STX3,600876.0,gene
KCNJ6,600877.0,gene
NRF1,600879.0,gene
MSH3,600887.0,gene
ARHGEF5,600888.0,gene
CFHR2,600889.0,gene
HADHA,600890.0,gene
SIM2,600892.0,gene
PRLHR,600895.0,gene
UTS2R,600896.0,gene
GJA8,600897.0,gene
SOX11,600898.0,gene
PRKDC,600899.0,gene
SGCB,600900.0,gene
SEPHS1,600902.0,gene
ASTN1,600904.0,gene
LSS,600909.0,gene
INSL4,600910.0,gene
MPPED2,600911.0,gene
TCF19,600912.0,gene
SRSF5,600914.0,gene
NES,600915.0,gene
INPP4A,600916.0,gene
PPP1R3A,600917.0,gene
FGF9,600921.0,gene
MYLK,600922.0,gene
PPOX,600923.0,gene
GFER,600924.0,gene
PTPRJ,600925.0,gene
PTPRE,600926.0,gene
CDKN2D,600927.0,gene
NPRL3,600928.0,gene
CRYBB1,600929.0,gene
SPAM1,600930.0,gene
KCNJ9,600932.0,gene
F2RL1,600933.0,gene
FOLH1,600934.0,gene
KCNJ8,600935.0,gene
HMMR,600936.0,gene
KCNJ11,600937.0,gene
RBBP6,600938.0,gene
IL11RA,600939.0,gene
LIG3,600940.0,gene
BLVRB,600941.0,gene
SERPINH1,600943.0,gene
DHPS,600944.0,gene
UCN,600945.0,gene
GHR,600946.0,gene
HAP1,600947.0,gene
MOBP,600948.0,gene
AANAT,600950.0,gene
TERF1,600951.0,gene
IL18,600953.0,gene
DAP,600954.0,gene
AMHR2,600956.0,gene
AMH,600957.0,gene
MYBPC3,600958.0,gene
COPB1,600959.0,gene
SET,600960.0,gene
SIX5,600963.0,gene
LLGL1,600966.0,gene
E2F5,600967.0,gene
SLC12A3,600968.0,gene
MYO6,600970.0,gene
FAT1,600976.0,gene
LTB,600978.0,gene
LTBR,600979.0,gene
DMP1,600980.0,gene
PGM5,600981.0,gene
MAP3K1,600982.0,gene
NR3C2,600983.0,gene
ATF6B,600984.0,gene
TNXB,600985.0,gene
TRIM46,600986.0,gene
MAN2A2,600988.0,gene
SMAD4,600993.0,gene
EPHB2,600997.0,gene
GNAQ,600998.0,gene
MAZ,600999.0,gene
GSS,601002.0,gene
LEPR,601007.0,gene
TJP1,601009.0,gene
TCF15,601010.0,gene
CACNA1A,601011.0,gene
CACNA1B,601012.0,gene
CACNA1E,601013.0,gene
DLG1,601014.0,gene
NPC2,601015.0,gene
SNTA1,601017.0,gene
SLC6A9,601019.0,gene
CD86,601020.0,gene
NUP98,601021.0,gene
NFKBIL1,601022.0,gene
VCP,601023.0,gene
AP2M1,601024.0,gene
AP2B1,601025.0,gene
AP2A1,601026.0,gene
CD47,601028.0,gene
MEST,601029.0,gene
RNASE4,601030.0,gene
RHPN1,601031.0,gene
PKN1,601032.0,gene
LAMA5,601033.0,gene
HNRNPH1,601035.0,gene
HNRNPF,601037.0,gene
DIO3,601038.0,gene
SCARB1,601040.0,gene
TLE2,601041.0,gene
CTNND1,601045.0,gene
MMP12,601046.0,gene
CAV1,601047.0,gene
CAV2,601048.0,gene
MSLN,601051.0,gene
PIN1,601052.0,gene
PLXNB1,601053.0,gene
PLXNA2,601054.0,gene
PLXNA1,601055.0,gene
BCL2A1,601056.0,gene
PDCD6,601057.0,gene
H3-3B,601058.0,gene
ENPP2,601060.0,gene
SNRPD2,601061.0,gene
SNRPD3,601062.0,gene
SNRPD1,601063.0,gene
ZFP36L1,601064.0,gene
AARS1,601065.0,gene
OXA1L,601066.0,gene
ZNF239,601069.0,gene
IL15RA,601070.0,gene
CELF1,601074.0,gene
KRT31,601077.0,gene
KRT82,601078.0,gene
ZRSR2P1,601079.0,predominantly phenotypes
U2AF1L4,601080.0,gene
ABCD2,601081.0,gene
UBE2H,601082.0,gene
FOXF1,601089.0,gene
FOXC1,601090.0,gene
FOXD1,601091.0,gene
FOXD4,601092.0,gene
FOXI1,601093.0,gene
FOXE3,601094.0,gene
PMP22,601097.0,gene
SLA,601099.0,gene
HSPA13,601100.0,gene
EIF4A2,601102.0,gene
MFAP5,601103.0,gene
CTSK,601105.0,gene
ABCC2,601107.0,gene
HTR6,601109.0,gene
TXNRD1,601112.0,gene
HSPA4,601113.0,gene
MPP3,601114.0,gene
GRM3,601115.0,gene
GRM8,601116.0,gene
THOP1,601117.0,gene
CAMLG,601118.0,gene
CLPP,601119.0,gene
CDH5,601120.0,gene
PGF,601121.0,gene
HTR2B,601122.0,gene
ST8SIA1,601123.0,gene
SEMA3F,601124.0,gene
HK2,601125.0,gene
TMF1,601126.0,gene
H3-3A,601128.0,gene
CYP2C8,601129.0,gene
CYP2C9,601130.0,gene
CYP2C18,601131.0,gene
KSR1,601132.0,gene
CYP2G1P,601133.0,gene
STT3A,601134.0,gene
GBX2,601135.0,gene
GUCY2EP,601138.0,predominantly phenotypes
ZNF175,601139.0,gene
PPP1R14B,601140.0,gene
KCNAB1,601141.0,gene
KCNAB2,601142.0,gene
DCTN1,601143.0,gene
CSTB,601145.0,gene
GDF5,601146.0,gene
GDF6,601147.0,gene
SMCP,601148.0,gene
IDH3A,601149.0,gene
DDX11,601150.0,gene
DDX12P,601151.0,gene
FHIT,601153.0,gene
ARHGAP45,601155.0,gene
CCL11,601156.0,gene
DEFA4,601157.0,gene
MAPK8,601158.0,gene
CCR1,601159.0,gene
GPR15,601166.0,gene
P2RY1,601167.0,gene
DPYSL3,601168.0,gene
CSPG4,601172.0,gene
ARL2,601175.0,gene
GCLM,601176.0,gene
ARF4,601177.0,gene
CAPRIN1,601178.0,gene
RAN,601179.0,gene
RANBP1,601180.0,gene
RANBP2,601181.0,gene
ORC2,601182.0,gene
CRIP2,601183.0,gene
DNAJC3,601184.0,gene
STC1,601185.0,gene
POLR2L,601189.0,gene
PDE6H,601190.0,gene
ERH,601191.0,gene
PLA2G5,601192.0,gene
CRISP1,601193.0,gene
TLR1,601194.0,gene
PRDM2,601196.0,gene
TUB,601197.0,gene
CASR,601199.0,gene
IL1RL1,601203.0,gene
PTGFRN,601204.0,gene
SIX1,601205.0,gene
POU2AF1,601206.0,gene
DGKQ,601207.0,gene
PCBP1,601209.0,gene
PCBP2,601210.0,gene
ADGRE5,601211.0,gene
PTK2B,601212.0,gene
ABCE1,601213.0,gene
ATR,601215.0,gene
ADARB1,601218.0,gene
DVL1P1,601225.0,gene
MTOR,601231.0,gene
PIK3CG,601232.0,gene
INHBC,601233.0,gene
NACA,601234.0,gene
DDX10,601235.0,gene
DAB2,601236.0,gene
RNF112,601237.0,gene
DTNA,601239.0,gene
GAMT,601240.0,gene
HDAC1,601241.0,gene
MAP1LC3A,601242.0,gene
TOP3A,601243.0,gene
GUCY1A2,601244.0,gene
CHAF1B,601245.0,gene
CHAF1A,601246.0,gene
SOS2,601247.0,gene
BIN1,601248.0,gene
PRPSAP1,601249.0,gene
MSRA,601250.0,gene
FCN1,601252.0,gene
CAV3,601253.0,gene
MAP2K6,601254.0,gene
KIF1A,601255.0,gene
DDX1,601257.0,gene
CYP2J2,601258.0,gene
AMBN,601259.0,gene
ZKSCAN1,601260.0,gene
ZSCAN21,601261.0,gene
ZNF16,601262.0,gene
MAP2K2,601263.0,gene
NODAL,601265.0,gene
DUT,601266.0,gene
CCR2,601267.0,gene
CCR3,601268.0,gene
C1QBP,601269.0,gene
CYP4F3,601270.0,gene
GUCA2B,601271.0,gene
SNX1,601272.0,gene
CLTCL1,601273.0,gene
PTGR1,601274.0,gene
GPM6A,601275.0,gene
ZNF177,601276.0,gene
FRG1,601278.0,gene
DGCR6,601279.0,gene
MAB21L1,601280.0,gene
SEMA3B,601281.0,gene
PLEC,601282.0,gene
ACVRL1,601284.0,gene
SEM1,601285.0,gene
YWHAZ,601288.0,gene
YWHAB,601289.0,gene
SFN,601290.0,gene
UGT8,601291.0,gene
SULT1A2,601292.0,gene
RHEB,601293.0,gene
SLC10A2,601295.0,gene
MUSK,601296.0,gene
SOX15,601297.0,gene
BMPR1A,601299.0,gene
ACVR1B,601300.0,gene
PPIL1,601301.0,gene
PPP3R1,601302.0,gene
TBCB,601303.0,gene
SNU13,601304.0,gene
HTR5A,601305.0,gene
HCLS1,601306.0,gene
PTCH1,601309.0,gene
CYP4A11,601310.0,gene
SOAT2,601311.0,gene
PKD1,601313.0,gene
HINT1,601314.0,gene
NUCB1,601323.0,gene
HNRNPD,601324.0,gene
CNTN3,601325.0,gene
CLDN11,601326.0,gene
SCN2B,601327.0,gene
SCNN1D,601328.0,gene
LIMK1,601329.0,gene
GUCY2C,601330.0,gene
MKX,601332.0,gene
SUPT6H,601333.0,gene
KLC3,601334.0,gene
MAP2K4,601335.0,gene
MOGS,601336.0,gene
RFX3,601337.0,gene
MIA,601340.0,gene
CSE1L,601342.0,gene
GDF10,601361.0,gene
CDH13,601364.0,gene
DVL1,601365.0,gene
SMAD2,601366.0,gene
DVL3,601368.0,gene
CCR5,601373.0,gene
EFNA4,601380.0,gene
EFNA3,601381.0,gene
AQP6,601383.0,gene
LY6E,601384.0,gene
TUSC3,601385.0,gene
TSG101,601387.0,gene
CCL13,601391.0,gene
CCL14,601392.0,gene
CCL15,601393.0,gene
CCL16,601394.0,gene
CCL3L1,601395.0,gene
WNT8B,601396.0,gene
TBXT,601397.0,gene
VEGFB,601398.0,gene
MLF2,601401.0,gene
MLF1,601402.0,gene
DOCK1,601403.0,gene
GPR68,601404.0,gene
CTRC,601405.0,gene
BCL7A,601406.0,gene
KAT6A,601408.0,gene
KAT5,601409.0,gene
SGCD,601411.0,gene
DIO2,601413.0,gene
MYBL2,601415.0,gene
SLC39A7,601416.0,gene
HSD17B8,601417.0,gene
RRBP1,601418.0,gene
KARS1,601421.0,gene
LUZP1,601422.0,gene
TDG,601423.0,gene
OXCT1,601424.0,gene
TCEA1,601425.0,gene
NR2C2,601426.0,gene
RNU4ATAC,601428.0,gene
RNU6ATAC,601429.0,gene
UPF1,601430.0,gene
TRA-TGC7-1,601431.0,gene
TRR-TCG4-1,601432.0,gene
SKP1,601434.0,gene
SKP1P2,601435.0,gene
SKP2,601436.0,gene
FCGRT,601437.0,gene
ABCC9,601439.0,gene
DGKE,601440.0,gene
DGKZ,601441.0,gene
CFL1,601442.0,gene
CFL2,601443.0,gene
BLOC1S1,601444.0,gene
NDUFB9,601445.0,gene
USP5,601447.0,gene
NPAT,601448.0,gene
MMRN1,601456.0,gene
PNOC,601459.0,gene
SLCO2A1,601460.0,gene
ATOH1,601461.0,gene
HAS1,601463.0,gene
AFF3,601464.0,gene
DGUOK,601465.0,gene
MAD2L1,601467.0,gene
MAT2A,601468.0,gene
PTH2R,601469.0,gene
CX3CR1,601470.0,gene
ZNF75A,601473.0,gene
PWP2,601475.0,gene
LAPTM5,601476.0,gene
MYO1A,601478.0,gene
MYO1E,601479.0,gene
MYO1F,601480.0,gene
MYO10,601481.0,gene
DR1,601482.0,gene
PEG3,601483.0,gene
SELENOP,601484.0,gene
STX1B,601485.0,gene
DAZL,601486.0,gene
PPARG,601487.0,gene
NCF4,601488.0,gene
IGFALS,601489.0,gene
NFE2,601490.0,gene
IPW,601491.0,gene
GFRA1,601496.0,gene
BAG1,601497.0,gene
PEX6,601498.0,gene
SMO,601500.0,gene
VPS35,601501.0,gene
FCGR1B,601502.0,gene
FCGR1CP,601503.0,gene
SEC14L1,601504.0,gene
ZNF146,601505.0,gene
SEPTIN2,601506.0,gene
AP3S1,601507.0,gene
GGH,601509.0,gene
SCAP,601510.0,gene
STAT5A,601511.0,gene
STAT6,601512.0,gene
FGF12,601513.0,gene
FGF11,601514.0,gene
FGF14,601515.0,gene
SF1,601516.0,gene
ATXN2,601517.0,gene
ATP5ME,601519.0,gene
CCL17,601520.0,gene
ESM1,601521.0,gene
GRB7,601522.0,gene
GRB10,601523.0,gene
GRB14,601524.0,gene
CHI3L1,601525.0,gene
CHI3L2,601526.0,gene
ALX1,601527.0,gene
VEGFC,601528.0,gene
NR2C1,601529.0,gene
SQSTM1,601530.0,gene
LTB4R,601531.0,gene
CASP6,601532.0,gene
ADAM2,601533.0,gene
KCNJ3,601534.0,gene
EFNA5,601535.0,gene
PROP1,601538.0,gene
BRD2,601540.0,gene
BRD3,601541.0,gene
PITX2,601542.0,gene
PAFAH1B1,601545.0,gene
PROX1,601546.0,gene
EFEMP1,601548.0,gene
DYNLT1,601554.0,gene
RND2,601555.0,gene
ATXN1,601556.0,gene
ACACB,601557.0,gene
RBPMS,601558.0,gene
DYNLL1,601562.0,gene
PRSS2,601564.0,gene
IRF8,601565.0,gene
ING1,601566.0,gene
LMAN1,601567.0,gene
ADD3,601568.0,gene
UBE2G1,601569.0,gene
WNT7A,601570.0,gene
CAPZA2,601571.0,gene
CAPZB,601572.0,gene
EZH2,601573.0,gene
TAF15,601574.0,gene
FOSL2,601575.0,gene
PTPRS,601576.0,gene
PTPRCAP,601577.0,gene
CCNG1,601578.0,gene
OAZ1,601579.0,gene
CAPZA1,601580.0,gene
NRCAM,601581.0,gene
INPP5D,601582.0,gene
PTP4A2,601584.0,gene
PTP4A1,601585.0,gene
PTGER4,601586.0,gene
RASA2,601589.0,gene
EVPL,601590.0,gene
PRKG2,601591.0,gene
RAPSN,601592.0,gene
BARD1,601593.0,gene
JARID2,601594.0,gene
SMAD1,601595.0,gene
BTG2,601597.0,gene
PTPRD,601598.0,gene
SSPN,601599.0,gene
ETV5,601600.0,gene
TFAP2B,601601.0,gene
TFAP2C,601602.0,gene
LCP2,601603.0,gene
IL12RB1,601604.0,gene
SMARCB1,601607.0,gene
HADH,601609.0,gene
BTN1A1,601610.0,gene
SLC14A2,601611.0,gene
CXCR5,601613.0,gene
NTN1,601614.0,gene
ABCA3,601615.0,gene
RDH5,601617.0,gene
SOX18,601618.0,gene
RALGDS,601619.0,gene
TBX5,601620.0,gene
TBX3,601621.0,gene
TWIST1,601622.0,gene
UBE3A,601623.0,gene
FCN2,601624.0,gene
ART1,601625.0,gene
SMN2,601627.0,gene
PCP4,601629.0,gene
POU4F1,601632.0,gene
NSF,601633.0,gene
HAS2,601636.0,gene
CYP51A1,601637.0,gene
ARFIP2,601638.0,gene
PRKACA,601639.0,gene
ACOX2,601641.0,gene
IL12RB2,601642.0,gene
PPP2R5A,601643.0,gene
PPP2R5B,601644.0,gene
PPP2R5C,601645.0,gene
PPP2R5D,601646.0,gene
PPP2R5E,601647.0,gene
PSMD4,601648.0,gene
NAP1L4,601651.0,gene
MYOC,601652.0,gene
EYA1,601653.0,gene
EYA2,601654.0,gene
EYA3,601655.0,gene
GATA6,601656.0,gene
EPYC,601657.0,gene
OC90,601658.0,gene
GATD3A,601659.0,gene
UBE2I,601661.0,gene
ALCAM,601662.0,gene
ESR2,601663.0,gene
SNRNP200,601664.0,gene
ANGPT1,601667.0,gene
DPF1,601670.0,gene
DPF2,601671.0,gene
DPF3,601672.0,gene
ELAVL2,601673.0,gene
EZH1,601674.0,gene
NDUFA5,601677.0,gene
GTF2I,601679.0,gene
PSMC5,601681.0,gene
COQ7,601683.0,gene
RPS6KA1,601684.0,gene
RPS6KA2,601685.0,gene
TEP1,601686.0,gene
KRT12,601687.0,gene
HPGD,601688.0,gene
TAF4B,601689.0,gene
PLA2G7,601690.0,gene
ABCA4,601691.0,gene
TGFBI,601692.0,gene
UCP2,601693.0,gene
CSN3,601695.0,gene
SERPINB8,601697.0,gene
PTPRN2,601698.0,gene
PTGIS,601699.0,gene
ROCK1,601702.0,gene
VASP,601703.0,gene
CXCL9,601704.0,gene
EIF5,601710.0,gene
TRAF1,601711.0,gene
BIRC2,601712.0,gene
GMFB,601713.0,gene
TEAD4,601714.0,gene
STAU1,601716.0,gene
STXBP2,601717.0,gene
TBX4,601719.0,gene
KIN,601720.0,gene
BIRC3,601721.0,gene
FZD5,601723.0,gene
NEUROD1,601724.0,gene
NEUROD2,601725.0,gene
NEUROG1,601726.0,gene
PTEN,601728.0,gene
TEAD2,601729.0,gene
PIGC,601730.0,gene
ATIC,601731.0,gene
SMARCC1,601732.0,gene
MGST2,601733.0,gene
SMARCC2,601734.0,gene
SMARCD1,601735.0,gene
SMARCD2,601736.0,gene
SMARCD3,601737.0,gene
EXTL1,601738.0,gene
MEIS1,601739.0,gene
MEIS2,601740.0,gene
CUL5,601741.0,gene
TRIM28,601742.0,gene
OSMR,601743.0,gene
KCNK1,601745.0,gene
HYOU1,601746.0,gene
TRIM23,601747.0,gene
GTF2H2,601748.0,gene
GLMN,601749.0,gene
GTF2H3,601750.0,gene
MCHR1,601751.0,gene
ENTPD1,601752.0,gene
PPID,601753.0,gene
UFD1,601754.0,gene
ESS2,601755.0,gene
GALNT3,601756.0,gene
PEX7,601757.0,gene
PEX12,601758.0,gene
GTF2H4,601760.0,gene
CASP7,601761.0,gene
CASP10,601762.0,gene
CASP8,601763.0,gene
FZD9,601766.0,gene
HIP1,601767.0,gene
SH3GL1,601768.0,gene
VDR,601769.0,gene
NPY6R,601770.0,gene
CYP1B1,601771.0,gene
H2AX,601772.0,gene
PTPRN,601773.0,gene
MGAT5,601774.0,gene
POLRMT,601778.0,gene
TESK1,601782.0,gene
MAP6,601783.0,gene
ASIC2,601784.0,gene
PMM2,601785.0,gene
PMM1,601786.0,gene
TAF5,601787.0,gene
MSTN,601788.0,gene
PEX13,601789.0,gene
NPY4R,601790.0,gene
PEX14,601791.0,gene
PPP1R2,601792.0,gene
MAPK3,601795.0,gene
TAF4,601796.0,gene
CRYBG1,601797.0,gene
GNPDA1,601798.0,gene
SERPINB9,601799.0,gene
SP2,601801.0,gene
HESX1,601802.0,gene
SP3,601804.0,gene
GPER1,601805.0,gene
MCM6,601806.0,gene
MMP19,601807.0,gene
DNA2,601810.0,gene
FXYD2,601814.0,gene
NME3,601817.0,gene
NME4,601818.0,gene
BPTF,601819.0,gene
RNY1,601821.0,gene
RNY3,601822.0,gene
RNY4,601823.0,gene
RNY5,601824.0,gene
NDUFS7,601825.0,gene
DGKD,601826.0,gene
NR4A2,601828.0,gene
H2BC21,601831.0,gene
RPL29,601832.0,gene
AIF1,601833.0,gene
CCR8,601834.0,gene
CCR6,601835.0,gene
KIFAP3,601836.0,gene
LIG4,601837.0,gene
ITPK1,601838.0,gene
EPHB3,601839.0,gene
SERPINA5,601841.0,gene
SLC5A5,601843.0,gene
WNK4,601844.0,gene
GSC2,601845.0,gene
TOMM20,601848.0,gene
CLOCK,601851.0,gene
ICAM5,601852.0,gene
DGKG,601854.0,gene
ARHGEF1,601855.0,gene
ZNF211,601856.0,gene
CLGN,601858.0,gene
HSD17B4,601860.0,gene
RFXAP,601861.0,gene
RFX5,601863.0,gene
PLOD2,601865.0,gene
SEMA4D,601866.0,gene
ATP1B3,601867.0,gene
METAP2,601870.0,gene
CSRP2,601871.0,gene
SLC7A2,601872.0,gene
B4GALNT1,601873.0,gene
ELL2,601874.0,gene
LEFTY2,601877.0,gene
KLF10,601878.0,gene
LGALS9,601879.0,gene
CX3CL1,601880.0,gene
RAX,601881.0,gene
DFFA,601882.0,gene
DFFB,601883.0,gene
ASCL2,601886.0,gene
NBEAP1,601889.0,gene
PTK7,601890.0,gene
CST6,601891.0,gene
KPNA3,601892.0,gene
TRIO,601893.0,gene
TRAF2,601895.0,gene
TRAF3,601896.0,gene
ZNF148,601897.0,gene
GHSR,601898.0,gene
STAM,601899.0,gene
IRF4,601900.0,gene
SLC8A2,601901.0,gene
ORC1,601902.0,gene
UGT2B17,601903.0,gene
RABGGTA,601905.0,gene
WNT10B,601906.0,gene
NEO1,601907.0,gene
GPR20,601908.0,gene
GPR21,601909.0,gene
GPR22,601910.0,gene
DLX4,601911.0,gene
SUMO1,601912.0,gene
GET3,601913.0,gene
PRELP,601914.0,gene
TIMP4,601915.0,gene
MANF,601916.0,gene
ALDH3B2,601917.0,gene
GDF9,601918.0,gene
F2RL2,601919.0,gene
JAG1,601920.0,gene
ANGPT2,601922.0,gene
COPA,601924.0,gene
ARHGDIA,601925.0,gene
THRSP,601926.0,gene
KRT86,601928.0,gene
ATP2A3,601929.0,gene
BNC1,601930.0,gene
BCL2L2,601931.0,gene
MUC8,601932.0,gene
CRY1,601933.0,gene
GPS1,601934.0,gene
GPS2,601935.0,gene
PAWR,601936.0,gene
NCOA3,601937.0,gene
SRPK1,601939.0,gene
SRSF4,601940.0,gene
SRSF9,601943.0,gene
SRSF6,601944.0,gene
SFSWAP,601945.0,gene
SOX12,601947.0,gene
CACNB4,601949.0,gene
ZFPM1,601950.0,gene
CLK1,601951.0,gene
CCNH,601953.0,gene
CDK7,601955.0,gene
GFRA2,601956.0,gene
CACNB3,601958.0,gene
NEK4,601959.0,gene
CCL20,601960.0,gene
PRMT2,601961.0,gene
TAPBP,601962.0,gene
TTC1,601963.0,gene
DNAJC7,601964.0,gene
S1PR3,601965.0,gene
RSC1A1,601966.0,gene
WNT7B,601967.0,gene
WNT2B,601968.0,gene
DMBT1,601969.0,gene
VIPR2,601970.0,gene
RORB,601972.0,gene
RARRES2,601973.0,gene
S1PR1,601974.0,gene
PKP1,601975.0,gene
SIGMAR1,601978.0,gene
LIPF,601980.0,gene
RNASE6,601981.0,gene
OGG1,601982.0,gene
MAP4K1,601983.0,gene
NCOA4,601984.0,gene
CCDC6,601985.0,gene
CPT1B,601987.0,gene
LIMK2,601988.0,gene
S100A13,601989.0,gene
TP73,601990.0,gene
NOVA2,601991.0,gene
NCOA2,601993.0,gene
TNR,601995.0,gene
BID,601997.0,gene
ESRRA,601998.0,gene
LHX1,601999.0,gene
POLR1B,602000.0,gene
NPY5R,602001.0,gene
ZYX,602002.0,gene
IRAG2,602003.0,gene
PTK6,602004.0,gene
SORL1,602005.0,gene
MAPKAPK2,602006.0,gene
CRKL,602007.0,gene
IPO5,602008.0,gene
COX6A2,602009.0,gene
SRSF11,602010.0,gene
ENTPD2,602012.0,gene
POLR2G,602013.0,gene
ODF2,602015.0,gene
KLF2,602016.0,gene
PSMB1,602017.0,gene
NRTN,602018.0,gene
SQLE,602019.0,gene
MAFG,602020.0,gene
PPP1R12A,602021.0,gene
MALL,602022.0,gene
CLCNKB,602023.0,gene
CLCNKA,602024.0,gene
PHYH,602026.0,gene
TERF2,602027.0,gene
FUT7,602030.0,gene
PGGT1B,602031.0,gene
EML1,602033.0,gene
CRHR2,602034.0,gene
PPP4C,602035.0,gene
RHOH,602037.0,gene
DUSP8,602038.0,gene
EIF3A,602039.0,gene
NCAM2,602040.0,gene
NKX3-1,602041.0,gene
GPR18,602042.0,gene
GPR31,602043.0,gene
UCP3,602044.0,gene
RING1,602045.0,gene
PDIA3,602046.0,gene
PDE3B,602047.0,gene
RAC1,602048.0,gene
RAC2,602049.0,gene
RAC3,602050.0,gene
PIN1P1,602051.0,gene
GAK,602052.0,gene
KLF6,602053.0,gene
TBX1,602054.0,gene
INSIG1,602055.0,gene
DEFB1,602056.0,gene
SERPINB10,602058.0,gene
ISLR,602059.0,gene
TMPRSS2,602060.0,gene
EREG,602061.0,gene
NINJ1,602062.0,gene
TALDO1,602063.0,gene
IMPA1,602064.0,gene
ADARB2,602065.0,gene
NRP1,602069.0,gene
NRP2,602070.0,gene
COX6A1,602072.0,gene
DAP3,602074.0,gene
SATB1,602075.0,gene
TRPV1,602076.0,gene
LTBP3,602090.0,gene
LTBP2,602091.0,gene
SLC30A4,602095.0,gene
PLK1,602098.0,gene
PKNOX1,602100.0,gene
CLDN5,602101.0,gene
SUPT5H,602102.0,gene
TRAPPC10,602103.0,gene
SH3BP2,602104.0,gene
MSH4,602105.0,gene
KCNJ15,602106.0,gene
MATN2,602108.0,gene
MATN3,602109.0,gene
SLC29A2,602110.0,gene
MPPED1,602112.0,gene
KMT2D,602113.0,gene
FGF10,602115.0,gene
YEATS4,602116.0,gene
NDN,602117.0,gene
CHD1,602118.0,gene
CHD2,602119.0,gene
CHD3,602120.0,gene
DIAPH1,602121.0,gene
SRP72,602122.0,gene
CAMK2G,602123.0,gene
COX10,602125.0,gene
ZBTB14,602126.0,gene
SMTN,602127.0,gene
GAS2L1,602128.0,gene
MYO9B,602129.0,gene
MAPKAPK3,602130.0,gene
PHLDA2,602131.0,gene
MIA2,602132.0,gene
PFAS,602133.0,gene
DNALI1,602135.0,gene
PEX1,602136.0,gene
NDUFA2,602137.0,gene
NDUFA6,602138.0,gene
NDUFA7,602139.0,gene
NDUFB8,602140.0,gene
NDUFS8,602141.0,gene
PLCD1,602142.0,gene
TP53BP2,602143.0,gene
BRDT,602144.0,gene
PA2G4,602145.0,gene
LHX4,602146.0,gene
SOX1,602148.0,gene
PITX1,602149.0,gene
SNAI2,602150.0,gene
DVL2,602151.0,gene
KRT81,602153.0,gene
UBXN8,602155.0,gene
NOVA1,602157.0,gene
CLNS1A,602158.0,gene
CORO2A,602159.0,gene
TFDP2,602160.0,gene
PSME2,602161.0,gene
SYCP1,602162.0,gene
UBE2E2,602163.0,gene
HTR4,602164.0,gene
TRIM27,602165.0,gene
AP3B2,602166.0,gene
ESRRB,602167.0,gene
VRK1,602168.0,gene
VRK2,602169.0,gene
MYD88,602170.0,gene
GPA33,602171.0,gene
CYP8B1,602172.0,gene
SEC62,602173.0,gene
GPR25,602174.0,gene
PSMB2,602175.0,gene
PSMB3,602176.0,gene
PSMB4,602177.0,gene
CHAD,602178.0,gene
HSPB2,602179.0,gene
SIPA1,602180.0,gene
SND1,602181.0,gene
ENPP3,602182.0,gene
NKX3-2,602183.0,gene
NDUFV3,602184.0,gene
VGF,602186.0,gene
ZNF195,602187.0,gene
EPHA4,602188.0,gene
RGS3,602189.0,gene
EPHA7,602190.0,gene
ELF3,602191.0,gene
ADAM10,602192.0,gene
SLC29A1,602193.0,gene
HTRA1,602194.0,gene
HSPB1,602195.0,gene
CDK2AP1,602198.0,gene
ECM1,602201.0,gene
DDOST,602202.0,gene
SLN,602203.0,gene
BICD1,602204.0,gene
RAB17,602206.0,gene
RAB18,602207.0,gene
KCNJ10,602208.0,gene
RREB1,602209.0,gene
EIF3E,602210.0,gene
FOXD2,602211.0,gene
SIAH1,602212.0,gene
SIAH2,602213.0,gene
CSNK1G2,602214.0,gene
DEFB4A,602215.0,gene
STK11,602216.0,gene
SDCBP,602217.0,gene
SALL1,602218.0,gene
SALL2,602219.0,gene
RASL10A,602220.0,gene
ZMYM2,602221.0,gene
EIF4EBP1,602223.0,gene
EIF4EBP2,602224.0,gene
CRX,602225.0,gene
CD180,602226.0,gene
CCL19,602227.0,gene
TCF7L2,602228.0,gene
SOX10,602229.0,gene
SH3BGR,602230.0,gene
SUMO3,602231.0,gene
KCNQ3,602232.0,gene
APAF1,602233.0,gene
CASP9,602234.0,gene
KCNQ2,602235.0,gene
EXOSC2,602238.0,gene
CYP26A1,602239.0,gene
ZKSCAN8,602240.0,gene
MIPEP,602241.0,gene
AP2S1,602242.0,gene
CD151,602243.0,gene
DNASE1L3,602244.0,gene
GTPBP1,602245.0,gene
ZSCAN9,602246.0,gene
TNFRSF9,602250.0,gene
TIMM10,602251.0,gene
KLF4,602253.0,gene
