Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
DUOX2,Thyroid dyshormonogenesis,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16134168, 15863666, 21565790, 19789206, 24423310",THYR,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
DUOXA2,Thyroid dyshormonogenesis,Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"21367925, 18042646, 23292166, 21367925, 26709262, 25675383, 26758695",THYR,Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14166666666666666
DYSF,"Muscular dystrophy, limb-girdle, type 2B",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"8012357, 16087766, 19084402",HYPOTO,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
DYSF,Miyoshi muscular dystrophy 1,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"8808603, 3942856, 16010686, 12796534, 15116377, 9731526, 23519732",HYPOTO,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
ECE1,Hirschsprung disease,Limited,AD,UNKNOWN,Yes,C,0,Limited evidence for gene's role in disease,,9915973,BOW,Sept 2016 - Oct 2016,1.0,0.5,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664
EDA,"Ectodermal dysplasia, hypohidrotic",Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"9683615, 18510547, 8696334, 21357618, 18231121",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
EDAR,"Ectodermal dysplasia, hypohidrotic",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16329325, 18231121, 16435307, 20979233",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
EDARADD,"Ectodermal dysplasia, hypohidrotic",Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"17354266, 11780064, 20477971, 20222921, 20979233, 26991760, 24666190",DERM,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75
EDN3,Hirschsprung disease,Moderate,AD,MODERATE (B),Yes,C,0,Moderate evidence for gene's role in disease,Y,"20009762, 9587491, 14633923, 17009072, ","HL, PULM, BOW, DERM",Sept 2016 - Oct 2016,2.0,0.4,1.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.06666666666666667
EDN3,Waardenburg syndrome,Moderate,AD,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"20127975, 8630502, 8630503, 19764030, 22876130","HL, PULM, BOW, DERM",Sept 2016 - Oct 2016,2.0,0.85,1.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.14166666666666666
