source_node,target_node,source,edge_type,confidence
AARS1,HP:0032794,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000407,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000494,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0012444,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0012447,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001765,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000448,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000411,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001761,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001838,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000508,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000504,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0012547,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000546,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0010851,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0002415,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0007291,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001274,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001254,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001250,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001252,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001263,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0003819,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0000098,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001347,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0000007,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0001321,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0025430,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0011968,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0003623,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0000278,HPO_JAX,gene_phenotype,0.85
ABAT,HP:0000494,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002460,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001114,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0007328,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001265,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001349,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000007,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000006,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002621,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001433,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002730,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002027,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0100546,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003396,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003477,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002155,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002164,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0002240,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0008404,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003693,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0010829,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0007133,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0004943,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0031800,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000622,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001903,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0031799,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000656,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003119,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003146,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0003233,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0030814,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000991,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000958,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0005145,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0007759,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0011096,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0005181,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001681,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001677,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0025608,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001658,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0007957,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001712,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001744,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0000505,HPO_JAX,gene_phenotype,0.85
ABCA1,HP:0001873,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0001256,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0001250,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0001249,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0001260,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0001324,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0000007,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0002066,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0002286,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0002311,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0011342,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0031936,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0000718,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0003141,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0000252,HPO_JAX,gene_phenotype,0.85
ABCA2,HP:0000519,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0025175,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0025179,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0033584,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0033542,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0100806,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0001217,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0033649,HPO_JAX,gene_phenotype,0.85
ABCA3,HP:0003811,HPO_JAX,gene_phenotype,0.85
