orpha_code,disease_name,disorder_type,gene_symbol,gene_name,gene_locus,association_type,omim_gene,hgnc,ensembl
ORPHA:166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,KIF7,kinesin family member 7,15q26.1,Disease-causing germline mutation(s) in,611254,30497,ENSG00000166813
ORPHA:166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,CWC27,CWC27 spliceosome associated cyclophilin,5q12.3,Disease-causing germline mutation(s) in,617170,10664,ENSG00000153015
ORPHA:93,Aspartylglucosaminuria,Disease,AGA,aspartylglucosaminidase,4q34.3,Disease-causing germline mutation(s) in,613228,318,ENSG00000038002
ORPHA:585,Multiple sulfatase deficiency,Disease,SUMF1,sulfatase modifying factor 1,3p26.1,Disease-causing germline mutation(s) in,607939,20376,ENSG00000144455
ORPHA:118,Beta-mannosidosis,Disease,MANBA,mannosidase beta,4q24,Disease-causing germline mutation(s) in,609489,6831,ENSG00000109323
ORPHA:166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,TSEN54,tRNA splicing endonuclease subunit 54,17q25.1,Disease-causing germline mutation(s) in,608755,27561,ENSG00000182173
ORPHA:166078,Von Willebrand disease type 1,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",6q15,Disease-causing germline mutation(s) in,611524,21406,ENSG00000146282
ORPHA:166084,Von Willebrand disease type 2A,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:333,Farber disease,Disease,ASAH1,N-acylsphingosine amidohydrolase 1,8p22,Disease-causing germline mutation(s) in,613468,735,ENSG00000104763
ORPHA:349,Fucosidosis,Disease,FUCA1,alpha-L-fucosidase 1,1p36.11,Disease-causing germline mutation(s) in,612280,4006,ENSG00000179163
ORPHA:166090,Von Willebrand disease type 2M,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166087,Von Willebrand disease type 2B,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",1p21.2,Disease-causing germline mutation(s) in,610860,321,ENSG00000162688
ORPHA:166093,Von Willebrand disease type 2N,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,PYGM,"glycogen phosphorylase, muscle associated",11q13.1,Disease-causing germline mutation(s) in,608455,9726,ENSG00000068976
ORPHA:166096,Von Willebrand disease type 3,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,COL2A1,collagen type II alpha 1 chain,12q13.11,Candidate gene tested in,120140,2200,ENSG00000139219
ORPHA:166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,COL11A2,collagen type XI alpha 2 chain,6p21.32,Disease-causing germline mutation(s) in,120290,2187,ENSG00000204248
ORPHA:371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,PFKM,"phosphofructokinase, muscle",12q13.11,Disease-causing germline mutation(s) in,610681,8877,ENSG00000152556
ORPHA:166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,FASTKD2,FAST kinase domains 2,2q33.3,Disease-causing germline mutation(s) (loss of function) in,612322,29160,ENSG00000118246
ORPHA:369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,PYGL,glycogen phosphorylase L,14q22.1,Disease-causing germline mutation(s) in,613741,9725,ENSG00000100504
ORPHA:447,Paroxysmal nocturnal hemoglobinuria,Disease,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,Xp22.2,Disease-causing somatic mutation(s) in,311770,8957,ENSG00000165195
ORPHA:166108,Birk-Barel syndrome,Disease,KCNK9,potassium two pore domain channel subfamily K member 9,8q24.3,Disease-causing germline mutation(s) in,605874,6283,ENSG00000169427
ORPHA:166119,Isolated osteopoikilosis,Disease,LEMD3,LEM domain containing 3,12q14.3,Disease-causing germline mutation(s) (loss of function) in,607844,28887,ENSG00000174106
ORPHA:166260,Dentinogenesis imperfecta type 2,Clinical subtype,DSPP,dentin sialophosphoprotein,4q22.1,Disease-causing germline mutation(s) in,125485,3054,ENSG00000152591
ORPHA:166265,Dentinogenesis imperfecta type 3,Clinical subtype,DSPP,dentin sialophosphoprotein,4q22.1,Disease-causing germline mutation(s) in,125485,3054,ENSG00000152591
ORPHA:166272,Odontochondrodysplasia,Malformation syndrome,TRIP11,thyroid hormone receptor interactor 11,14q32.12,Disease-causing germline mutation(s) in,604505,12305,ENSG00000100815
ORPHA:576,Mucolipidosis type II,Disease,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,12q23.2,Disease-causing germline mutation(s) (loss of function) in,607840,29670,ENSG00000111670
ORPHA:812,Sialidosis type 1,Disease,NEU1,neuraminidase 1,6p21.33,Disease-causing germline mutation(s) in,608272,7758,ENSG00000204386
ORPHA:166282,Hereditary sick sinus syndrome,Disease,SCN5A,sodium voltage-gated channel alpha subunit 5,3p22.2,Disease-causing germline mutation(s) in,600163,10593,ENSG00000183873
ORPHA:166282,Hereditary sick sinus syndrome,Disease,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,15q24.1,Disease-causing germline mutation(s) in,605206,16882,ENSG00000138622
ORPHA:166282,Hereditary sick sinus syndrome,Disease,MYH6,myosin heavy chain 6,14q11.2,Major susceptibility factor in,160710,7576,ENSG00000197616
ORPHA:166282,Hereditary sick sinus syndrome,Disease,GNB2,G protein subunit beta 2,7q22.1,Disease-causing germline mutation(s) in,139390,4398,ENSG00000172354
ORPHA:578,Mucolipidosis type IV,Disease,MCOLN1,mucolipin TRP cation channel 1,19p13.2,Disease-causing germline mutation(s) (loss of function) in,605248,13356,ENSG00000090674
ORPHA:166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,GJB2,gap junction protein beta 2,13q12.11,Disease-causing somatic mutation(s) in,121011,4284,ENSG00000165474
ORPHA:461,Recessive X-linked ichthyosis,Disease,FLG,filaggrin,1q21.3,Modifying germline mutation in,135940,3748,ENSG00000143631
ORPHA:461,Recessive X-linked ichthyosis,Disease,STS,steroid sulfatase,Xp22.31,Disease-causing germline mutation(s) in,300747,11425,ENSG00000101846
ORPHA:584,Mucopolysaccharidosis type 7,Disease,GUSB,glucuronidase beta,7q11.21,Disease-causing germline mutation(s) in,611499,4696,ENSG00000169919
ORPHA:166412,Hot water reflex epilepsy,Disease,SLC1A1,solute carrier family 1 member 1,9p24.2,Disease-causing germline mutation(s) in,133550,10939,ENSG00000106688
ORPHA:95,Friedreich ataxia,Disease,FXN,frataxin,9q21.11,Disease-causing germline mutation(s) (loss of function) in,606829,3951,ENSG00000165060
ORPHA:586,Cystic fibrosis,Disease,SERPINA1,serpin family A member 1,14q32.13,Modifying germline mutation in,107400,8941,ENSG00000197249
ORPHA:586,Cystic fibrosis,Disease,SLC26A9,solute carrier family 26 member 9,1q32.1,Modifying germline mutation in,608481,14469,ENSG00000174502
ORPHA:586,Cystic fibrosis,Disease,SLC6A14,solute carrier family 6 member 14,Xq23,Modifying germline mutation in,300444,11047,ENSG00000268104
ORPHA:586,Cystic fibrosis,Disease,SLC9A3,solute carrier family 9 member A3,5p15.33,Modifying germline mutation in,182307,11073,ENSG00000066230
ORPHA:586,Cystic fibrosis,Disease,CEACAM3,CEA cell adhesion molecule 3,19q13.2,Modifying germline mutation in,609142,1815,ENSG00000170956
ORPHA:586,Cystic fibrosis,Disease,CEACAM6,CEA cell adhesion molecule 6,19q13.2,Modifying germline mutation in,163980,1818,ENSG00000086548
ORPHA:586,Cystic fibrosis,Disease,EDNRA,endothelin receptor type A,4q31.22-q31.23,Modifying germline mutation in,131243,3179,ENSG00000151617
ORPHA:586,Cystic fibrosis,Disease,GSTM3,glutathione S-transferase mu 3,1p13.3,Modifying germline mutation in,138390,4635,ENSG00000134202
ORPHA:586,Cystic fibrosis,Disease,HMOX1,heme oxygenase 1,22q12.3,Modifying germline mutation in,141250,5013,ENSG00000100292
ORPHA:586,Cystic fibrosis,Disease,GCLC,glutamate-cysteine ligase catalytic subunit,6p12.1,Modifying germline mutation in,606857,4311,ENSG00000001084
ORPHA:586,Cystic fibrosis,Disease,HFE,homeostatic iron regulator,6p22.2,Modifying germline mutation in,613609,4886,ENSG00000010704
ORPHA:586,Cystic fibrosis,Disease,CFTR,CF transmembrane conductance regulator,7q31.2,Disease-causing germline mutation(s) (loss of function) in,602421,1884,ENSG00000001626
ORPHA:586,Cystic fibrosis,Disease,TGFB1,transforming growth factor beta 1,19q13.2,Modifying germline mutation in,190180,11766,ENSG00000105329
ORPHA:586,Cystic fibrosis,Disease,DCTN4,dynactin subunit 4,5q33.1,Modifying germline mutation in,614758,15518,ENSG00000132912
ORPHA:586,Cystic fibrosis,Disease,CLCA4,chloride channel accessory 4,1p22.3,Modifying germline mutation in,616857,2018,ENSG00000016602
ORPHA:586,Cystic fibrosis,Disease,STX1A,syntaxin 1A,7q11.23,Modifying germline mutation in,186590,11433,ENSG00000106089
ORPHA:586,Cystic fibrosis,Disease,KCNN4,potassium calcium-activated channel subfamily N member 4,19q13.31,Modifying germline mutation in,602754,6293,ENSG00000104783
ORPHA:586,Cystic fibrosis,Disease,MIF,macrophage migration inhibitory factor,22q11.23,Modifying germline mutation in,153620,7097,ENSG00000240972
ORPHA:586,Cystic fibrosis,Disease,SLC11A1,solute carrier family 11 member 1,2q35,Modifying germline mutation in,600266,10907,ENSG00000018280
ORPHA:550,MELAS,Disease,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),mitochondria,Candidate gene tested in,590030,7495,ENSG00000210107
ORPHA:550,MELAS,Disease,MT-CO1,mitochondrially encoded cytochrome c oxidase I,mitochondria,Disease-causing germline mutation(s) in,516030,7419,ENSG00000198804
ORPHA:550,MELAS,Disease,MT-CO2,mitochondrially encoded cytochrome c oxidase II,mitochondria,Disease-causing germline mutation(s) in,516040,7421,ENSG00000198712
ORPHA:550,MELAS,Disease,MT-CO3,mitochondrially encoded cytochrome c oxidase III,mitochondria,Candidate gene tested in,516050,7422,ENSG00000198938
ORPHA:550,MELAS,Disease,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,mitochondria,Disease-causing germline mutation(s) in,516000,7455,ENSG00000198888
ORPHA:550,MELAS,Disease,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,mitochondria,Disease-causing germline mutation(s) in,516003,7459,ENSG00000198886
ORPHA:550,MELAS,Disease,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,mitochondria,Disease-causing germline mutation(s) in,516005,7461,ENSG00000198786
ORPHA:550,MELAS,Disease,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,mitochondria,Disease-causing germline mutation(s) in,516006,7462,ENSG00000198695
ORPHA:550,MELAS,Disease,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria,Disease-causing germline mutation(s) in,590050,7490,ENSG00000209082
ORPHA:550,MELAS,Disease,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),mitochondria,Disease-causing germline mutation(s) in,590095,7501,ENSG00000210117
ORPHA:550,MELAS,Disease,MT-TH,mitochondrially encoded tRNA-His (CAU/C),mitochondria,Candidate gene tested in,590040,7487,ENSG00000210176
ORPHA:550,MELAS,Disease,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,mitochondria,Disease-causing germline mutation(s) in,590080,7497,ENSG00000210151
ORPHA:550,MELAS,Disease,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,mitochondria,Candidate gene tested in,590085,7498,ENSG00000210184
ORPHA:550,MELAS,Disease,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),mitochondria,Disease-causing germline mutation(s) in,590070,7481,ENSG00000210049
ORPHA:269,Facioscapulohumeral dystrophy,Disease,DNMT3B,DNA methyltransferase 3 beta,20q11.21,Modifying germline mutation in,602900,2979,ENSG00000088305
ORPHA:269,Facioscapulohumeral dystrophy,Disease,DUX4,double homeobox 4,4q35.2,Candidate gene tested in,606009,50800,ENSG00000260596
ORPHA:269,Facioscapulohumeral dystrophy,Disease,DUX4L1,double homeobox 4 like 1 (pseudogene),4q35.2,Candidate gene tested in,,3082,ENSG00000280757
ORPHA:269,Facioscapulohumeral dystrophy,Disease,FRG1,FSHD region gene 1,4q35.2,Candidate gene tested in,601278,3954,ENSG00000109536
ORPHA:269,Facioscapulohumeral dystrophy,Disease,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,18p11.32,Disease-causing germline mutation(s) in,614982,29090,ENSG00000101596
ORPHA:269,Facioscapulohumeral dystrophy,Disease,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,18p11.32,Modifying germline mutation in,614982,29090,ENSG00000101596
ORPHA:480,Kearns-Sayre syndrome,Disease,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8,mitochondria,Candidate gene tested in,516070,7415,ENSG00000228253
ORPHA:480,Kearns-Sayre syndrome,Disease,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,8q22.3,Disease-causing germline mutation(s) in,604712,17296,ENSG00000048392
ORPHA:480,Kearns-Sayre syndrome,Disease,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria,Candidate gene tested in,590050,7490,ENSG00000209082
ORPHA:551,MERRF,Disease,MT-TP,mitochondrially encoded tRNA-Pro (CCN),mitochondria,Disease-causing germline mutation(s) in,590075,7494,ENSG00000210196
ORPHA:551,MERRF,Disease,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,mitochondria,Disease-causing germline mutation(s) in,516005,7461,ENSG00000198786
ORPHA:551,MERRF,Disease,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,mitochondria,Disease-causing germline mutation(s) in,590050,7490,ENSG00000209082
ORPHA:551,MERRF,Disease,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),mitochondria,Disease-causing germline mutation(s) in,590060,7489,ENSG00000210156
ORPHA:551,MERRF,Disease,MT-RNR1,mitochondrially encoded 12S rRNA,mitochondria,Candidate gene tested in,561000,7470,ENSG00000211459
ORPHA:551,MERRF,Disease,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),mitochondria,Candidate gene tested in,590030,7495,ENSG00000210107
ORPHA:551,MERRF,Disease,MT-TH,mitochondrially encoded tRNA-His (CAU/C),mitochondria,Disease-causing germline mutation(s) in,590040,7487,ENSG00000210176
ORPHA:551,MERRF,Disease,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,mitochondria,Disease-causing germline mutation(s) in,590080,7497,ENSG00000210151
ORPHA:551,MERRF,Disease,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,mitochondria,Candidate gene tested in,590085,7498,ENSG00000210184
ORPHA:551,MERRF,Disease,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),mitochondria,Disease-causing germline mutation(s) in,590070,7481,ENSG00000210049
ORPHA:597,Central core disease,Disease,RYR1,ryanodine receptor 1,19q13.2,Disease-causing germline mutation(s) in,180901,10483,ENSG00000196218
ORPHA:163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,SOX10,SRY-box transcription factor 10,22q13.1,Disease-causing germline mutation(s) in,602229,11190,ENSG00000100146
ORPHA:684,Paramyotonia congenita of Von Eulenburg,Disease,SCN4A,sodium voltage-gated channel alpha subunit 4,17q23.3,Disease-causing germline mutation(s) in,603967,10591,ENSG00000007314
ORPHA:163931,Acrodermatitis continua of Hallopeau,Disease,IL36RN,interleukin 36 receptor antagonist,2q14.1,Disease-causing germline mutation(s) in,605507,15561,ENSG00000136695
ORPHA:163931,Acrodermatitis continua of Hallopeau,Disease,AP1S3,adaptor related protein complex 1 subunit sigma 3,2q36.1,Disease-causing germline mutation(s) in,615781,18971,ENSG00000152056
ORPHA:163927,Pustulosis palmaris et plantaris,Disease,IL36RN,interleukin 36 receptor antagonist,2q14.1,Disease-causing germline mutation(s) in,605507,15561,ENSG00000136695
ORPHA:163927,Pustulosis palmaris et plantaris,Disease,AP1S3,adaptor related protein complex 1 subunit sigma 3,2q36.1,Disease-causing germline mutation(s) in,615781,18971,ENSG00000152056
ORPHA:163937,"X-linked intellectual disability, Najm type",Disease,CASK,calcium/calmodulin dependent serine protein kinase,Xp11.4,Disease-causing germline mutation(s) in,300172,1497,ENSG00000147044
ORPHA:614,Thomsen and Becker disease,Disease,CLCN1,chloride voltage-gated channel 1,7q34,Disease-causing germline mutation(s) (loss of function) in,118425,2019,ENSG00000188037
ORPHA:163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,HDAC6,histone deacetylase 6,Xp11.23,Disease-causing germline mutation(s) in,300272,14064,ENSG00000094631
ORPHA:163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,POLA1,"DNA polymerase alpha 1, catalytic subunit",Xp22.11-p21.3,Disease-causing germline mutation(s) in,312040,9173,ENSG00000101868
ORPHA:163956,"X-linked intellectual disability, Nascimento type",Disease,UBE2A,ubiquitin conjugating enzyme E2 A,Xq24,Disease-causing germline mutation(s) in,312180,12472,ENSG00000077721
ORPHA:324,Fabry disease,Disease,GLA,galactosidase alpha,Xq22.1,Disease-causing germline mutation(s) in,300644,4296,ENSG00000102393
ORPHA:163985,Hyperekplexia-epilepsy syndrome,Disease,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,Xq11.1,Disease-causing germline mutation(s) (loss of function) in,300429,14561,ENSG00000131089
ORPHA:778,Rett syndrome,Disease,MECP2,methyl-CpG binding protein 2,Xq28,Disease-causing germline mutation(s) in,300005,6990,ENSG00000169057
ORPHA:307,Juvenile myoclonic epilepsy,Disease,CILK1,ciliogenesis associated kinase 1,6p12.1,Major susceptibility factor in,612325,21219,ENSG00000112144
ORPHA:307,Juvenile myoclonic epilepsy,Disease,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,2q23.3,Major susceptibility factor in,601949,1404,ENSG00000182389
ORPHA:307,Juvenile myoclonic epilepsy,Disease,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,5q34,Major susceptibility factor in,137160,4075,ENSG00000022355
ORPHA:307,Juvenile myoclonic epilepsy,Disease,EFHC1,EF-hand domain containing 1,6p12.2,Major susceptibility factor in,608815,16406,ENSG00000096093
ORPHA:307,Juvenile myoclonic epilepsy,Disease,GABRD,gamma-aminobutyric acid type A receptor subunit delta,1p36.33,Major susceptibility factor in,137163,4084,ENSG00000187730
ORPHA:307,Juvenile myoclonic epilepsy,Disease,KCNQ3,potassium voltage-gated channel subfamily Q member 3,8q24.22,Major susceptibility factor in,602232,6297,ENSG00000184156
ORPHA:307,Juvenile myoclonic epilepsy,Disease,JRK,Jrk helix-turn-helix protein,8q24.3,Candidate gene tested in,603210,6199,ENSG00000234616
ORPHA:307,Juvenile myoclonic epilepsy,Disease,CLCN2,chloride voltage-gated channel 2,3q27.1,Major susceptibility factor in,600570,2020,ENSG00000114859
ORPHA:1941,Juvenile absence epilepsy,Disease,EFHC1,EF-hand domain containing 1,6p12.2,Major susceptibility factor in,608815,16406,ENSG00000096093
ORPHA:892,Von Hippel-Lindau disease,Disease,CCND1,cyclin D1,11q13.3,Modifying germline mutation in,168461,1582,ENSG00000110092
ORPHA:892,Von Hippel-Lindau disease,Disease,VHL,von Hippel-Lindau tumor suppressor,3p25.3,Disease-causing germline mutation(s) in,608537,12687,ENSG00000134086
ORPHA:731,Autosomal recessive polycystic kidney disease,Disease,DZIP1L,DAZ interacting zinc finger protein 1 like,3q22.3,Disease-causing germline mutation(s) (loss of function) in,617570,26551,ENSG00000158163
ORPHA:731,Autosomal recessive polycystic kidney disease,Disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,6p12.3-p12.2,Disease-causing germline mutation(s) (loss of function) in,606702,9016,ENSG00000170927
ORPHA:164736,Familial advanced sleep-phase syndrome,Disease,PER3,period circadian regulator 3,1p36.23,Disease-causing germline mutation(s) in,603427,8847,ENSG00000049246
ORPHA:164736,Familial advanced sleep-phase syndrome,Disease,CSNK1D,casein kinase 1 delta,17q25.3,Disease-causing germline mutation(s) in,600864,2452,ENSG00000141551
ORPHA:164736,Familial advanced sleep-phase syndrome,Disease,PER2,period circadian regulator 2,2q37.3,Disease-causing germline mutation(s) in,603426,8846,ENSG00000132326
ORPHA:138,CHARGE syndrome,Malformation syndrome,SEMA3E,semaphorin 3E,7q21.11,Candidate gene tested in,608166,10727,ENSG00000170381
ORPHA:138,CHARGE syndrome,Malformation syndrome,CHD7,chromodomain helicase DNA binding protein 7,8q12.2,Disease-causing germline mutation(s) in,608892,20626,ENSG00000171316
ORPHA:803,Amyotrophic lateral sclerosis,Disease,CCNF,cyclin F,16p13.3,Disease-causing germline mutation(s) in,600227,1591,ENSG00000162063
ORPHA:803,Amyotrophic lateral sclerosis,Disease,TAF15,TATA-box binding protein associated factor 15,17q12,Candidate gene tested in,601574,11547,ENSG00000270647
ORPHA:803,Amyotrophic lateral sclerosis,Disease,ANXA11,annexin A11,10q22.3,Disease-causing germline mutation(s) in,602572,535,ENSG00000122359
ORPHA:803,Amyotrophic lateral sclerosis,Disease,CFAP410,cilia and flagella associated protein 410,21q22.3,Disease-causing germline mutation(s) in,603191,1260,ENSG00000160226
ORPHA:803,Amyotrophic lateral sclerosis,Disease,GLE1,GLE1 RNA export mediator,9q34.11,Disease-causing germline mutation(s) in,603371,4315,ENSG00000119392
ORPHA:803,Amyotrophic lateral sclerosis,Disease,NEK1,NIMA related kinase 1,4q33,Major susceptibility factor in,604588,7744,ENSG00000137601
ORPHA:803,Amyotrophic lateral sclerosis,Disease,GLT8D1,glycosyltransferase 8 domain containing 1,3p21.1,Major susceptibility factor in,618399,24870,ENSG00000016864
ORPHA:803,Amyotrophic lateral sclerosis,Disease,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,22q11.23,Disease-causing germline mutation(s) in,615903,15559,ENSG00000250479
ORPHA:803,Amyotrophic lateral sclerosis,Disease,DAO,D-amino acid oxidase,12q24.11,Disease-causing germline mutation(s) in,124050,2671,ENSG00000110887
ORPHA:803,Amyotrophic lateral sclerosis,Disease,ATXN2,ataxin 2,12q24.12,Major susceptibility factor in,601517,10555,ENSG00000204842
ORPHA:803,Amyotrophic lateral sclerosis,Disease,CHMP2B,charged multivesicular body protein 2B,3p11.2,Disease-causing germline mutation(s) in,609512,24537,ENSG00000083937
ORPHA:803,Amyotrophic lateral sclerosis,Disease,SOD1,superoxide dismutase 1,21q22.11,Disease-causing germline mutation(s) in,147450,11179,ENSG00000142168
ORPHA:803,Amyotrophic lateral sclerosis,Disease,TREM2,triggering receptor expressed on myeloid cells 2,6p21.1,Major susceptibility factor in,605086,17761,ENSG00000095970
ORPHA:803,Amyotrophic lateral sclerosis,Disease,VAPB,VAMP associated protein B and C,20q13.32,Disease-causing germline mutation(s) in,605704,12649,ENSG00000124164
ORPHA:803,Amyotrophic lateral sclerosis,Disease,VCP,valosin containing protein,9p13.3,Disease-causing germline mutation(s) in,601023,12666,ENSG00000165280
ORPHA:803,Amyotrophic lateral sclerosis,Disease,NEFH,neurofilament heavy chain,22q12.2,Major susceptibility factor in,162230,7737,ENSG00000100285
ORPHA:803,Amyotrophic lateral sclerosis,Disease,OPTN,optineurin,10p13,Disease-causing germline mutation(s) in,602432,17142,ENSG00000123240
ORPHA:803,Amyotrophic lateral sclerosis,Disease,DCTN1,dynactin subunit 1,2p13.1,Candidate gene tested in,601143,2711,ENSG00000204843
ORPHA:803,Amyotrophic lateral sclerosis,Disease,TARDBP,TAR DNA binding protein,1p36.22,Disease-causing germline mutation(s) in,605078,11571,ENSG00000120948
ORPHA:803,Amyotrophic lateral sclerosis,Disease,FIG4,FIG4 phosphoinositide 5-phosphatase,6q21,Disease-causing germline mutation(s) in,609390,16873,ENSG00000112367
ORPHA:803,Amyotrophic lateral sclerosis,Disease,FUS,FUS RNA binding protein,16p11.2,Disease-causing germline mutation(s) in,137070,4010,ENSG00000089280
ORPHA:803,Amyotrophic lateral sclerosis,Disease,ANG,angiogenin,14q11.2,Disease-causing germline mutation(s) in,105850,483,ENSG00000214274
ORPHA:803,Amyotrophic lateral sclerosis,Disease,MATR3,matrin 3,5q31.2,Disease-causing germline mutation(s) in,164015,6912,ENSG00000015479
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PRPH,peripherin,12q13.12,Major susceptibility factor in,170710,9461,ENSG00000135406
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PON1,paraoxonase 1,7q21.3,Disease-causing germline mutation(s) in,168820,9204,ENSG00000005421
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PON2,paraoxonase 2,7q21.3,Disease-causing germline mutation(s) in,602447,9205,ENSG00000105854
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PON3,paraoxonase 3,7q21.3,Disease-causing germline mutation(s) in,602720,9206,ENSG00000105852
ORPHA:803,Amyotrophic lateral sclerosis,Disease,SQSTM1,sequestosome 1,5q35.3,Disease-causing germline mutation(s) in,601530,11280,ENSG00000161011
ORPHA:803,Amyotrophic lateral sclerosis,Disease,UBQLN2,ubiquilin 2,Xp11.21,Disease-causing germline mutation(s) in,300264,12509,ENSG00000188021
ORPHA:803,Amyotrophic lateral sclerosis,Disease,C9ORF72,C9orf72-SMCR8 complex subunit,9p21.2,Disease-causing germline mutation(s) in,614260,28337,ENSG00000147894
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PFN1,profilin 1,17p13.2,Disease-causing germline mutation(s) in,176610,8881,ENSG00000108518
ORPHA:803,Amyotrophic lateral sclerosis,Disease,TBK1,TANK binding kinase 1,12q14.2,Major susceptibility factor in,604834,11584,ENSG00000183735
ORPHA:803,Amyotrophic lateral sclerosis,Disease,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,12q13.13,Disease-causing germline mutation(s) in,164017,5031,ENSG00000135486
ORPHA:803,Amyotrophic lateral sclerosis,Disease,PPARGC1A,PPARG coactivator 1 alpha,4p15.2,Modifying germline mutation in,604517,9237,ENSG00000109819
ORPHA:803,Amyotrophic lateral sclerosis,Disease,ERBB4,erb-b2 receptor tyrosine kinase 4,2q34,Disease-causing germline mutation(s) in,600543,3432,ENSG00000178568
ORPHA:803,Amyotrophic lateral sclerosis,Disease,UNC13A,unc-13 homolog A,19p13.11,Major susceptibility factor in,609894,23150,ENSG00000130477
ORPHA:100,Ataxia-telangiectasia,Disease,ATM,ATM serine/threonine kinase,11q22.3,Disease-causing germline mutation(s) in,607585,795,ENSG00000149311
ORPHA:399,Huntington disease,Disease,HTT,huntingtin,4p16.3,Disease-causing germline mutation(s) (gain of function) in,613004,4851,ENSG00000197386
ORPHA:399,Huntington disease,Disease,SLC2A3,solute carrier family 2 member 3,12p13.31,Modifying germline mutation in,138170,11007,ENSG00000059804
ORPHA:501,Lafora disease,Disease,EPM2A,"EPM2A glucan phosphatase, laforin",6q24.3,Disease-causing germline mutation(s) (loss of function) in,607566,3413,ENSG00000112425
