orpha_code,disease_name,disorder_type,gene_symbol,gene_name,gene_locus,association_type,omim_gene,hgnc,ensembl
ORPHA:457395,Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome,Malformation syndrome,RSPRY1,ring finger and SPRY domain containing 1,16q13,Disease-causing germline mutation(s) (loss of function) in,616585,29420,ENSG00000159579
ORPHA:457406,Multiple mitochondrial dysfunctions syndrome type 4,Disease,ISCA2,iron-sulfur cluster assembly 2,14q24.3,Disease-causing germline mutation(s) in,615317,19857,ENSG00000165898
ORPHA:457375,ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement,Disease,ITPA,inosine triphosphatase,20p13,Disease-causing germline mutation(s) in,147520,6176,ENSG00000125877
ORPHA:457378,Complex lethal osteochondrodysplasia,Malformation syndrome,TAPT1,transmembrane anterior posterior transformation 1,4p15.32,Disease-causing germline mutation(s) in,612758,26887,ENSG00000169762
ORPHA:457359,Megalencephaly-severe kyphoscoliosis-overgrowth syndrome,Malformation syndrome,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,15q22.31,Disease-causing germline mutation(s) (loss of function) in,605109,4867,ENSG00000103657
ORPHA:457284,Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome,Malformation syndrome,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,19q13.41,Disease-causing germline mutation(s) in,605983,9302,ENSG00000105568
ORPHA:457351,Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome,Malformation syndrome,AFG2A,AAA ATPase AFG2A,4q28.1,Disease-causing germline mutation(s) in,613940,18119,ENSG00000145375
ORPHA:457185,Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome,Disease,COQ4,coenzyme Q4,9q34.11,Disease-causing germline mutation(s) (loss of function) in,612898,19693,ENSG00000167113
ORPHA:457088,Predisposition to invasive fungal disease due to CARD9 deficiency,Disease,CARD9,caspase recruitment domain family member 9,9q34.3,Disease-causing germline mutation(s) in,607212,16391,ENSG00000187796
ORPHA:457223,Syndromic sensorineural deafness due to combined oxidative phosphorylation defect,Disease,MRPS7,mitochondrial ribosomal protein S7,17q25.1,Disease-causing germline mutation(s) in,611974,14499,ENSG00000125445
ORPHA:457212,Progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome,Disease,SLC6A17,solute carrier family 6 member 17,1p13.3,Disease-causing germline mutation(s) in,610299,31399,ENSG00000197106
ORPHA:457193,KAT6-related intellectual disability-craniofacial anomalies-cardiac defects syndrome,Malformation syndrome,KAT6A,lysine acetyltransferase 6A,8p11.21,Disease-causing germline mutation(s) in,601408,13013,ENSG00000083168
ORPHA:456369,Polyglucosan body myopathy type 2,Disease,GYG1,glycogenin 1,3q24,Disease-causing germline mutation(s) (loss of function) in,603942,4699,ENSG00000163754
ORPHA:457050,Autosomal dominant mitochondrial myopathy with exercise intolerance,Disease,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,22q11.23,Disease-causing germline mutation(s) in,615903,15559,ENSG00000250479
ORPHA:317,Erythrokeratodermia variabilis,Disease,GJA1,gap junction protein alpha 1,6q22.31,Disease-causing germline mutation(s) in,121014,4274,ENSG00000152661
ORPHA:317,Erythrokeratodermia variabilis,Disease,GJB4,gap junction protein beta 4,1p34.3,Disease-causing germline mutation(s) in,605425,4286,ENSG00000189433
ORPHA:317,Erythrokeratodermia variabilis,Disease,GJB3,gap junction protein beta 3,1p34.3,Disease-causing germline mutation(s) in,603324,4285,ENSG00000188910
ORPHA:317,Erythrokeratodermia variabilis,Disease,KDSR,3-ketodihydrosphingosine reductase,18q21.33,Disease-causing germline mutation(s) (loss of function) in,136440,4021,ENSG00000119537
ORPHA:629,Short stature due to growth hormone qualitative anomaly,Clinical subtype,GH1,growth hormone 1,17q23.3,Disease-causing germline mutation(s) in,139250,4261,ENSG00000259384
ORPHA:632,Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,Clinical subtype,BTK,Bruton tyrosine kinase,Xq22.1,Disease-causing germline mutation(s) in,300300,1133,ENSG00000010671
ORPHA:632,Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,Clinical subtype,ELF4,E74 like ETS transcription factor 4,Xq26.1,Disease-causing germline mutation(s) in,300775,3319,ENSG00000102034
ORPHA:248,Autosomal recessive hypohidrotic ectodermal dysplasia,Etiological subtype,EDAR,ectodysplasin A receptor,2q13,Disease-causing germline mutation(s) in,604095,2895,ENSG00000135960
ORPHA:248,Autosomal recessive hypohidrotic ectodermal dysplasia,Etiological subtype,EDARADD,EDAR associated via death domain,1q42.3-q43,Disease-causing germline mutation(s) in,606603,14341,ENSG00000186197
ORPHA:248,Autosomal recessive hypohidrotic ectodermal dysplasia,Etiological subtype,WNT10A,Wnt family member 10A,2q35,Disease-causing germline mutation(s) in,606268,13829,ENSG00000135925
ORPHA:248,Autosomal recessive hypohidrotic ectodermal dysplasia,Etiological subtype,CSTB,cystatin B,21q22.3,Disease-causing germline mutation(s) in,601145,2482,ENSG00000160213
ORPHA:1810,Autosomal dominant hypohidrotic ectodermal dysplasia,Etiological subtype,EDAR,ectodysplasin A receptor,2q13,Disease-causing germline mutation(s) in,604095,2895,ENSG00000135960
ORPHA:1810,Autosomal dominant hypohidrotic ectodermal dysplasia,Etiological subtype,EDARADD,EDAR associated via death domain,1q42.3-q43,Disease-causing germline mutation(s) in,606603,14341,ENSG00000186197
