GeneSym	OMIMID	GeneID
ALOX12B	OMIM:603741	242
AASS	OMIM:605113	10157
ALOX5AP	OMIM:603700	241
ALOXE3	OMIM:607206	59344
ALPL	OMIM:171760	249
ALPQTL1	OMIM:171720	100196909
ALPQTL2	OMIM:612367	100196914
ALPQTL3	OMIM:612368	100196915
ALPQTL4	OMIM:612369	100196916
ALS2	OMIM:606352	57679
ALS3	OMIM:606640	253
ALS5	OMIM:602099	255
ALS7	OMIM:608031	406238
ALX1	OMIM:601527	8092
ALX3	OMIM:606014	257
ALX4	OMIM:605420	60529
AMACR	OMIM:604489	23600
AMCN	OMIM:208100	261
AMELX	OMIM:300391	265
AMER1	OMIM:300647	139285
AMH	OMIM:600957	268
AMHR2	OMIM:600956	269
AMMEC	OMIM:300194	100499260
AMN	OMIM:605799	81693
AMPD1	OMIM:102770	270
AMPD2	OMIM:102771	271
AMPD3	OMIM:102772	272
ANBC	OMIM:606179	114293
ANC	OMIM:105580	8066
ANG	OMIM:105850	283
ANGPTL3	OMIM:604774	27329
ANGPTL4	OMIM:605910	51129
ANIB1	OMIM:105800	116833
ANIB10	OMIM:612587	100271689
ANIB11	OMIM:614252	100750328
ANIB2	OMIM:608542	449013
ANIB3	OMIM:609122	497657
ANIB4	OMIM:610213	724058
ANIB5	OMIM:300870	100188810
ANIB6	OMIM:611892	100188858
ANIB7	OMIM:612161	100188885
ANIB8	OMIM:612162	100188886
ANIB9	OMIM:612586	100271688
ANIC	OMIM:107200	550625
ANK1	OMIM:612641	286
ANK2	OMIM:106410	287
ANK3	OMIM:600465	288
ANKH	OMIM:605145	56172
ANKK1	OMIM:608774	255239
ANKRD11	OMIM:611192	29123
ANKRD26	OMIM:610855	22852
ANKS6	OMIM:615370	203286
ANLN	OMIM:616027	54443
ANMA	OMIM:605746	80871
ANO10	OMIM:613726	55129
ANO3	OMIM:610110	63982
ANO5	OMIM:608662	203859
ANO6	OMIM:608663	196527
ANON1	OMIM:606788	171514
ANTXR2	OMIM:608041	118429
ANXA5	OMIM:131230	308
AOCH	OMIM:606049	93956
AOMS1	OMIM:605552	65076
AOMS2	OMIM:605572	65077
AP1S1	OMIM:603531	1174
AP1S2	OMIM:300629	8905
AP1S3	OMIM:615781	130340
AP2S1	OMIM:602242	1175
AP3B1	OMIM:603401	8546
AP4B1	OMIM:607245	10717
AP4E1	OMIM:607244	23431
AP4M1	OMIM:602296	9179
AP4S1	OMIM:607243	11154
AP5Z1	OMIM:613653	9907
APBB2	OMIM:602710	323
APCDD1	OMIM:607479	147495
APCS	OMIM:104770	325
APMR1	OMIM:203650	780898
APMR2	OMIM:610422	100049544
APMR3	OMIM:613930	100653369
APOA1	OMIM:107680	335
APOB	OMIM:107730	338
APOC2	OMIM:608083	344
APOC3	OMIM:107720	345
APOE	OMIM:107741	348
APOL1	OMIM:603743	8542
APP	OMIM:104760	351
APRT	OMIM:102600	353
APTX	OMIM:606350	54840
AQP1	OMIM:107776	358
AQP3	OMIM:600170	360
AQP5	OMIM:600442	362
AQP7	OMIM:602974	364
ARCI7	OMIM:615022	101202686
ARFGEF2	OMIM:605371	10564
ARG1	OMIM:608313	383
ARHGAP31	OMIM:610911	57514
ARHGDIA	OMIM:601925	396
ARHGEF10	OMIM:608136	9639
ARHGEF6	OMIM:300267	9459
ARHGEF9	OMIM:300429	23229
ARHI1	OMIM:612448	100233147
ARHI2	OMIM:612976	100302721
ARID1A	OMIM:603024	8289
ARID1B	OMIM:614556	57492
ARL13B	OMIM:608922	200894
ARL2BP	OMIM:615407	23568
ARL6IP1	OMIM:607669	23204
ARMC4	OMIM:615408	55130
ARMC5	OMIM:615549	79798
ARMS2	OMIM:611313	387715
ARNT	OMIM:126110	405
ARNT2	OMIM:606036	9915
ARSA	OMIM:607574	410
ARSB	OMIM:611542	411
ARSE	OMIM:300180	415
ART4	OMIM:110600	420
ARVD3	OMIM:602086	424
ARVD4	OMIM:602087	425
ARVD6	OMIM:604401	27038
ARX	OMIM:300382	170302
ASAH1	OMIM:613468	427
ASB10	OMIM:615054	136371
ASD1	OMIM:108800	431
ASIP	OMIM:600201	434
ASL	OMIM:608310	435
ASNS	OMIM:108370	440
ASPA	OMIM:608034	443
ASPG1	OMIM:608638	431710
ASPG2	OMIM:608631	431711
ASPG3	OMIM:608781	449015
ASPG4	OMIM:609954	100188800
ASPH	OMIM:600582	444
ASPM	OMIM:605481	259266
ASPN	OMIM:608135	54829
ASPSCR1	OMIM:606236	79058
ASRT3	OMIM:609958	100188801
ASRT4	OMIM:610906	100188823
ASRT6	OMIM:611403	100188840
ASRT8	OMIM:613207	100415896
ASS1	OMIM:603470	445
ASXL3	OMIM:615115	80816
ATCAY	OMIM:608179	85300
ATFB1	OMIM:608583	406216
ATFB2	OMIM:608988	619478
ATFB5	OMIM:611494	100188842
ATFB8	OMIM:613055	100306979
ATG16L1	OMIM:610767	55054
ABCA1	OMIM:600046	19
ATIC	OMIM:601731	471
ATL1	OMIM:606439	51062
ATL3	OMIM:609369	25923
ATN1	OMIM:607462	1822
ATOD1	OMIM:603165	64069
ATOD3	OMIM:605804	117187
ATOD5	OMIM:605844	117188
ATOD6	OMIM:605845	114477
ATOD7	OMIM:613064	100310755
ATOH7	OMIM:609875	220202
ATP13A2	OMIM:610513	23400
ATP1A2	OMIM:182340	477
ATP1A3	OMIM:182350	478
ATP2A1	OMIM:108730	487
ATP2A2	OMIM:108740	488
ATP2B2	OMIM:108733	491
ATP2B3	OMIM:300014	492
ATP2C1	OMIM:604384	27032
ATP5A1	OMIM:164360	498
ATP5E	OMIM:606153	514
ATP6AP2	OMIM:300556	10159
ATP6V0A2	OMIM:611716	23545
ATP6V0A4	OMIM:605239	50617
ATP6V1B1	OMIM:192132	525
ATP7A	OMIM:300011	538
ATP7B	OMIM:606882	540
ATP8A2	OMIM:605870	51761
ATP8B1	OMIM:602397	5205
ATPAF2	OMIM:608918	91647
ATPLS	OMIM:107320	100499532
ATR	OMIM:601215	545
ATRX	OMIM:300032	546
ATXN1	OMIM:601556	6310
ATXN10	OMIM:611150	25814
ATXN2	OMIM:601517	6311
ATXN3	OMIM:607047	4287
ATXN7	OMIM:607640	6314
ATXN8	OMIM:613289	724066
ATXN8OS	OMIM:603680	6315
AUH	OMIM:600529	549
AURKA	OMIM:603072	6790
AURKC	OMIM:603495	6795
AUTS1	OMIM:209850	100188832
AUTS11	OMIM:610836	100188820
AUTS12	OMIM:610838	100188314
AUTS13	OMIM:610908	100188317
AUTS2	OMIM:607270	26053
AUTS3	OMIM:608049	387577
AUTS5	OMIM:606053	94313
AUTS6	OMIM:609378	554314
AUTS7	OMIM:610676	100188816
AUTS8	OMIM:607373	282553
AVP	OMIM:192340	551
AQP2	OMIM:107777	359
AVPR2	OMIM:300538	554
AVSD1	OMIM:606215	7446
B2M	OMIM:109700	567
B3GALNT1	OMIM:603094	8706
B3GALNT2	OMIM:610194	148789
B3GALT6	OMIM:615291	126792
B3GALTL	OMIM:610308	145173
B3GAT3	OMIM:606374	26229
B3GNT1	OMIM:605517	11041
B4GALNT1	OMIM:601873	2583
B4GALT1	OMIM:137060	2683
B4GALT7	OMIM:604327	11285
B6QTL1	OMIM:612957	100302718
B9D1	OMIM:614144	27077
B9D2	OMIM:611951	80776
ABCB6	OMIM:605452	10058
BAG3	OMIM:603883	9531
BANF1	OMIM:603811	8815
BANK1	OMIM:610292	55024
BAP1	OMIM:603089	8314
BBIP1	OMIM:613605	92482
BBS1	OMIM:209901	582
BBS10	OMIM:610148	79738
BBS12	OMIM:610683	166379
BBS2	OMIM:606151	583
BBS4	OMIM:600374	585
BBS5	OMIM:603650	129880
BBS7	OMIM:607590	55212
BBS9	OMIM:607968	27241
BCAM	OMIM:612773	4059
BCAP31	OMIM:300398	10134
BCAT1	OMIM:113520	586
BCAT2	OMIM:113530	587
BCC1	OMIM:605462	100307118
BCC2	OMIM:613058	100307119
BCC3	OMIM:613059	100307120
BCC4	OMIM:613061	100307121
BCC5	OMIM:613062	100307122
BCC6	OMIM:613063	100307123
BCHE	OMIM:177400	590
BCKDHA	OMIM:608348	593
BCKDHB	OMIM:248611	594
BCKDK	OMIM:614901	10295
BCL10	OMIM:603517	8915
BCL2	OMIM:151430	596
BCL3	OMIM:109560	602
BCL6	OMIM:109565	604
BCL7A	OMIM:601406	605
BCO1	OMIM:605748	53630
BCOR	OMIM:300485	54880
BCR	OMIM:151410	613
BDA1B	OMIM:607004	246260
BDET	OMIM:605913	85504
BEAN1	OMIM:612051	146227
BED	OMIM:300843	100653365
BEST1	OMIM:607854	7439
BFIS1	OMIM:601764	8181
BFIS4	OMIM:612627	100271922
BFSP1	OMIM:603307	631
BFSP2	OMIM:603212	8419
BHD	OMIM:142669	50947
BHLHA9	OMIM:615416	727857
BHLHE41	OMIM:606200	79365
BICC1	OMIM:614295	80114
BICD2	OMIM:609797	23299
BIN1	OMIM:601248	274
BLK	OMIM:191305	640
BLM	OMIM:604610	641
A4GALT	OMIM:607922	53947
BLNK	OMIM:604515	29760
BLOC1S3	OMIM:609762	388552
BLOC1S6	OMIM:604310	26258
BLVRA	OMIM:109750	644
BMIQ1	OMIM:606641	170815
BMIQ10	OMIM:607514	353126
BMIQ13	OMIM:612459	100233157
BMIQ14	OMIM:612460	100233158
BMIQ15	OMIM:612967	100302719
BMIQ16	OMIM:613444	100859928
BMIQ2	OMIM:606643	192149
